persona,cluster,pc1,pc2,pc3,pc1_percentile,pc2_percentile,pc3_percentile,global_pc2_rank_desc,cluster_pc2_rank_desc,cluster_size
blogger,grounded_social,-0.321690,20.848444,-14.391345,47.090909,84.909091,17.636364,42,24,54
rogue,trickster_chaos,-26.637792,20.617122,30.236947,23.818182,84.545455,96.545455,43,4,10
survivor,grounded_social,-23.301160,20.545113,-18.175498,27.454545,84.181818,11.090909,44,25,54
pirate,trickster_chaos,-52.653610,20.271849,24.658693,3.818182,83.818182,91.090909,45,5,10
maverick,combative_iconoclast,-10.538674,20.109883,25.585925,38.000000,83.454545,92.181818,46,8,15
jester,trickster_chaos,-41.146591,19.964961,30.958763,11.454545,83.090909,96.909091,47,6,10
trickster,trickster_chaos,-35.022031,19.740620,20.906417,16.909091,82.727273,87.818182,48,7,10
veteran,grounded_social,7.868989,19.690851,1.712934,56.181818,82.363636,55.090909,49,26,54
workaholic,combative_iconoclast,2.566650,19.360138,23.982014,51.454545,82.000000,90.363636,50,9,15
loner,grounded_social,-17.846603,19.218578,-4.339708,31.454545,81.636364,39.090909,51,27,54
dilettante,grounded_social,-3.350257,18.002389,1.507144,43.818182,81.272727,54.363636,52,28,54
fixer,grounded_social,-12.589281,17.011219,25.801749,36.545455,80.909091,93.272727,53,29,54
auctioneer,grounded_social,-9.959454,16.724855,12.636634,38.727273,80.545455,81.636364,54,30,54
widow,grounded_social,-28.683472,16.408026,-34.321128,22.363636,80.181818,2.000000,55,31,54
entrepreneur,procedural_professional,20.681250,16.282269,6.638281,65.636364,79.818182,66.727273,56,2,126
refugee,grounded_social,-13.329593,16.146133,-28.559335,36.181818,79.454545,4.909091,57,32,54
chameleon,grounded_social,-0.639659,15.880444,-5.605038,46.727273,79.090909,35.454545,58,33,54
caveman,trickster_chaos,-54.942089,15.489350,0.402670,1.272727,78.727273,50.363636,59,8,10
caregiver,grounded_social,1.344612,14.616834,-43.370517,50.000000,78.363636,0.181818,60,34,54
absurdist,trickster_chaos,-34.383967,14.551099,33.406228,18.000000,78.000000,98.363636,61,9,10
hacker,combative_iconoclast,-2.564236,14.293777,36.363630,45.272727,77.636364,99.818182,62,10,15
expatriate,procedural_professional,14.628706,14.168570,-10.601171,63.090909,77.272727,23.454545,63,3,126
contrarian,combative_iconoclast,-3.586692,13.934091,26.083446,43.090909,76.909091,93.636364,64,11,15
immigrant,grounded_social,-4.765909,13.842249,-28.780266,42.363636,76.545455,4.181818,65,35,54
amnesiac,grounded_social,-42.409067,13.632674,-10.732726,9.636364,76.181818,23.090909,66,36,54
pragmatist,procedural_professional,28.854692,13.113668,6.330062,75.090909,75.818182,66.363636,67,4,126
presenter,procedural_professional,19.601710,13.057714,-9.659204,64.545455,75.454545,26.000000,68,5,126
counselor,procedural_professional,10.852153,12.970002,-36.167331,58.727273,75.090909,0.909091,69,6,126
hedonist,grounded_social,-17.840460,12.575093,10.747692,31.818182,74.727273,78.000000,70,37,54
therapist,procedural_professional,13.067799,12.359939,-34.533275,60.909091,74.363636,1.272727,71,7,126
chef,grounded_social,4.481306,12.232802,-8.702589,52.909091,74.000000,29.272727,72,38,54
coach,procedural_professional,24.853860,11.699204,-14.839957,69.636364,73.636364,16.181818,73,8,126
networker,procedural_professional,21.969381,11.672346,-15.009154,66.727273,73.272727,15.454545,74,9,126
soldier,grounded_social,-2.826690,10.681443,13.901981,44.909091,72.909091,83.454545,75,39,54
realist,procedural_professional,22.577429,10.434982,11.004567,67.818182,72.545455,78.727273,76,10,126
collaborator,procedural_professional,25.719882,9.670901,-17.672558,70.727273,72.181818,12.545455,77,11,126
teacher,procedural_professional,28.388591,9.316785,-11.634935,74.000000,71.818182,20.909091,78,12,126
minimalist,procedural_professional,-3.063212,9.203427,-21.949754,44.545455,71.454545,8.181818,79,13,126
nomad,grounded_social,-15.426303,9.145867,-9.445522,34.363636,71.090909,27.090909,80,40,54
tutor,procedural_professional,29.918931,9.024817,-7.572058,76.909091,70.727273,31.454545,81,14,126
vegan,procedural_professional,15.417499,8.613726,-22.189044,63.454545,70.363636,7.818182,82,15,126
luddite,grounded_social,-29.240255,8.514152,9.680724,22.000000,70.000000,75.090909,83,41,54
mentor,procedural_professional,26.126169,8.141667,-9.389356,71.454545,69.636364,27.818182,84,16,126
recruiter,procedural_professional,32.779988,7.866917,-4.199998,82.000000,69.272727,39.454545,85,17,126
devils_advocate,combative_iconoclast,6.519322,7.660097,21.460077,54.363636,68.909091,88.181818,86,12,15
interviewer,editorial,26.221935,7.460181,-8.457649,71.818182,68.545455,29.636364,87,2,13
paramedic,procedural_professional,26.068793,7.004018,-5.833329,71.090909,68.181818,34.727273,88,18,126
marketer,procedural_professional,34.081018,6.431733,3.588700,84.909091,67.818182,61.272727,89,19,126
evangelist,grounded_social,-19.141578,5.674437,-2.212665,30.363636,67.454545,44.909091,90,42,54
trainer,procedural_professional,33.863297,5.128512,-1.951117,83.818182,67.090909,46.000000,91,20,126
translator,editorial,23.285578,5.104163,0.649725,68.181818,66.727273,52.181818,92,3,13
facilitator,procedural_professional,32.463401,5.011736,-16.050745,81.272727,66.363636,14.363636,93,21,126
photographer,grounded_social,-8.988149,4.756180,-12.084118,40.181818,66.000000,19.454545,94,43,54
playwright,grounded_social,-9.817578,4.585625,4.301205,39.090909,65.636364,63.454545,95,44,54
producer,procedural_professional,30.515274,4.303532,0.625298,77.272727,65.272727,51.818182,96,22,126
activist,procedural_professional,13.519598,4.204793,-8.246736,61.636364,64.909091,30.000000,97,23,126
moderator,procedural_professional,31.451129,4.187086,-14.418641,79.090909,64.545455,16.909091,98,24,126
empath,grounded_social,-15.630732,3.872654,-36.850701,33.272727,64.181818,0.545455,99,45,54
assistant,procedural_professional,33.702803,3.441718,-5.155534,83.454545,63.818182,36.181818,100,25,126
instructor,procedural_professional,34.548895,3.326061,-4.355735,86.363636,63.454545,38.727273,101,26,126
musician,grounded_social,-13.635183,2.888231,-16.046590,35.454545,63.090909,14.727273,102,46,54
advocate,procedural_professional,13.533940,2.701166,-11.350795,62.000000,62.727273,22.000000,103,27,126
bohemian,grounded_social,-42.551436,2.697174,-6.445255,9.272727,62.363636,33.636364,104,47,54
scheduler,procedural_professional,37.321814,2.676389,1.149620,89.272727,62.000000,53.636364,105,28,126
spy,procedural_professional,0.721474,2.535426,32.136986,48.909091,61.636364,98.000000,106,29,126
guide,procedural_professional,13.442130,2.162088,-9.336534,61.272727,61.272727,28.181818,107,30,126
nutritionist,editorial,35.130551,2.036327,-12.037406,87.818182,60.909091,19.818182,108,4,13
pilot,procedural_professional,26.581052,1.991588,4.152483,72.181818,60.545455,62.727273,109,31,126
programmer,procedural_professional,31.805844,1.934063,12.957046,79.454545,60.181818,82.363636,110,32,126
proofreader,editorial,32.679235,1.592360,0.592134,81.636364,59.818182,51.454545,111,5,13
genie,trickster_chaos,-37.875531,1.547929,22.354622,14.363636,59.454545,88.909091,112,10,10
reporter,procedural_professional,27.715362,1.361812,1.029170,73.636364,59.090909,53.272727,113,33,126
prey,grounded_social,-42.051619,1.305191,-0.331030,10.363636,58.727273,48.181818,114,48,54
veterinarian,procedural_professional,26.870205,0.836878,-11.753710,73.272727,58.363636,20.181818,115,34,126
debugger,procedural_professional,37.836656,0.422489,10.867375,90.727273,58.000000,78.363636,116,35,126
mediator,procedural_professional,28.536253,0.214022,-16.472155,74.363636,57.636364,13.636364,117,36,126
cosmopolitan,procedural_professional,8.799585,0.177256,-7.825351,56.909091,57.272727,30.363636,118,37,126
doctor,procedural_professional,34.779094,-0.045334,-11.466025,87.090909,56.909091,21.272727,119,38,126
builder,procedural_professional,14.492161,-0.142312,-2.433424,62.727273,56.545455,44.181818,120,39,126
interpreter,procedural_professional,24.507229,-0.440645,-5.849485,69.272727,56.181818,34.363636,121,40,126
saboteur,combative_iconoclast,5.936887,-0.775323,34.773662,54.000000,55.818182,99.090909,122,13,15
tulpa,grounded_social,-9.203233,-0.932939,-9.498609,39.818182,55.454545,26.727273,123,49,54
summarizer,editorial,35.588427,-0.975228,-6.657899,88.181818,55.090909,32.545455,124,6,13
negotiator,procedural_professional,31.223320,-1.412316,-5.683197,78.727273,54.727273,35.090909,125,41,126
technologist,procedural_professional,30.890110,-1.771369,9.250463,78.000000,54.363636,73.272727,126,42,126
organizer,procedural_professional,37.569799,-2.052558,0.127009,90.363636,54.000000,49.272727,127,43,126
editor,editorial,34.619814,-2.114740,-5.095158,86.727273,53.636364,36.545455,128,7,13
writer,procedural_professional,4.197415,-2.136192,-6.619327,52.545455,53.272727,32.909091,129,44,126
coordinator,procedural_professional,39.386314,-2.155726,-3.194772,92.909091,52.909091,41.636364,130,45,126
detective,procedural_professional,21.409568,-2.261670,11.640714,66.363636,52.545455,79.818182,131,46,126
screener,editorial,42.995156,-2.396497,3.826973,97.636364,52.181818,62.000000,132,8,13
designer,procedural_professional,26.603796,-2.526748,-5.176320,72.545455,51.818182,35.818182,133,47,126
supervisor,editorial,44.398046,-2.589062,-0.505227,98.727273,51.454545,47.818182,134,9,13
navigator,procedural_professional,13.917627,-2.636315,-2.796963,62.363636,51.090909,43.090909,135,48,126
peacekeeper,procedural_professional,24.312096,-2.640138,-18.909350,68.909091,50.727273,10.363636,136,49,126
consultant,procedural_professional,41.026614,-2.691101,3.471371,94.000000,50.363636,60.909091,137,50,126
romantic,grounded_social,-35.874448,-2.691353,-30.824385,16.181818,50.000000,2.727273,138,50,54
journalist,procedural_professional,30.591291,-2.691625,3.087737,77.636364,49.636364,59.454545,139,51,126
dispatcher,procedural_professional,37.516518,-3.009268,5.132192,89.636364,49.272727,65.636364,140,52,126
planner,procedural_professional,42.859470,-3.014497,3.623250,96.545455,48.909091,61.636364,141,53,126
destroyer,combative_iconoclast,-3.118260,-3.204588,23.321853,44.181818,48.545455,89.636364,142,14,15
secretary,editorial,40.755814,-3.400106,-1.078593,93.636364,48.181818,47.090909,143,10,13
scout,procedural_professional,10.486658,-3.875931,7.874556,58.363636,47.818182,71.090909,144,54,126
altruist,procedural_professional,11.355227,-3.914055,-24.744717,59.090909,47.454545,7.090909,145,55,126
accountant,editorial,42.247903,-4.026883,7.345583,94.727273,47.090909,69.272727,146,11,13
pharmacist,editorial,37.875919,-4.241319,-3.806831,91.090909,46.727273,39.818182,147,12,13
anarchist,procedural_professional,7.030221,-4.272105,9.464347,55.090909,46.363636,74.363636,148,56,126
exile,mythic_spiritual,-46.929442,-4.671833,-7.730744,6.727273,46.000000,30.727273,149,1,51
elder,mythic_spiritual,-35.705884,-4.929585,-20.673806,16.545455,45.636364,8.545455,150,2,51
publisher,procedural_professional,33.947546,-5.102974,0.986967,84.545455,45.272727,52.909091,151,57,126
wanderer,mythic_spiritual,-41.612731,-5.170950,-10.129627,11.090909,44.909091,24.909091,152,3,51
sommelier,procedural_professional,-0.155039,-5.315890,-4.982650,47.818182,44.545455,36.909091,153,58,126
hybrid,procedural_professional,9.092695,-5.689149,-11.418776,57.272727,44.181818,21.636364,154,59,126
revolutionary,combative_iconoclast,-11.514294,-5.725035,18.037641,36.909091,43.818182,87.090909,155,15,15
prodigy,procedural_professional,7.537463,-5.845253,7.614532,55.818182,43.454545,70.727273,156,60,126
grader,editorial,42.711762,-6.184781,1.886083,95.818182,43.090909,55.818182,157,13,13
psychologist,procedural_professional,34.992882,-6.252968,-4.409728,87.454545,42.727273,38.363636,158,61,126
witness,procedural_professional,9.221540,-6.413585,-3.600133,58.000000,42.363636,40.545455,159,62,126
generalist,procedural_professional,34.461212,-6.415676,2.908680,85.636364,42.000000,58.363636,160,63,126
analyst,procedural_professional,42.520764,-6.588174,7.254709,95.090909,41.636364,68.181818,161,64,126
skeptic,procedural_professional,32.787356,-6.743944,18.661728,82.363636,41.272727,87.454545,162,65,126
validator,procedural_professional,44.306456,-6.813155,10.365233,98.363636,40.909091,76.909091,163,66,126
warrior,mythic_spiritual,-34.941639,-6.859443,9.636419,17.636364,40.545455,74.727273,164,4,51
guardian,procedural_professional,5.555769,-6.861265,-13.004053,53.636364,40.181818,18.363636,165,67,126
engineer,procedural_professional,40.535311,-7.183094,11.617734,93.272727,39.818182,79.454545,166,68,126
shapeshifter,grounded_social,-26.647735,-7.225544,-3.341381,23.454545,39.454545,40.909091,167,51,54
zeitgeist,procedural_professional,-8.777957,-7.482825,2.597627,40.545455,39.090909,58.000000,168,69,126
strategist,procedural_professional,38.955793,-7.521120,7.989250,92.545455,38.727273,71.454545,169,70,126
librarian,procedural_professional,33.121629,-7.585921,0.480897,82.727273,38.363636,50.727273,170,71,126
merchant,procedural_professional,-2.027629,-7.980796,2.930994,45.636364,38.000000,59.090909,171,72,126
visionary,procedural_professional,1.057843,-7.986158,1.517625,49.636364,37.636364,54.727273,172,73,126
novelist,grounded_social,-15.509112,-8.063068,2.911209,33.636364,37.272727,58.727273,173,52,54
synthesizer,procedural_professional,25.531551,-8.163528,0.061852,70.000000,36.909091,48.909091,174,74,126
narrator,mythic_spiritual,-33.831536,-8.191431,-2.378908,19.454545,36.545455,44.545455,175,5,51
statistician,procedural_professional,43.074737,-8.217284,15.733146,98.000000,36.181818,84.545455,176,75,126
flaneur,grounded_social,-28.516237,-8.305863,9.198043,22.727273,35.818182,72.909091,177,53,54
ambassador,procedural_professional,29.687364,-8.415888,-8.973792,76.181818,35.454545,28.909091,178,76,126
forecaster,procedural_professional,38.685817,-8.505608,10.422299,91.818182,35.090909,77.272727,179,77,126
curator,procedural_professional,20.167390,-8.791542,-4.625590,65.272727,34.727273,37.636364,180,78,126
predator,mythic_spiritual,-27.057556,-9.130771,16.628898,23.090909,34.363636,85.636364,181,6,51
architect,procedural_professional,30.971303,-9.428450,-2.182074,78.363636,34.000000,45.636364,182,79,126
specialist,procedural_professional,38.637776,-9.666786,12.790066,91.454545,33.636364,82.000000,183,80,126
perfectionist,procedural_professional,19.958135,-9.866846,11.903255,64.909091,33.272727,80.545455,184,81,126
reviewer,procedural_professional,42.734739,-9.962991,4.517298,96.181818,32.909091,64.181818,185,82,126
cyborg,procedural_professional,16.715415,-10.173249,10.101060,64.181818,32.545455,76.181818,186,83,126
evaluator,procedural_professional,45.086229,-10.275203,7.304700,99.090909,32.181818,68.545455,187,84,126
economist,procedural_professional,42.591339,-10.492469,16.670073,95.454545,31.818182,86.000000,188,85,126
futurist,procedural_professional,32.177379,-10.578135,9.815860,80.545455,31.454545,75.818182,189,86,126
researcher,procedural_professional,42.885079,-11.116508,7.604311,96.909091,31.090909,70.363636,190,87,126
chemist,procedural_professional,29.418354,-11.171391,8.463367,75.818182,30.727273,71.818182,191,88,126
demon,mythic_spiritual,-51.935278,-11.475721,29.919200,4.181818,30.363636,96.181818,192,7,51
symbiont,procedural_professional,6.654008,-11.553818,-9.936103,54.727273,30.000000,25.272727,193,89,126
healer,procedural_professional,-1.760882,-11.560648,-34.345430,46.000000,29.636364,1.636364,194,90,126
scientist,procedural_professional,41.454947,-11.640065,9.727142,94.363636,29.272727,75.454545,195,91,126
idealist,procedural_professional,-10.695166,-11.656722,-19.818894,37.272727,28.909091,8.909091,196,92,126
emissary,procedural_professional,22.521751,-11.756824,-11.199282,67.454545,28.545455,22.363636,197,93,126
lawyer,procedural_professional,42.993478,-11.861488,14.465996,97.272727,28.181818,83.818182,198,94,126
artisan,grounded_social,-13.802244,-12.174626,-14.988345,35.090909,27.818182,15.818182,199,54,54
auditor,procedural_professional,48.155016,-12.294599,13.609156,99.818182,27.454545,83.090909,200,95,126
pacifist,procedural_professional,12.630986,-12.379610,-28.496481,60.545455,27.090909,5.272727,201,96,126
observer,procedural_professional,34.089504,-12.405635,1.731193,85.272727,26.727273,55.454545,202,97,126
virus,mythic_spiritual,-10.626606,-12.916099,25.669758,37.636364,26.363636,92.909091,203,8,51
collector,procedural_professional,11.761808,-12.938380,1.197494,59.818182,26.000000,54.000000,204,98,126
parasite,mythic_spiritual,-18.321896,-13.157745,23.002291,31.090909,25.636364,89.272727,205,9,51
examiner,procedural_professional,45.622482,-13.636910,10.556259,99.454545,25.272727,77.636364,206,99,126
polymath,procedural_professional,29.720851,-13.729704,7.308062,76.545455,24.909091,68.909091,207,100,126
sociologist,procedural_professional,38.947567,-14.409400,1.998095,92.181818,24.545455,56.909091,208,101,126
mathematician,procedural_professional,31.956660,-14.510329,15.969708,80.181818,24.181818,85.272727,209,102,126
poet,mythic_spiritual,-59.201425,-14.699961,-3.619137,0.545455,23.818182,40.181818,210,10,51
critic,procedural_professional,25.623400,-14.771250,6.802533,70.363636,23.454545,67.090909,211,103,126
virtuoso,procedural_professional,-9.471958,-14.786539,2.298527,39.454545,23.090909,57.272727,212,104,126
cartographer,procedural_professional,22.160099,-15.313847,2.380007,67.090909,22.727273,57.636364,213,105,126
ecosystem,procedural_professional,12.478176,-15.406081,-15.348841,60.181818,22.363636,15.090909,214,106,126
judge,procedural_professional,34.465822,-15.583628,4.792656,86.000000,22.000000,64.909091,215,107,126
naturalist,procedural_professional,8.615109,-15.779513,-9.756774,56.545455,21.636364,25.636364,216,108,126
robot,procedural_professional,37.534205,-16.111110,24.746394,90.000000,21.272727,91.454545,217,109,126
biologist,procedural_professional,32.238651,-16.158083,4.347481,80.909091,20.909091,63.818182,218,110,126
linguist,procedural_professional,33.927989,-16.159448,7.526476,84.181818,20.545455,70.000000,219,111,126
aberration,mythic_spiritual,-47.937626,-16.326007,31.108380,6.000000,20.181818,97.272727,220,11,51
chimera,mythic_spiritual,-37.314148,-16.363016,9.316701,15.454545,19.818182,74.000000,221,12,51
conservator,procedural_professional,23.523663,-16.820638,-6.184638,68.545455,19.454545,34.000000,222,112,126
physicist,procedural_professional,29.160211,-17.277889,11.471328,75.454545,19.090909,79.090909,223,113,126
composer,procedural_professional,1.774242,-17.582766,-4.900928,50.363636,18.727273,37.272727,224,114,126
archivist,procedural_professional,26.864606,-17.740687,-1.483860,72.909091,18.363636,46.727273,225,115,126
geographer,procedural_professional,36.777902,-17.794275,3.411941,88.909091,18.000000,60.545455,226,116,126
zealot,mythic_spiritual,-33.940846,-18.761291,26.199381,18.727273,17.636364,94.000000,227,13,51
historian,procedural_professional,28.854306,-18.916976,9.284322,74.727273,17.272727,73.636364,228,117,126
wind,mythic_spiritual,-46.815245,-19.437628,-13.076073,7.090909,16.909091,18.000000,229,14,51
archaeologist,procedural_professional,15.677279,-19.481606,1.901841,63.818182,16.545455,56.181818,230,118,126
simulacrum,mythic_spiritual,-21.385336,-19.503990,17.065599,29.272727,16.181818,86.727273,231,15,51
coral_reef,mythic_spiritual,-32.638841,-19.931583,-10.838205,19.818182,15.818182,22.727273,232,16,51
revenant,mythic_spiritual,-54.526125,-20.043526,7.052731,1.636364,15.454545,67.454545,233,17,51
anthropologist,procedural_professional,31.896983,-20.196810,0.958958,79.818182,15.090909,52.545455,234,119,126
vampire,mythic_spiritual,-52.706639,-20.563291,21.594651,3.454545,14.727273,88.545455,235,18,51
ghost,mythic_spiritual,-52.912486,-21.037096,0.569494,2.727273,14.363636,51.090909,236,19,51
scholar,procedural_professional,36.468959,-21.045066,8.530280,88.545455,14.000000,72.181818,237,120,126
martyr,mythic_spiritual,-31.910292,-21.859531,-10.241450,20.181818,13.636364,24.545455,238,20,51
alien,mythic_spiritual,-20.463193,-22.757724,12.343089,29.636364,13.272727,80.909091,239,21,51
dreamer,mythic_spiritual,-45.562077,-22.887757,-7.693470,8.181818,12.909091,31.090909,240,22,51
hermit,mythic_spiritual,-48.611508,-23.236527,-11.654367,5.636364,12.545455,20.545455,241,23,51
whale,mythic_spiritual,-40.875941,-24.119166,-10.280914,12.181818,12.181818,24.181818,242,24,51
bard,mythic_spiritual,-54.347913,-24.259560,-2.864859,2.000000,11.818182,42.727273,243,25,51
theorist,procedural_professional,33.607116,-24.466824,13.312624,83.090909,11.454545,82.727273,244,121,126
guru,mythic_spiritual,-35.014403,-24.845769,-17.626964,17.272727,11.090909,12.909091,245,26,51
mycorrhizal,mythic_spiritual,-31.420305,-26.643830,-9.406325,20.545455,10.727273,27.454545,246,27,51
traditionalist,procedural_professional,2.384568,-26.883152,-6.692218,50.727273,10.363636,32.181818,247,122,126
familiar,mythic_spiritual,-40.972494,-28.231850,-1.701520,11.818182,10.000000,46.363636,248,28,51
tree,mythic_spiritual,-48.766090,-28.499335,-14.624577,5.272727,9.636364,16.545455,249,29,51
pilgrim,mythic_spiritual,-40.740662,-28.502018,-27.987571,12.545455,9.272727,5.636364,250,30,51
homunculus,mythic_spiritual,-33.951328,-28.697965,15.280273,18.363636,8.909091,84.181818,251,31,51
golem,mythic_spiritual,-46.714582,-28.739483,-2.945018,7.454545,8.545455,42.363636,252,32,51
wraith,mythic_spiritual,-58.956488,-28.847312,7.198147,0.909091,8.181818,67.818182,253,33,51
angel,mythic_spiritual,-40.463168,-28.855131,-30.585188,12.909091,7.818182,3.090909,254,34,51
stoic,mythic_spiritual,-16.300380,-29.333746,-3.202190,32.909091,7.454545,41.272727,255,35,51
purist,procedural_professional,2.706510,-29.726928,10.257806,51.818182,7.090909,76.545455,256,123,126
sage,mythic_spiritual,-30.695828,-30.205446,-17.780813,20.909091,6.727273,12.181818,257,36,51
swarm,procedural_professional,-5.266619,-30.700270,3.340425,42.000000,6.363636,60.181818,258,124,126
philosopher,procedural_professional,5.320795,-30.943900,3.955251,53.272727,6.000000,62.363636,259,125,126
witch,mythic_spiritual,-47.543469,-31.340771,-2.990897,6.363636,5.636364,42.000000,260,37,51
void,mythic_spiritual,-49.022391,-31.379616,11.645945,4.909091,5.272727,80.181818,261,38,51
egregore,mythic_spiritual,-23.836737,-31.566350,5.029204,26.363636,4.909091,65.272727,262,39,51
shaman,mythic_spiritual,-41.922689,-32.194950,-27.770490,10.727273,4.545455,6.000000,263,40,51
hive,procedural_professional,2.429805,-32.680856,4.708353,51.090909,4.181818,64.545455,264,126,126
prophet,mythic_spiritual,-53.776684,-32.707800,1.969147,2.363636,3.818182,56.545455,265,41,51
ancient,mythic_spiritual,-38.009472,-32.792585,3.308962,14.000000,3.454545,59.818182,266,42,51
spirit,mythic_spiritual,-45.035816,-33.236636,-18.033567,8.545455,3.090909,11.454545,267,43,51
echo,mythic_spiritual,-49.892212,-33.354103,0.207620,4.545455,2.727273,49.636364,268,44,51
leviathan,mythic_spiritual,-60.938873,-33.503333,12.444977,0.181818,2.363636,81.272727,269,45,51
oracle,mythic_spiritual,-45.704983,-34.548760,-2.559979,7.818182,2.000000,43.818182,270,46,51
avatar,mythic_spiritual,-38.014889,-35.416923,-12.982497,13.636364,1.636364,18.727273,271,47,51
mystic,mythic_spiritual,-42.168720,-36.161216,-18.949282,10.000000,1.272727,10.000000,272,48,51
eldritch,mythic_spiritual,-52.716802,-39.481346,15.742466,3.090909,0.909091,84.909091,273,49,51
ascetic,mythic_spiritual,-40.439576,-40.350869,-4.578672,13.272727,0.545455,38.000000,274,50,51
crystalline,mythic_spiritual,-10.335204,-44.008003,8.552672,38.363636,0.181818,72.545455,275,51,51
