persona,cluster,pc1,pc2,pc3,pc1_percentile,pc2_percentile,pc3_percentile,global_pc2_rank_desc,cluster_pc2_rank_desc,cluster_size,within_cluster_extreme_band
narrator,mythic_spiritual,-33.831536,-8.191431,-2.378908,19.454545,36.545455,44.545455,175,5,51,top10_pc2
predator,mythic_spiritual,-27.057556,-9.130771,16.628898,23.090909,34.363636,85.636364,181,6,51,top10_pc2
demon,mythic_spiritual,-51.935278,-11.475721,29.919200,4.181818,30.363636,96.181818,192,7,51,top10_pc2
virus,mythic_spiritual,-10.626606,-12.916099,25.669758,37.636364,26.363636,92.909091,203,8,51,top10_pc2
parasite,mythic_spiritual,-18.321896,-13.157745,23.002291,31.090909,25.636364,89.272727,205,9,51,top10_pc2
poet,mythic_spiritual,-59.201425,-14.699961,-3.619137,0.545455,23.818182,40.181818,210,10,51,top10_pc2
ancient,mythic_spiritual,-38.009472,-32.792585,3.308962,14.000000,3.454545,59.818182,266,42,51,bottom10_pc2
spirit,mythic_spiritual,-45.035816,-33.236636,-18.033567,8.545455,3.090909,11.454545,267,43,51,bottom10_pc2
echo,mythic_spiritual,-49.892212,-33.354103,0.207620,4.545455,2.727273,49.636364,268,44,51,bottom10_pc2
leviathan,mythic_spiritual,-60.938873,-33.503333,12.444977,0.181818,2.363636,81.272727,269,45,51,bottom10_pc2
oracle,mythic_spiritual,-45.704983,-34.548760,-2.559979,7.818182,2.000000,43.818182,270,46,51,bottom10_pc2
avatar,mythic_spiritual,-38.014889,-35.416923,-12.982497,13.636364,1.636364,18.727273,271,47,51,bottom10_pc2
mystic,mythic_spiritual,-42.168720,-36.161216,-18.949282,10.000000,1.272727,10.000000,272,48,51,bottom10_pc2
eldritch,mythic_spiritual,-52.716802,-39.481346,15.742466,3.090909,0.909091,84.909091,273,49,51,bottom10_pc2
ascetic,mythic_spiritual,-40.439576,-40.350869,-4.578672,13.272727,0.545455,38.000000,274,50,51,bottom10_pc2
crystalline,mythic_spiritual,-10.335204,-44.008003,8.552672,38.363636,0.181818,72.545455,275,51,51,bottom10_pc2
teenager,other,-13.392085,78.113855,-6.473981,35.818182,99.818182,33.272727,1,1,6,top10_pc2
adolescent,other,-15.450105,78.080596,-7.233790,34.000000,99.454545,31.818182,2,2,6,top10_pc2
toddler,other,-36.268291,71.156434,-12.325705,15.818182,99.090909,19.090909,3,3,6,top10_pc2
procrastinator,other,-16.543519,69.468250,16.772103,32.545455,98.727273,86.363636,4,4,6,top10_pc2
infant,other,-42.890391,44.700155,-19.499292,8.909091,97.272727,9.272727,8,5,6,top10_pc2
hoarder,other,-26.144485,39.078367,4.210295,24.181818,95.454545,63.090909,13,6,6,top10_pc2
mechanic,procedural_professional,11.601084,22.115207,6.157200,59.454545,86.727273,66.000000,37,1,126,top10_pc2
entrepreneur,procedural_professional,20.681250,16.282269,6.638281,65.636364,79.818182,66.727273,56,2,126,top10_pc2
expatriate,procedural_professional,14.628706,14.168570,-10.601171,63.090909,77.272727,23.454545,63,3,126,top10_pc2
pragmatist,procedural_professional,28.854692,13.113668,6.330062,75.090909,75.818182,66.363636,67,4,126,top10_pc2
presenter,procedural_professional,19.601710,13.057714,-9.659204,64.545455,75.454545,26.000000,68,5,126,top10_pc2
counselor,procedural_professional,10.852153,12.970002,-36.167331,58.727273,75.090909,0.909091,69,6,126,top10_pc2
therapist,procedural_professional,13.067799,12.359939,-34.533275,60.909091,74.363636,1.272727,71,7,126,top10_pc2
coach,procedural_professional,24.853860,11.699204,-14.839957,69.636364,73.636364,16.181818,73,8,126,top10_pc2
networker,procedural_professional,21.969381,11.672346,-15.009154,66.727273,73.272727,15.454545,74,9,126,top10_pc2
realist,procedural_professional,22.577429,10.434982,11.004567,67.818182,72.545455,78.727273,76,10,126,top10_pc2
historian,procedural_professional,28.854306,-18.916976,9.284322,74.727273,17.272727,73.636364,228,117,126,bottom10_pc2
archaeologist,procedural_professional,15.677279,-19.481606,1.901841,63.818182,16.545455,56.181818,230,118,126,bottom10_pc2
anthropologist,procedural_professional,31.896983,-20.196810,0.958958,79.818182,15.090909,52.545455,234,119,126,bottom10_pc2
scholar,procedural_professional,36.468959,-21.045066,8.530280,88.545455,14.000000,72.181818,237,120,126,bottom10_pc2
theorist,procedural_professional,33.607116,-24.466824,13.312624,83.090909,11.454545,82.727273,244,121,126,bottom10_pc2
traditionalist,procedural_professional,2.384568,-26.883152,-6.692218,50.727273,10.363636,32.181818,247,122,126,bottom10_pc2
purist,procedural_professional,2.706510,-29.726928,10.257806,51.818182,7.090909,76.545455,256,123,126,bottom10_pc2
swarm,procedural_professional,-5.266619,-30.700270,3.340425,42.000000,6.363636,60.181818,258,124,126,bottom10_pc2
philosopher,procedural_professional,5.320795,-30.943900,3.955251,53.272727,6.000000,62.363636,259,125,126,bottom10_pc2
hive,procedural_professional,2.429805,-32.680856,4.708353,51.090909,4.181818,64.545455,264,126,126,bottom10_pc2
gossip,trickster_chaos,-24.695131,57.220169,28.584501,24.909091,98.363636,95.818182,5,1,10,top10_pc2
comedian,trickster_chaos,-24.029318,56.603652,31.280027,25.636364,98.000000,97.636364,6,2,10,top10_pc2
fool,trickster_chaos,-37.406737,47.921356,7.515254,15.090909,97.636364,69.636364,7,3,10,top10_pc2
rogue,trickster_chaos,-26.637792,20.617122,30.236947,23.818182,84.545455,96.545455,43,4,10,top10_pc2
pirate,trickster_chaos,-52.653610,20.271849,24.658693,3.818182,83.818182,91.090909,45,5,10,top10_pc2
jester,trickster_chaos,-41.146591,19.964961,30.958763,11.454545,83.090909,96.909091,47,6,10,top10_pc2
trickster,trickster_chaos,-35.022031,19.740620,20.906417,16.909091,82.727273,87.818182,48,7,10,top10_pc2
caveman,trickster_chaos,-54.942089,15.489350,0.402670,1.272727,78.727273,50.363636,59,8,10,top10_pc2
absurdist,trickster_chaos,-34.383967,14.551099,33.406228,18.000000,78.000000,98.363636,61,9,10,top10_pc2
genie,trickster_chaos,-37.875531,1.547929,22.354622,14.363636,59.454545,88.909091,112,10,10,top10_pc2
gossip,trickster_chaos,-24.695131,57.220169,28.584501,24.909091,98.363636,95.818182,5,1,10,top10_pc2
comedian,trickster_chaos,-24.029318,56.603652,31.280027,25.636364,98.000000,97.636364,6,2,10,top10_pc2
fool,trickster_chaos,-37.406737,47.921356,7.515254,15.090909,97.636364,69.636364,7,3,10,top10_pc2
rogue,trickster_chaos,-26.637792,20.617122,30.236947,23.818182,84.545455,96.545455,43,4,10,top10_pc2
pirate,trickster_chaos,-52.653610,20.271849,24.658693,3.818182,83.818182,91.090909,45,5,10,top10_pc2
jester,trickster_chaos,-41.146591,19.964961,30.958763,11.454545,83.090909,96.909091,47,6,10,top10_pc2
trickster,trickster_chaos,-35.022031,19.740620,20.906417,16.909091,82.727273,87.818182,48,7,10,top10_pc2
caveman,trickster_chaos,-54.942089,15.489350,0.402670,1.272727,78.727273,50.363636,59,8,10,top10_pc2
absurdist,trickster_chaos,-34.383967,14.551099,33.406228,18.000000,78.000000,98.363636,61,9,10,top10_pc2
genie,trickster_chaos,-37.875531,1.547929,22.354622,14.363636,59.454545,88.909091,112,10,10,top10_pc2
