model,model_label,human_fit,construction,persona,hifwb_associated_score_sd,within_model_percentile
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,naturalist,0.3282957543744578,70.18181818181817
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,navigator,0.3605108155016903,76.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,negotiator,0.5497869475146129,96.72727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,networker,0.5842279426186765,97.81818181818181
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,newlywed,0.028496458977648863,45.81818181818182
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,nomad,0.011879045423867541,44.72727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,novelist,-0.0096240766985099,43.27272727272727
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,nutritionist,0.43154706736073756,88.72727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,observer,0.16518336162386085,53.81818181818182
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,optimist,0.6236924688609934,98.9090909090909
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,oracle,-0.10018474664837725,35.63636363636364
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,organizer,0.46748475744670487,92.72727272727272
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,orphan,-0.15127972415800134,30.181818181818183
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,pacifist,0.6725296624839432,100.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,paramedic,0.13902947133062482,52.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,parasite,-0.7324880843312835,8.727272727272728
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,parent,0.10205091222038974,48.72727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,patient,-0.21655873085716268,26.90909090909091
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,peacekeeper,0.6469571025407532,99.63636363636364
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,perfectionist,-0.12320911614806632,33.09090909090909
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,pharmacist,0.4057980716897384,85.45454545454545
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,philosopher,0.12253230485411064,50.54545454545455
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,photographer,0.1370325097798465,51.63636363636363
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,physicist,0.29461238414306773,65.81818181818181
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,pilgrim,0.14434788422144074,52.36363636363637
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,pilot,0.2779932075789121,62.54545454545455
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,pirate,-0.38763409169486857,19.272727272727273
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,planner,0.4694569197542694,93.0909090909091
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,playwright,-0.09136760688088957,36.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,podcaster,0.13623734768211856,51.272727272727266
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,poet,-0.21650342348685986,27.27272727272727
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,polymath,0.3599714706566167,75.63636363636364
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,pragmatist,0.07965580570008639,47.63636363636364
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,predator,-0.7548446931831125,8.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,presenter,0.3346938699552031,71.27272727272728
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,prey,-0.9407231529351434,4.363636363636364
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,prisoner,-0.6227092490180968,12.0
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,procrastinator,-1.2681804278098416,1.4545454545454546
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,prodigy,0.15969390481393084,53.45454545454545
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,producer,0.44754440734862694,90.54545454545455
gemma,Gemma-2-27B,full_overlap_primary,external_taxonomy_expanded,programmer,0.3773103403892088,79.27272727272727
