model,K,resample,sample_seed,valid_starts,best_seed,ari_to_full,nmi_to_full
qwen,4,36,3026527,20,4069705,0.9456561178696069,0.9175154866346478
qwen,4,37,3026528,20,4069793,0.9041667104998873,0.8475006037092091
qwen,4,38,3026529,20,4069901,0.9131092700038134,0.8778015890270042
qwen,4,39,3026530,20,4069995,0.9212500506696857,0.8776295711496962
qwen,4,40,3026531,20,4070100,0.6983227371467811,0.6990937674420994
qwen,4,41,3026532,20,4070193,0.9185934822256531,0.8777370107016059
qwen,4,42,3026533,20,4070305,0.6689839181642099,0.6732629607928031
qwen,4,43,3026534,20,4070396,0.5613055240782789,0.619712435170501
qwen,4,44,3026535,20,4070496,0.5798506830363772,0.6413652517357844
qwen,4,45,3026536,20,4070592,0.9467359199631566,0.8989994740301186
qwen,4,46,3026537,20,4070695,0.9356475342151896,0.9024648184278573
qwen,4,47,3026538,20,4070797,0.9171049153503543,0.8911985797644036
qwen,4,48,3026539,20,4070903,0.977045810127015,0.9484990879531703
qwen,4,49,3026540,20,4070993,0.7542472048521103,0.7581702628426658
qwen,4,50,3026541,20,4071106,0.6900569397838653,0.731702098963127
qwen,5,1,3026592,20,4076208,0.6103184095656735,0.6871801914937619
qwen,5,2,3026593,20,4076305,0.7470831547432785,0.7570707532920345
qwen,5,3,3026594,20,4076394,0.6573073215379983,0.6967721053580003
qwen,5,4,3026595,20,4076507,0.6249032805363279,0.7059432513428635
qwen,5,5,3026596,20,4076599,0.7657677129351,0.7446692577015751
qwen,5,6,3026597,20,4076700,0.8863651384886438,0.895927456858305
qwen,5,7,3026598,20,4076803,0.6127391222113,0.7028273360006873
qwen,5,8,3026599,20,4076896,0.7409287154972396,0.751333269744477
qwen,5,9,3026600,20,4077002,0.7082321566103763,0.7242999032974228
qwen,5,10,3026601,20,4077093,0.7171686806625588,0.7478546034592434
qwen,5,11,3026602,20,4077202,0.6588071294017723,0.6794088127927094
qwen,5,12,3026603,20,4077295,0.8823266447673512,0.9228852355414491
qwen,5,13,3026604,20,4077407,0.674992211270481,0.6750761645379862
qwen,5,14,3026605,20,4077501,0.6715151181896086,0.6713935857176563
qwen,5,15,3026606,20,4077597,0.70249698049423,0.696390817787542
qwen,5,16,3026607,20,4077702,0.760402920582674,0.7878005119519054
qwen,5,17,3026608,20,4077793,0.8984941568522868,0.8943396967362437
qwen,5,18,3026609,20,4077894,0.6998154442702957,0.6987348341186238
qwen,5,19,3026610,20,4078004,0.7750853203117499,0.7779490740125782
qwen,5,20,3026611,20,4078108,0.7107210656003264,0.7446617453055411
qwen,5,21,3026612,20,4078208,0.6925571425392439,0.708443669434134
qwen,5,22,3026613,20,4078300,0.6994743234364333,0.7170151203429788
qwen,5,23,3026614,20,4078409,0.6460407657094172,0.6914680695171942
qwen,5,24,3026615,20,4078497,0.6583557329149623,0.728877035597442
qwen,5,25,3026616,20,4078603,0.6937491662996252,0.6913714889265813
qwen,5,26,3026617,20,4078699,0.6035696303210338,0.6894510827214083
qwen,5,27,3026618,20,4078794,0.6933941098962871,0.7092570153655082
qwen,5,28,3026619,20,4078901,0.7382777038146883,0.7600737288354316
qwen,5,29,3026620,20,4079001,0.7085381317807011,0.7260003865257618
qwen,5,30,3026621,20,4079100,0.6681318770227346,0.6992365278740188
qwen,5,31,3026622,20,4079193,0.7132234105721718,0.7649540593104748
qwen,5,32,3026623,20,4079298,0.6481957568816664,0.6852516774141686
qwen,5,33,3026624,20,4079400,0.6771525073312312,0.6944777382159348
qwen,5,34,3026625,20,4079510,0.7272084085259378,0.7476919174631876
qwen,5,35,3026626,20,4079604,0.611149930116487,0.6710407843662041
qwen,5,36,3026627,20,4079710,0.6189173607709605,0.6735183160687026
qwen,5,37,3026628,20,4079809,0.7365684327884124,0.7499599074879261
qwen,5,38,3026629,20,4079894,0.7601256107315243,0.7767192243724775
qwen,5,39,3026630,20,4079992,0.6869858309484458,0.7259748865122573
qwen,5,40,3026631,20,4080102,0.703984873514436,0.7222142255936759
qwen,5,41,3026632,20,4080200,0.6259721495079089,0.7161929506950817
qwen,5,42,3026633,20,4080304,0.6256494251049665,0.702829197163169
qwen,5,43,3026634,20,4080395,0.689236390169083,0.7428304840450195
qwen,5,44,3026635,20,4080492,0.677288679257238,0.7049033751427974
qwen,5,45,3026636,20,4080611,0.6624938956658349,0.6975066227402452
