model,K,profile_id,native_dimension,centroid_l2_norm,member_count,centroid_float64_le_sha256
qwen,8,Q08_H,5120,1.0,50,b559e2d97d40f0228bfb05625e970419d6ba15e2745b820e56f8823f0dd527fe
qwen,9,Q09_A,5120,1.0,27,c9f8e7e4646c513f64939149a996883530fef83d0ce1a7d61daf21dc54a34ba4
qwen,9,Q09_B,5120,0.9999999999999999,88,8ffd7a380e6e278291e5836993e84cb3502edf97c4d65647cd158389e2ff1edf
qwen,9,Q09_C,5120,1.0,7,453ab2e72fcaa7fc4cc768117bf75190245718cf4a78956c252ba40017d44751
qwen,9,Q09_D,5120,1.0,26,ffa5f48916f216c7a4561ed06f613bbc1ccd06bc05de3eb17dcc8283facba1a3
qwen,9,Q09_E,5120,0.9999999999999999,2,d32487a4e09becdd20b57c09c46ba0a4595a62f1dd31c5218245cb58901261b8
qwen,9,Q09_F,5120,1.0,1,bc7195fbc34a4dfaa93f1bf7885a495ce36e65be9d64f2507b1e8faf671ea848
qwen,9,Q09_G,5120,0.9999999999999999,48,ecb6344959a11b0ef2bcbbb6f2d001fa6ca91a2abec5ef3501181bcbabeb014d
qwen,9,Q09_H,5120,1.0000000000000002,48,d5c1f8a9832b8413c91195da1d976011c3fcd76b60cb62049abd26e50d1a53dd
qwen,9,Q09_I,5120,1.0,28,dd010046cb8fafa4b616637757c3939685aa08b8840db6920c5af66bf070b8b8
qwen,10,Q10_A,5120,1.0,35,26f8b5fbb9a5fa576f656c8b13dd2103174f03ab72d8682adfa3663981191ef9
qwen,10,Q10_B,5120,0.9999999999999999,13,17cac84d6dddf8d194a58161d922ca2854c9a5492b4a3b5a0a35a8a9c35d28a9
qwen,10,Q10_C,5120,1.0,42,98ec0a8ed410a482243486e378fba4b469712ed32f09199d3fe9ef77703eb6cd
qwen,10,Q10_D,5120,1.0,21,82d51ad40c12d4005be7ceccbe4f80d6155eede688fee8d3d6e5f38de64ebde4
qwen,10,Q10_E,5120,0.9999999999999999,30,91480046bb149d30f0bd66899da87983ad8dbb454a6729b5712d35dfe688af7f
qwen,10,Q10_F,5120,0.9999999999999999,2,d32487a4e09becdd20b57c09c46ba0a4595a62f1dd31c5218245cb58901261b8
qwen,10,Q10_G,5120,1.0,3,855155c3377489275dfff6dd292375c72c12f92c46a7635337a006dad23d2994
qwen,10,Q10_H,5120,0.9999999999999999,82,97900a35685c0436ac2de37a7ded3b4d9527604fb834e06ee1c414ab05a0685b
qwen,10,Q10_I,5120,0.9999999999999998,10,2c53f66be4e7dc6fd4a36cb9615955374b2c2b5f204523f717be95e81f20f2a8
qwen,10,Q10_J,5120,1.0,37,724b326653b48cb71b62bc61f9821ad17d6b1fbdf07cbdf08b26dd76b1ff4a7b
