component,projector_eigenvalue,heldout_min_pairwise_pearson,heldout_mean_pairwise_pearson,heldout_best_pairwise_pearson,best_pair_minus_all_three,heldout_qwen_llama,heldout_qwen_gemma,heldout_llama_gemma,heldout_fold_min_median,persona_null_p,persona_null_p95,trait_loading_min_tucker,trait_label_null_p,trait_label_null_p95,provisional_retained,individually_stable,regularization_sensitivity_min_axis_match,supported_consensus_axis
11,1.0787455506748813,0.6877465945829226,0.7338430026072578,0.7967777044111957,0.10903110982827302,0.7967777044111957,0.6877465945829226,0.7170047088276552,0.6843802411072515,0.009900990099009901,0.02402473282534905,-0.23801829318158196,1.0,0.04907353117751858,True,False,0.4466379327585759,False
12,0.9295400043988264,0.5583544960266661,0.6193676599118404,0.717920408555451,0.15956591252878494,0.5583544960266661,0.5818280751534041,0.717920408555451,0.517632262477288,0.009900990099009901,0.021486314079890233,-0.426427388493251,1.0,5.433230568970858e-05,True,False,0.49918592763521735,False
13,0.851017265623101,0.6265809198059278,0.6792018636153762,0.7601160675158093,0.1335351477098815,0.6509086035243913,0.6265809198059278,0.7601160675158093,0.6009218628808161,0.009900990099009901,0.032128631014030795,-0.2816960736977837,1.0,-0.03395899284662208,True,False,0.3656775636651266,False
14,0.7300206281270829,0.3268587775909574,0.4410987954003027,0.6099686233495235,0.2831098457585661,0.3864689852604273,0.3268587775909574,0.6099686233495235,0.2701210718335771,0.009900990099009901,0.03371685754271666,-0.594149022069618,1.0,-0.0011991520858506684,False,False,,False
15,0.6332150338429634,0.4538354860750561,0.5302030022359395,0.6357362252985391,0.18190073922348304,0.5010372953342233,0.4538354860750561,0.6357362252985391,0.4119871586551083,0.009900990099009901,0.044574062081195874,-0.5525268950393187,1.0,-0.04012283479592729,False,False,,False
16,0.5390669401595894,0.6007001677368476,0.6346732382701724,0.6752707403846665,0.07457057264781886,0.6752707403846665,0.6280488066890032,0.6007001677368476,0.5331858186634582,0.009900990099009901,0.012830094776255933,-0.5243487091710477,1.0,0.011090331707501738,False,False,,False
17,0.4478187249696042,0.3181407504979188,0.4087832656341439,0.5337512213191953,0.2156104708212765,0.3181407504979188,0.37445782508531766,0.5337512213191953,0.36026192402925605,0.009900990099009901,0.02514266106279451,-0.6674682095992497,1.0,-0.03851891670299574,False,False,,False
18,0.38582095099566516,0.20008965483916197,0.25724142850478193,0.30147059895694667,0.1013809441177847,0.20008965483916197,0.30147059895694667,0.2701640317182373,0.09597699793701378,0.009900990099009901,0.047561093221464165,-0.6841862348692445,1.0,-0.010239452488378712,False,False,,False
19,0.3583396817531331,0.28312257348392555,0.33645452857662556,0.3720276844518179,0.08890511096789233,0.28312257348392555,0.3720276844518179,0.35421332779413317,0.17943237544825252,0.009900990099009901,0.023193307112603548,-0.5608790278028853,1.0,-0.020213451255453138,False,False,,False
20,0.27090149767689525,-0.1429078126284059,-0.0013996527606026175,0.1415324789888142,0.28444029161722006,-0.1429078126284059,0.1415324789888142,-0.002823624642216133,-0.21562090448712348,0.9702970297029703,0.024357031935472215,-0.5515794264595368,1.0,0.011506777872054988,False,False,,False
