persona,pearson_qwen_llama,pearson_qwen_gemma,pearson_llama_gemma,pearson_mean,pearson_min,pearson_max,raw_profile_pearson_mean,standardized_rmse_mean,category,mean_trait_score_influence,max_trait_score_influence
amnesiac,0.6978141609993267,0.9017734566945093,0.7145474439535999,0.7713783538824787,0.6978141609993267,0.9017734566945093,0.7664369748084036,0.7149284990990995,all_three_strong,0.0014588572990485481,0.006203362306912874
analyst,0.8820622209392853,0.9448770652042445,0.93436875600844,0.9204360140506567,0.8820622209392853,0.9448770652042445,0.8082466139253065,0.41541117917923387,all_three_strong,0.0008739804978677985,0.004145138986952457
anarchist,0.7378500371037484,0.8701926553041345,0.7598072001811462,0.7892832975296763,0.7378500371037484,0.8701926553041345,0.7566088136545277,0.5495459070731554,all_three_strong,0.0009237585153991765,0.010181978342536036
ancient,0.8611616254184967,0.9514294963333711,0.8742934614941154,0.8956281944153277,0.8611616254184967,0.9514294963333711,0.7637430974396646,0.401602704235226,all_three_strong,0.0008318634132811651,0.0033932194837006935
angel,0.8124745904185423,0.8593483222573643,0.8858926781727221,0.8525718636162095,0.8124745904185423,0.8858926781727221,0.8012812413372804,0.5686172939424797,all_three_strong,0.0009882529972408173,0.006531383203861318
anthropologist,0.8246988563857313,0.8936869228656946,0.9320484261616011,0.883478068471009,0.8246988563857313,0.9320484261616011,0.800040793932607,0.4121264501135596,all_three_strong,0.0006351824441746754,0.0073229877918776776
archaeologist,0.7987833347712822,0.611902268180411,0.8088552525014642,0.7398469518177192,0.611902268180411,0.8088552525014642,0.7882161947211954,0.3974285617804704,all_three_strong,0.0003961937293345069,0.002406700851379562
architect,0.8395636073632985,0.8847887811680937,0.9487466573448557,0.8910330152920826,0.8395636073632985,0.9487466573448557,0.8065208106264657,0.3214999220972794,all_three_strong,0.00029008359891227314,0.0016394696134710562
archivist,0.8478306321638086,0.8312074522981299,0.8942952003573631,0.8577777616064339,0.8312074522981299,0.8942952003573631,0.7993982683161418,0.40864589572099247,all_three_strong,0.0003797212067668164,0.002493601599114381
artisan,0.8534551155040575,0.8743106380581825,0.8922774025157217,0.8733477186926538,0.8534551155040575,0.8922774025157217,0.7934039351956491,0.28443771382275734,all_three_strong,0.00021410000695692064,0.0016997316305096266
ascetic,0.9251262850829954,0.9231160014470896,0.8965760761934531,0.9149394542411793,0.8965760761934531,0.9251262850829954,0.7488326034255587,0.47305152539614576,all_three_strong,0.0010492040232792294,0.008803204447548119
assistant,0.8714027177316266,0.9372505514181981,0.9065670334423748,0.9050734341973999,0.8714027177316266,0.9372505514181981,0.8172179101754032,0.4071469819366904,all_three_strong,0.0007050464779710199,0.004025907152897995
auctioneer,0.7585023830254817,0.843714947456031,0.730352041892904,0.7775231241248056,0.730352041892904,0.843714947456031,0.7562568607746436,0.5359219359054046,all_three_strong,0.000593356325746968,0.005000405691402754
auditor,0.8294582526836667,0.8704214898400257,0.9276886955785872,0.8758561460340933,0.8294582526836667,0.9276886955785872,0.7925164270262776,0.5791675611029689,all_three_strong,0.0009961155758311986,0.005556853241097337
avatar,0.8336765243975268,0.9015338494107477,0.8827909387068625,0.8726671041717123,0.8336765243975268,0.9015338494107477,0.7846021955072381,0.4593415184938916,all_three_strong,0.0009222362177828883,0.004710928986981999
bard,0.8852267159043685,0.9108090839772488,0.9115092909914284,0.9025150302910152,0.8852267159043685,0.9115092909914284,0.7601989085381469,0.39217401863521745,all_three_strong,0.0006159592747899282,0.003287432170172022
bartender,0.8674453753114149,0.926104397332435,0.8972325282758566,0.8969274336399021,0.8674453753114149,0.926104397332435,0.7767425299537593,0.456773027073521,all_three_strong,0.0008361983898154013,0.005840295854634636
biologist,0.7832103906346621,0.7920981776260645,0.9024849961321278,0.8259311881309515,0.7832103906346621,0.9024849961321278,0.7964914150099043,0.46328334822206346,all_three_strong,0.00043621932768053094,0.0028348304478950648
blogger,0.7763541288762124,0.8393366873102314,0.7827256350714265,0.7994721504192901,0.7763541288762124,0.8393366873102314,0.7986759998628358,0.38089144204338,all_three_strong,0.00046205550504847766,0.0036620771167804878
bohemian,0.8829949585078679,0.9231440873398862,0.934932604551576,0.91369055013311,0.8829949585078679,0.934932604551576,0.7387305150050439,0.574950120941732,all_three_strong,0.0013207974907711076,0.013264148511302642
builder,0.7683796411638926,0.7319332213097182,0.8060421516339871,0.7687850047025325,0.7319332213097182,0.8060421516339871,0.7954346314367591,0.2770154970076664,all_three_strong,0.00019567306238235522,0.001128414618253748
caregiver,0.8956670220982601,0.9211256460866553,0.9070147072987169,0.9079357918278775,0.8956670220982601,0.9211256460866553,0.8292482732284442,0.5378333143201295,all_three_strong,0.0009302814241101723,0.0102060917554464
cartographer,0.8210561295330902,0.808452148051264,0.8893208316395722,0.839609703074642,0.808452148051264,0.8893208316395722,0.7992445719517977,0.3211722892787127,all_three_strong,0.00024306062799468614,0.0015577931814408918
caveman,0.717788862237676,0.8351522044156146,0.8499358094579035,0.8009589587037315,0.717788862237676,0.8499358094579035,0.724301059807637,1.6196162673399115,all_three_strong,0.006477633455745813,0.05229320232451545
celebrity,0.7993875554405848,0.894556706720431,0.8306674458648006,0.8415372360086054,0.7993875554405848,0.894556706720431,0.7737558828703097,0.4426692175850791,all_three_strong,0.0006193185328086802,0.00395370495160674
chameleon,0.7357201434874365,0.7753515024008608,0.8493973605470736,0.7868230021451237,0.7357201434874365,0.8493973605470736,0.7885641822490803,0.4400946528659231,all_three_strong,0.0005324913316481569,0.005242595098819136
chef,0.6487021318613437,0.8502030420066277,0.5900970848016838,0.6963340862232185,0.5900970848016838,0.8502030420066277,0.7944833816456915,0.3575899338870525,all_three_strong,0.0003241915081412434,0.002933380697137833
chemist,0.8259511360365863,0.7215521777246664,0.8336203033613268,0.7937078723741932,0.7215521777246664,0.8336203033613268,0.7917480715486324,0.4377190209529007,all_three_strong,0.00036633467127243136,0.0026112161702414594
chimera,0.733445620175744,0.9104620513217767,0.8047090698517482,0.8162055804497563,0.733445620175744,0.9104620513217767,0.7604579518299328,0.48807169702813136,all_three_strong,0.000921868310356169,0.004076568349523857
coach,0.8976179277811939,0.9518737607355685,0.8954749739749701,0.9149888874972442,0.8954749739749701,0.9518737607355685,0.8252811881141433,0.3336795931750191,all_three_strong,0.0005778138813895331,0.003329299741745201
collaborator,0.9212320185483311,0.9497227378488643,0.9232500226400483,0.9314015930124145,0.9212320185483311,0.9497227378488643,0.825651272562156,0.3650059835509751,all_three_strong,0.0005576539978244723,0.007296769456543339
collector,0.7951679473569941,0.8219816990519567,0.8094610363828902,0.8088702275972803,0.7951679473569941,0.8219816990519567,0.7945013371696391,0.28018913572785115,all_three_strong,0.00019717527719591177,0.00149276377123303
comedian,0.8760169695361426,0.9350559155292387,0.9202917233029835,0.9104548694561215,0.8760169695361426,0.9350559155292387,0.6586587308153572,0.7684799927692197,all_three_strong,0.00218254221586067,0.010009635414663931
competitor,0.8782428766716662,0.9495765171456053,0.917153429186056,0.9149909410011091,0.8782428766716662,0.9495765171456053,0.7109185801927014,0.581400671877054,all_three_strong,0.001429913429450811,0.012258271742271593
composer,0.8601701303179368,0.9276735893230147,0.8466859163371694,0.8781765453260402,0.8466859163371694,0.9276735893230147,0.7921260321726926,0.24251363861110206,all_three_strong,0.00018369734270093707,0.0014688678088309315
conservator,0.8575624444655496,0.8317069409120943,0.9115890680426937,0.8669528178067791,0.8317069409120943,0.9115890680426937,0.80231390513971,0.378742128658978,all_three_strong,0.00037596334229966533,0.002990130985821071
consultant,0.8687140044133054,0.9483455001790853,0.9303894519830145,0.9158163188584684,0.8687140044133054,0.9483455001790853,0.8106178258772703,0.39082950083561596,all_three_strong,0.0007013380242230224,0.00364658580546251
contrarian,0.8165700243058376,0.9294915758470819,0.8470334112760761,0.8643650038096652,0.8165700243058376,0.9294915758470819,0.7280394600843505,0.5240948656245372,all_three_strong,0.0010326729100940389,0.009059891129987507
coordinator,0.8670373617595054,0.9247103327262621,0.9412815009522069,0.9110097318126581,0.8670373617595054,0.9412815009522069,0.8155308241521376,0.3715383785375402,all_three_strong,0.000585239168647735,0.002637600377325744
coral_reef,0.7186544137064478,0.7348140912521629,0.6566723970431343,0.7033803006672482,0.6566723970431343,0.7348140912521629,0.7928716642637869,0.5137049714202647,all_three_strong,0.0005376193223065116,0.0038808281610018813
cosmopolitan,0.8868617613446091,0.8273555866202655,0.9037951512033575,0.8726708330560774,0.8273555866202655,0.9037951512033575,0.8042459301730962,0.28927002695669596,all_three_strong,0.00033636386171390526,0.004604161545076979
counselor,0.8473934908950623,0.9119540090186125,0.8585124950157367,0.8726199983098039,0.8473934908950623,0.9119540090186125,0.8330905482101407,0.5426054575108806,all_three_strong,0.0009716040069336282,0.005398181057147566
criminal,0.8746375661177298,0.9659144190283635,0.8990342545440676,0.9131954132300536,0.8746375661177298,0.9659144190283635,0.6914450479202702,0.6885554468667362,all_three_strong,0.0020337314395841815,0.008742411522156823
critic,0.7594087135885833,0.8176194147053994,0.9195756814920958,0.8322012699286928,0.7594087135885833,0.9195756814920958,0.7902659969838607,0.3882428232810092,all_three_strong,0.00046432161380209895,0.0032413116005898246
crystalline,0.8586499197599843,0.8545660309175166,0.8579730676463392,0.8570630061079467,0.8545660309175166,0.8586499197599843,0.7705471992775405,0.5319489851371494,all_three_strong,0.0009118856378597875,0.008965882912111756
curator,0.8944839655894669,0.901235571159807,0.9496722463376274,0.9151305943623004,0.8944839655894669,0.9496722463376274,0.8073419104282761,0.23857039570320215,all_three_strong,0.000258793611172054,0.0016069630483892816
cyborg,0.8301844814582379,0.8311841016224992,0.8331612390206461,0.831509940700461,0.8301844814582379,0.8331612390206461,0.7981026728965449,0.38452305616234644,all_three_strong,0.00038258726447436476,0.003995628305695331
