model,aa17_factor,consensus_component,tucker_loading_congruence,persona_score_correlation,persona_score_variance_overlap,aa17_factor_joint_score_overlap,aa17_factor_model_residual_overlap
Qwen,Qwen_F5,C3,-0.8398310549674447,-0.8324158874253734,0.6929162096381719,0.9789835352185213,0.00011913692285592854
Qwen,Qwen_F5,C4,0.12971608723868103,0.030321262950030386,0.0009193789868848853,0.9789835352185213,0.00011913692285592854
Qwen,Qwen_F5,C5,0.41384968313001774,0.41652363783156066,0.1734919408724371,0.9789835352185213,0.00011913692285592854
Qwen,Qwen_F5,C6,0.16365958756696986,0.10400558395702907,0.010817161494242621,0.9789835352185213,0.00011913692285592854
Qwen,Qwen_F5,C7,-0.2762697457078295,-0.06489749675875509,0.004211685085552627,0.9789835352185213,0.00011913692285592854
Qwen,Qwen_F5,C8,0.0628562951300439,-0.03813094168211024,0.001453968713564492,0.9789835352185213,0.00011913692285592854
Qwen,Qwen_F5,C9,-0.2976763171901822,-0.01434733770419467,0.00020584609919820597,0.9789835352185213,0.00011913692285592854
Qwen,Qwen_F5,C10,-0.22478582689458865,-0.04136129985608936,0.001710757125785338,0.9789835352185213,0.00011913692285592854
Qwen,Qwen_F5,C11,0.07149056123202123,0.060351477407421576,0.003642300825258517,0.9789835352185213,0.00011913692285592854
Qwen,Qwen_F5,C12,0.633887153880745,0.22400105855252472,0.05017647423265161,0.9789835352185213,0.00011913692285592854
Qwen,Qwen_F5,C13,-0.21538160843603768,0.01714886905712625,0.0002940837099384621,0.9789835352185213,0.00011913692285592854
Llama,Llama_F1,C1,-0.794410043510124,-0.783973386328833,0.6146142704718975,0.9817784646158079,0.006082285896270616
Llama,Llama_F1,C2,0.3071084980885247,0.1843795216813105,0.03399580801542885,0.9817784646158079,0.006082285896270616
Llama,Llama_F1,C3,0.5977761026864439,0.5430917246941345,0.29494862143124956,0.9817784646158079,0.006082285896270616
Llama,Llama_F1,C4,0.2983788180753643,0.09503961461528128,0.009032528346221187,0.9817784646158079,0.006082285896270616
Llama,Llama_F1,C5,-0.17579667534553595,-0.1282890251365941,0.016458073970497672,0.9817784646158079,0.006082285896270616
Llama,Llama_F1,C6,0.1945813114260903,0.1624245907675159,0.026381747685995008,0.9817784646158079,0.006082285896270616
Llama,Llama_F1,C7,-0.1061049514159492,0.03799647348617578,0.0014437319973856593,0.9817784646158079,0.006082285896270616
Llama,Llama_F1,C8,-0.6527308491546688,-0.17198511627387522,0.02957888021973838,0.9817784646158079,0.006082285896270616
Llama,Llama_F1,C9,-0.21304223923824728,-0.03293725363082834,0.0010848626767415146,0.9817784646158079,0.006082285896270616
Llama,Llama_F1,C10,0.31760395947015235,0.05124134047946057,0.0026256749741320044,0.9817784646158079,0.006082285896270616
Llama,Llama_F1,C11,0.5004027005735403,0.0703279799115897,0.004946024758444965,0.9817784646158079,0.006082285896270616
Llama,Llama_F1,C12,-0.47935924734485097,-0.09186144232268213,0.008438524585603456,0.9817784646158079,0.006082285896270616
Llama,Llama_F1,C13,0.2349210896822235,0.03766207759202271,0.0014184320885475392,0.9817784646158079,0.006082285896270616
Llama,Llama_F2,C1,-0.540018341267107,-0.6168547894396951,0.38050983125469057,0.982604480006191,0.0006080810399488308
Llama,Llama_F2,C2,-0.6127464068264586,-0.7070795591675453,0.49996150299257014,0.982604480006191,0.0006080810399488308
Llama,Llama_F2,C3,-0.24135191456776933,-0.24355301336451957,0.05931807031893785,0.982604480006191,0.0006080810399488308
Llama,Llama_F2,C4,-0.038679084464770044,0.19974133373921177,0.03989660040391918,0.982604480006191,0.0006080810399488308
Llama,Llama_F2,C5,0.040594385718452815,-0.03527943123282845,0.0012446382681118716,0.982604480006191,0.0006080810399488308
Llama,Llama_F2,C6,-0.02855786257827462,-0.04564697925825924,0.002083646715403949,0.982604480006191,0.0006080810399488308
Llama,Llama_F2,C7,0.16438669242047974,0.058546463926793836,0.003427688438331372,0.982604480006191,0.0006080810399488308
Llama,Llama_F2,C8,-0.10699850304680701,-0.006534280454269696,4.269682105505098e-05,0.982604480006191,0.0006080810399488308
Llama,Llama_F2,C9,-0.43334361035903424,-0.07955939067514292,0.0063296966446000184,0.982604480006191,0.0006080810399488308
Llama,Llama_F2,C10,-0.346152251820076,-0.0617588042074898,0.0038141498971390594,0.982604480006191,0.0006080810399488308
Llama,Llama_F2,C11,-0.032712204793159165,-0.0037333293876112015,1.3937748316401429e-05,0.982604480006191,0.0006080810399488308
Llama,Llama_F2,C12,-0.38868847711434173,-0.0288095696308985,0.0008299913023175891,0.982604480006191,0.0006080810399488308
Llama,Llama_F2,C13,-0.35494705986630454,-0.030362882233705715,0.0009219046175378821,0.982604480006191,0.0006080810399488308
Llama,Llama_F3,C1,0.3877462665724138,0.36313918354804997,0.13187006662794432,0.9711902072458413,0.0006076163102677431
Llama,Llama_F3,C2,-0.49836266546243846,-0.5203959927934567,0.27081198931548744,0.9711902072458413,0.0006076163102677431
Llama,Llama_F3,C3,0.5742402468987957,0.6029407514442515,0.3635375497521587,0.9711902072458413,0.0006076163102677431
Llama,Llama_F3,C4,0.12169671072765431,0.17125357362401666,0.029327786478996497,0.9711902072458413,0.0006076163102677431
Llama,Llama_F3,C5,0.4616883198590049,0.3951848796549388,0.15617108910788846,0.9711902072458413,0.0006076163102677431
Llama,Llama_F3,C6,-0.40003389403713663,-0.19675938933379597,0.0387142572910083,0.9711902072458413,0.0006076163102677431
Llama,Llama_F3,C7,-0.2505436132036627,-0.19391238568103944,0.03760201332051219,0.9711902072458413,0.0006076163102677431
Llama,Llama_F3,C8,0.49730182097661013,0.1467280252643202,0.021529113397966985,0.9711902072458413,0.0006076163102677431
Llama,Llama_F3,C9,0.16093550852629732,0.04100408409965834,0.0016813349128518538,0.9711902072458413,0.0006076163102677431
Llama,Llama_F3,C10,-0.42527325340034494,-0.10105623811320108,0.010212363261591995,0.9711902072458413,0.0006076163102677431
Llama,Llama_F3,C11,-0.3829583026336316,-0.05686385367476641,0.003233497854745245,0.9711902072458413,0.0006076163102677431
Llama,Llama_F3,C12,0.3919274951249023,0.08773470544115702,0.0076973785388465875,0.9711902072458413,0.0006076163102677431
Llama,Llama_F3,C13,0.036521936418334754,0.017278510828823215,0.0002985469364617611,0.9711902072458413,0.0006076163102677431
Llama,Llama_F4,C1,-0.38610057497261097,-0.44612315022624627,0.1990258651677899,0.9553606175293635,0.016716226715367453
Llama,Llama_F4,C2,-0.4113812119907728,-0.34152545896668207,0.11663963912240284,0.9553606175293635,0.016716226715367453
Llama,Llama_F4,C3,-0.19479089264355104,-0.06952127685446492,0.00483320793547516,0.9553606175293635,0.016716226715367453
Llama,Llama_F4,C4,-0.7273489791988209,-0.7541955173915151,0.5688108784534552,0.9553606175293635,0.016716226715367453
Llama,Llama_F4,C5,0.04091313183056001,0.009521141721759186,9.065213968582347e-05,0.9553606175293635,0.016716226715367453
Llama,Llama_F4,C6,-0.16820037610922492,-0.3044297797922785,0.09267749082437517,0.9553606175293635,0.016716226715367453
Llama,Llama_F4,C7,0.10351166281987317,-0.04055855471942564,0.0016449963609286439,0.9553606175293635,0.016716226715367453
Llama,Llama_F4,C8,-0.05548118873180386,0.030100467190133536,0.0009060381250643056,0.9553606175293635,0.016716226715367453
Llama,Llama_F4,C9,-0.35940889408008386,-0.061155223359862315,0.0037399613441946493,0.9553606175293635,0.016716226715367453
Llama,Llama_F4,C10,-0.4104142590105708,-0.11981970554729901,0.014356761837441437,0.9553606175293635,0.016716226715367453
Llama,Llama_F4,C11,-0.22514804499776464,-0.09087205340587717,0.008257730090200593,0.9553606175293635,0.016716226715367453
Llama,Llama_F4,C12,-0.6673896097601362,-0.21520731188653708,0.04631418708942924,0.9553606175293635,0.016716226715367453
Llama,Llama_F4,C13,-0.6067313821203212,-0.15803575857490623,0.02497530098834605,0.9553606175293635,0.016716226715367453
Llama,Llama_F5,C1,0.27738740834284503,0.27799782113365,0.07728278855505687,0.9591689711731017,0.008472229213872758
Llama,Llama_F5,C2,0.15552688426023886,0.1208516596066474,0.01460512362968097,0.9591689711731017,0.008472229213872758
Llama,Llama_F5,C3,0.4384855273804044,0.368242859180973,0.1356028033377779,0.9591689711731017,0.008472229213872758
Llama,Llama_F5,C4,0.42689163450533457,0.33142385262119284,0.10984177008627415,0.9591689711731017,0.008472229213872758
Llama,Llama_F5,C5,-0.6531769355864895,-0.6454013056735631,0.4165428453651401,0.9591689711731017,0.008472229213872758
Llama,Llama_F5,C6,-0.7159468140316,-0.5494113308648232,0.3018528104826562,0.9591689711731017,0.008472229213872758
Llama,Llama_F5,C7,-0.03430330294220116,0.0498171234234265,0.0024817457861849093,0.9591689711731017,0.008472229213872758
Llama,Llama_F5,C8,0.194599385644416,0.07201204189646193,0.005185734178097788,0.9591689711731017,0.008472229213872758
Llama,Llama_F5,C9,0.20046226533587222,0.016966674360326235,0.0002878680388493517,0.9591689711731017,0.008472229213872758
Llama,Llama_F5,C10,0.12681739572254444,0.024393348923826344,0.0005950354717195399,0.9591689711731017,0.008472229213872758
Llama,Llama_F5,C11,-0.139104243262944,-0.07152692949235981,0.005116101642605011,0.9591689711731017,0.008472229213872758
Llama,Llama_F5,C12,0.4350515430717642,0.09666734944966672,0.00934457644962398,0.9591689711731017,0.008472229213872758
Llama,Llama_F5,C13,0.5902403832787012,0.19726755433546375,0.038914487993495145,0.9591689711731017,0.008472229213872758
Llama,Llama_F6,C1,-0.5742082907933175,-0.525204764815233,0.2758400449846242,0.9741987405585222,0.020823631797297102
Llama,Llama_F6,C2,0.7371301857926125,0.6721942976127779,0.4518451737431359,0.9741987405585222,0.020823631797297102
Llama,Llama_F6,C3,0.1761706041263781,0.021264042859222423,0.0004521595187188481,0.9741987405585222,0.020823631797297102
Llama,Llama_F6,C4,0.6230426300408575,0.3891435956701596,0.15143273805110066,0.9741987405585222,0.020823631797297102
Llama,Llama_F6,C5,0.12662569576146251,0.22145435639272115,0.049042031965314356,0.9741987405585222,0.020823631797297102
Llama,Llama_F6,C6,-0.1721069655511721,-0.21984895098148746,0.04833356124766048,0.9741987405585222,0.020823631797297102
Llama,Llama_F6,C7,-0.5139053847421311,-0.24507012045983498,0.060059363942198025,0.9741987405585222,0.020823631797297102
Llama,Llama_F6,C8,-0.4833290654054853,-0.046848942796691044,0.0021948234411676296,0.9741987405585222,0.020823631797297102
Llama,Llama_F6,C9,0.03218803755056712,0.023927084901405687,0.000572505391879076,0.9741987405585222,0.020823631797297102
Llama,Llama_F6,C10,0.5824657558968201,0.08350298651052303,0.006972748756176591,0.9741987405585222,0.020823631797297102
Llama,Llama_F6,C11,0.6280545091361496,0.08999246399223658,0.008098643575393997,0.9741987405585222,0.020823631797297102
Llama,Llama_F6,C12,-0.14934598952959965,0.001965417164529455,3.862864630627002e-06,0.9741987405585222,0.020823631797297102
Llama,Llama_F6,C13,0.49013403845463527,0.09494433695049284,0.00901442711896872,0.9741987405585222,0.020823631797297102
Gemma,Gemma_F1,C1,-0.7038572508741152,-0.6847505958880957,0.46888337856910217,0.970527089481803,0.004717020239454175
Gemma,Gemma_F1,C2,0.45267856804515827,0.4400074473984216,0.19360655376607477,0.970527089481803,0.004717020239454175
Gemma,Gemma_F1,C3,-0.08369648089743668,-0.05066188295014703,0.0025666263840543983,0.970527089481803,0.004717020239454175
Gemma,Gemma_F1,C4,-0.26683121528136505,-0.23993865322176552,0.05757055730987465,0.970527089481803,0.004717020239454175
Gemma,Gemma_F1,C5,0.22348008831220165,0.2643381142375089,0.06987463863864231,0.970527089481803,0.004717020239454175
Gemma,Gemma_F1,C6,-0.45612154970141305,-0.3981490240316591,0.15852264533736263,0.970527089481803,0.004717020239454175
Gemma,Gemma_F1,C7,0.24052140248455328,0.15736770166627648,0.024764593527726197,0.970527089481803,0.004717020239454175
Gemma,Gemma_F1,C8,0.04282352253153021,-0.1344613426834888,0.018079852676246608,0.970527089481803,0.004717020239454175
Gemma,Gemma_F1,C9,0.24985313966599407,0.16473385216828873,0.027137242050203604,0.970527089481803,0.004717020239454175
Gemma,Gemma_F1,C10,0.41194155531515003,-0.025182565230355405,0.000634161591581105,0.970527089481803,0.004717020239454175
Gemma,Gemma_F1,C11,0.23899432520197017,0.14446591697650574,0.020870401167862648,0.970527089481803,0.004717020239454175
Gemma,Gemma_F1,C12,0.2386820493372735,0.15395761034428718,0.02370294578292336,0.970527089481803,0.004717020239454175
Gemma,Gemma_F1,C13,0.5144038286121229,0.015653463454280057,0.00024503091811448134,0.970527089481803,0.004717020239454175
Gemma,Gemma_F2,C1,0.35188054699583937,0.32190161876435497,0.10362065216311213,0.9711511770468942,0.0008880470522801112
Gemma,Gemma_F2,C2,-0.7232959956922044,-0.7307467908996582,0.5339908724101488,0.9711511770468942,0.0008880470522801112
Gemma,Gemma_F2,C3,0.35606470650591443,0.3631665992448534,0.13188997880707196,0.9711511770468942,0.0008880470522801112
Gemma,Gemma_F2,C4,-0.08276455825179782,-0.17691960356094483,0.03130054612416188,0.9711511770468942,0.0008880470522801112
Gemma,Gemma_F2,C5,0.2474158525786873,0.38336081950053663,0.14696551792812304,0.9711511770468942,0.0008880470522801112
Gemma,Gemma_F2,C6,0.09450723980606286,0.04752281528123238,0.002258417972254134,0.9711511770468942,0.0008880470522801112
Gemma,Gemma_F2,C7,0.07763422437832566,0.1246702975096235,0.015542683081138034,0.9711511770468942,0.0008880470522801112
Gemma,Gemma_F2,C8,-0.044205263756455226,0.05428915810980822,0.0029473126882717557,0.9711511770468942,0.0008880470522801112
Gemma,Gemma_F2,C9,-0.08237075851173806,-0.09618117819329412,0.009250819038650196,0.9711511770468942,0.0008880470522801112
Gemma,Gemma_F2,C10,-0.3780914415805772,-0.07194811371600988,0.00517653106729189,0.9711511770468942,0.0008880470522801112
Gemma,Gemma_F2,C11,-0.17451483307515522,-0.14042001977609125,0.019717781953917858,0.9711511770468942,0.0008880470522801112
Gemma,Gemma_F2,C12,0.13830156179944514,-0.019506164652605386,0.0003804904594545518,0.9711511770468942,0.0008880470522801112
Gemma,Gemma_F2,C13,-0.573791410943041,-0.11253891510140286,0.01266500741220076,0.9711511770468942,0.0008880470522801112
Gemma,Gemma_F3,C1,-0.7343328524213111,-0.7465970959720952,0.557407223713966,0.9819303064496825,0.0013491694399242037
Gemma,Gemma_F3,C2,0.12021716497142781,0.09002467770215603,0.008104442595377069,0.9819303064496825,0.0013491694399242037
Gemma,Gemma_F3,C3,0.5387901398118327,0.5546065307662603,0.30758840396858683,0.9819303064496825,0.0013491694399242037
Gemma,Gemma_F3,C4,-0.2514799141453068,-0.23565315733116962,0.05553241056014898,0.9819303064496825,0.0013491694399242037
Gemma,Gemma_F3,C5,-0.24548592948629946,-0.16426546746427487,0.026983143801256746,0.9819303064496825,0.0013491694399242037
Gemma,Gemma_F3,C6,0.06608333688091131,0.18607898429482084,0.03462538839619218,0.9819303064496825,0.0013491694399242037
Gemma,Gemma_F3,C7,-0.11933693685315659,-0.05006691668462387,0.002506696146305068,0.9819303064496825,0.0013491694399242037
Gemma,Gemma_F3,C8,0.4213923727954216,0.1579954999089911,0.024962577991492003,0.9819303064496825,0.0013491694399242037
Gemma,Gemma_F3,C9,0.00809954653361253,-0.041733065542261805,0.0017416487595547196,0.9819303064496825,0.0013491694399242037
Gemma,Gemma_F3,C10,0.5249221781150375,0.10462254099131435,0.010945876083479252,0.9819303064496825,0.0013491694399242037
Gemma,Gemma_F3,C11,-0.013889841275433048,-0.08983762163892703,0.00807079826173901,0.9819303064496825,0.0013491694399242037
Gemma,Gemma_F3,C12,0.31318591214220226,0.035715033363961854,0.0012755636081889085,0.9819303064496825,0.0013491694399242037
Gemma,Gemma_F3,C13,0.3413904904757174,0.04799348773516225,0.0023033748649851694,0.9819303064496825,0.0013491694399242037
Gemma,Gemma_F4,C1,0.22519443903011918,0.22341003112512722,0.049912042007330314,0.9642366141545429,0.0012448094323853466
Gemma,Gemma_F4,C2,-0.2779242246635153,-0.26176618311346517,0.06852153462179218,0.9642366141545429,0.0012448094323853466
Gemma,Gemma_F4,C3,-0.4263399403340043,-0.3955503229433368,0.15646005798057805,0.9642366141545429,0.0012448094323853466
Gemma,Gemma_F4,C4,-0.8166577231026346,-0.7736126895531406,0.5984765934376438,0.9642366141545429,0.0012448094323853466
Gemma,Gemma_F4,C5,-0.4537763717796791,-0.338328576847926,0.11446622591194297,0.9642366141545429,0.0012448094323853466
Gemma,Gemma_F4,C6,0.23607548659215752,0.0936742184541561,0.00877485920299696,0.9642366141545429,0.0012448094323853466
Gemma,Gemma_F4,C7,0.3989514679737131,0.16120630169348682,0.025987471705691493,0.9642366141545429,0.0012448094323853466
Gemma,Gemma_F4,C8,-0.1825471396597594,-0.06404674901540637,0.004101986059442457,0.9642366141545429,0.0012448094323853466
Gemma,Gemma_F4,C9,0.5389003184293526,0.28090465064964376,0.07890742275659841,0.9642366141545429,0.0012448094323853466
Gemma,Gemma_F4,C10,-0.12633001544705172,-0.015206093026386603,0.0002312252651271233,0.9642366141545429,0.0012448094323853466
Gemma,Gemma_F4,C11,-0.09948866234514625,-0.006843016639143921,4.682687672360057e-05,0.9642366141545429,0.0012448094323853466
Gemma,Gemma_F4,C12,0.17153675754383704,0.12157467648783273,0.014780401963121187,0.9642366141545429,0.0012448094323853466
Gemma,Gemma_F4,C13,-0.0587741387186843,0.006091112794929108,3.710165508054909e-05,0.9642366141545429,0.0012448094323853466
Gemma,Gemma_F5,C1,0.09101308264320218,0.07607253087968156,0.005787029954440105,0.9167074287489718,0.07602760221153627
Gemma,Gemma_F5,C2,-0.5920297745957996,-0.5424506491668583,0.2942527067815459,0.9167074287489718,0.07602760221153627
Gemma,Gemma_F5,C3,0.5428685469620129,0.4856859892153842,0.2358908801201263,0.9167074287489718,0.07602760221153627
Gemma,Gemma_F5,C4,0.2640341755984446,0.21797909916491914,0.04751488767274965,0.9167074287489718,0.07602760221153627
Gemma,Gemma_F5,C5,-0.47769573491198425,-0.35180675257188543,0.12376799115517581,0.9167074287489718,0.07602760221153627
Gemma,Gemma_F5,C6,-0.5191733472650931,-0.4090339883966792,0.1673088036636947,0.9167074287489718,0.07602760221153627
Gemma,Gemma_F5,C7,-0.36444627377199895,-0.16316641972505133,0.02662328052589162,0.9167074287489718,0.07602760221153627
Gemma,Gemma_F5,C8,-0.43035188476866126,-0.25054010736833776,0.06277034540013822,0.9167074287489718,0.07602760221153627
Gemma,Gemma_F5,C9,0.30653742444345294,0.2326827854325466,0.05414127863664853,0.9167074287489718,0.07602760221153627
Gemma,Gemma_F5,C10,-0.3514843005224441,-0.11954911013516069,0.01429198973410878,0.9167074287489718,0.07602760221153627
Gemma,Gemma_F5,C11,0.6387217559438352,0.3440217228338788,0.11835094578159011,0.9167074287489718,0.07602760221153627
Gemma,Gemma_F5,C12,0.7120602358624052,0.36615180020287175,0.1340671407918037,0.9167074287489718,0.07602760221153627
Gemma,Gemma_F5,C13,-0.5688017159683024,-0.14728377469888562,0.0216925102895521,0.9167074287489718,0.07602760221153627
Gemma,Gemma_F6,C1,0.7357644609390895,0.7529022658371158,0.5668618219026631,0.9890190676931265,0.0012461185872436687
Gemma,Gemma_F6,C2,0.5094144666677113,0.5439462297591939,0.2958775008692418,0.9890190676931265,0.0012461185872436687
Gemma,Gemma_F6,C3,0.3580858047992242,0.3569487883150121,0.1274124374795553,0.9890190676931265,0.0012461185872436687
Gemma,Gemma_F6,C4,0.010925478121315831,-0.07832967221492886,0.006135537549298197,0.9890190676931265,0.0012461185872436687
Gemma,Gemma_F6,C5,0.1647138406908903,0.0392533555565057,0.0015408259224454568,0.9890190676931265,0.0012461185872436687
Gemma,Gemma_F6,C6,0.11300171667737927,-0.003220676055549433,1.0372754254789455e-05,0.9890190676931265,0.0012461185872436687
Gemma,Gemma_F6,C7,-0.10417808137137949,-0.016977129987859146,0.0002882229426246663,0.9890190676931265,0.0012461185872436687
Gemma,Gemma_F6,C8,-0.13702018087427428,-0.03132553815565715,0.0009812893407415318,0.9890190676931265,0.0012461185872436687
Gemma,Gemma_F6,C9,-0.27977329658050104,-0.0421138354996782,0.0017735751404939556,0.9890190676931265,0.0012461185872436687
Gemma,Gemma_F6,C10,-0.5281825042841645,-0.08820195398633955,0.007779584687008359,0.9890190676931265,0.0012461185872436687
Gemma,Gemma_F6,C11,-0.24351282796315507,-0.034206953604588794,0.0011701156749064903,0.9890190676931265,0.0012461185872436687
Gemma,Gemma_F6,C12,-0.317853646180746,-0.03609969116865504,0.0013031877024722706,0.9890190676931265,0.0012461185872436687
Gemma,Gemma_F6,C13,-0.41028580708826046,-0.06515867042227226,0.004245652331198298,0.9890190676931265,0.0012461185872436687
