pca_rank,ridge_alpha_multiplier,component,heldout_min_pairwise_pearson,heldout_mean_pairwise_pearson,primary_shared_subspace_min_canonical,primary_axis_abs_score_match
20,10.0,12,-0.24022718554883554,0.03086734989765037,0.6108708528485401,0.8382290879715178
20,10.0,13,-0.32841110913475596,-0.09831180894261066,0.6108708528485401,0.6611578287542552
20,10.0,14,-0.1792339879430342,0.02945243725887973,0.6108708528485401,
20,10.0,15,-0.5451311137493957,-0.17187703594442447,0.6108708528485401,
20,10.0,16,-0.4308235758423795,-0.1801000385463276,0.6108708528485401,
20,10.0,17,-0.532866438380275,-0.27866179194559665,0.6108708528485401,
20,10.0,18,-0.5518490806554691,-0.2903170368494266,0.6108708528485401,
20,10.0,19,-0.4981686488594103,-0.2590160133449145,0.6108708528485401,
20,10.0,20,-0.697713554228518,-0.29976158993424756,0.6108708528485401,
10,0.1,1,0.9671858704899061,0.9710829311257121,0.5460176282835935,0.9770109407785821
10,0.1,2,0.9734058076402763,0.9773664527421403,0.5460176282835935,0.9629897640925328
10,0.1,3,0.9475442615530226,0.955264384292693,0.5460176282835935,0.9754028152410358
10,0.1,4,0.9041056750057956,0.9219334338978218,0.5460176282835935,0.8692070285453055
10,0.1,5,0.9218637032402783,0.92931430613343,0.5460176282835935,0.929190297072571
10,0.1,6,0.8701698257239489,0.8904517858200688,0.5460176282835935,0.7793582760256749
10,0.1,7,0.8506857562157774,0.8759906926265021,0.5460176282835935,0.6777032770690573
10,0.1,8,0.8292234378772438,0.8567246003055807,0.5460176282835935,0.8326216366071618
10,0.1,9,0.7807122443114318,0.8177255143738017,0.5460176282835935,0.873574806478652
10,0.1,10,0.22141014744923088,0.44836168171625496,0.5460176282835935,0.89807028443036
10,0.1,11,-0.2978195205563326,-0.059040288739820014,0.5460176282835935,0.7082717003812055
10,0.1,12,-0.5440279202630827,-0.3184030304815309,0.5460176282835935,0.8424836748093261
10,0.1,13,-0.47973385330818086,-0.3306878131611704,0.5460176282835935,0.5670353798432876
10,0.1,14,-0.5140863885586812,-0.3558854121272222,0.5460176282835935,
10,0.1,15,-0.5264833600376446,-0.40878229549456835,0.5460176282835935,
10,0.1,16,-0.5552314868523204,-0.43603109594408257,0.5460176282835935,
10,0.1,17,-0.6561060143293315,-0.4219740353380225,0.5460176282835935,
10,0.1,18,-0.5442011879058672,-0.43188488208657433,0.5460176282835935,
10,0.1,19,-0.5926121825767201,-0.4343154060259257,0.5460176282835935,
10,0.1,20,-0.7464667848846236,-0.41209604951373446,0.5460176282835935,
10,10.0,1,0.9605728445721847,0.9678284537003213,0.41120699667773286,0.99328812934158
10,10.0,2,0.950371124005118,0.9597087816796165,0.41120699667773286,0.9898877813925256
10,10.0,3,0.9063127910590225,0.9314058869667331,0.41120699667773286,0.9877023731644268
10,10.0,4,0.8154150209524005,0.845530120675349,0.41120699667773286,0.9839621522957499
10,10.0,5,0.8281072299100813,0.8476256335746748,0.41120699667773286,0.9855911331905649
10,10.0,6,0.7406291939115027,0.7770067069414569,0.41120699667773286,0.9759095135658937
10,10.0,7,0.5661241969917419,0.6464483157626701,0.41120699667773286,0.9819851213815217
10,10.0,8,0.40930829856249,0.4908858071568198,0.41120699667773286,0.8993276679556849
10,10.0,9,0.4383870716157621,0.5379578051786594,0.41120699667773286,0.8966686560755697
10,10.0,10,-0.15947103013372738,0.0017162655916640828,0.41120699667773286,0.8817163096815868
10,10.0,11,-0.4413496241477255,-0.23101830298958,0.41120699667773286,0.4466379327585759
10,10.0,12,-0.5215908640362217,-0.38255962116604153,0.41120699667773286,0.49918592763521735
10,10.0,13,-0.6003573825746251,-0.3756144098080083,0.41120699667773286,0.38847365833840386
10,10.0,14,-0.6801028597361469,-0.3910938910437931,0.41120699667773286,
10,10.0,15,-0.7211102122154954,-0.394711631898182,0.41120699667773286,
10,10.0,16,-0.6679702901838004,-0.41377952286169767,0.41120699667773286,
10,10.0,17,-0.5922558184206832,-0.43699527296781965,0.41120699667773286,
10,10.0,18,-0.678830738165205,-0.44036302180028225,0.41120699667773286,
10,10.0,19,-0.8562670347508932,-0.39880716624260293,0.41120699667773286,
10,10.0,20,-0.6472309215139596,-0.4526837366258423,0.41120699667773286,
40,0.1,1,0.977001631277608,0.9800942127553193,0.911154286965281,0.9868367395274533
40,0.1,2,0.9701997322308779,0.9752491770441448,0.911154286965281,0.9654750819125529
40,0.1,3,0.9668156269612245,0.9721115734308444,0.911154286965281,0.9652973088570873
40,0.1,4,0.9392247805671626,0.9460077697124939,0.911154286965281,0.8272016069443913
40,0.1,5,0.9280954230450004,0.9429654024099828,0.911154286965281,0.8159470697596142
40,0.1,6,0.9469789423056957,0.9492690376802962,0.911154286965281,0.943982654635986
40,0.1,7,0.937994299444919,0.9391733760162392,0.911154286965281,0.90487770414849
40,0.1,8,0.9356233353500025,0.936025804690752,0.911154286965281,0.9107112613211774
40,0.1,9,0.9064827082775738,0.9207401266727674,0.911154286965281,0.9112504779163778
40,0.1,10,0.906202498025405,0.9200001186689685,0.911154286965281,0.9510502080622903
40,0.1,11,0.9060607063078314,0.9112108956407527,0.911154286965281,0.9441877450155401
40,0.1,12,0.8651272310919983,0.8784796181187965,0.911154286965281,0.8418020083552281
40,0.1,13,0.8217581091955986,0.8354433833278486,0.911154286965281,0.9676929003567223
40,0.1,14,0.8282433653772573,0.8347013191204783,0.911154286965281,
40,0.1,15,0.8548343801475531,0.8628787624188847,0.911154286965281,
40,0.1,16,0.8414103387168104,0.8590707442322701,0.911154286965281,
40,0.1,17,0.7960056791259849,0.8344515799351658,0.911154286965281,
40,0.1,18,0.7970975053947884,0.830787259385354,0.911154286965281,
40,0.1,19,0.7866431264900854,0.8192796061297903,0.911154286965281,
40,0.1,20,0.6914646956621251,0.7452886743836356,0.911154286965281,
40,10.0,1,0.961009944280098,0.9683024064430116,0.567826691578695,0.9932987253705261
40,10.0,2,0.9506194404536191,0.9599501613476037,0.567826691578695,0.9898432851549052
40,10.0,3,0.9073737850592479,0.9322315797756301,0.567826691578695,0.987595132956567
40,10.0,4,0.8177497359382456,0.8492620984503217,0.567826691578695,0.9838560420966571
40,10.0,5,0.8339040768294298,0.8530841546474056,0.567826691578695,0.9841673237843245
40,10.0,6,0.7572594892328076,0.7893342682380776,0.567826691578695,0.9748693038549827
40,10.0,7,0.5720315393464839,0.6577314822443019,0.567826691578695,0.9814876073018637
40,10.0,8,0.4417680254959946,0.5114900157982024,0.567826691578695,0.8815978216844303
40,10.0,9,0.4679574754287491,0.5671366962933355,0.567826691578695,0.8787271869650254
40,10.0,10,-0.026440805586482496,0.18977296037945804,0.567826691578695,0.9090824396857289
40,10.0,11,0.13734198558362737,0.20934661586383374,0.567826691578695,0.7211480736266004
40,10.0,12,-0.23612684225101632,0.03781979868714528,0.567826691578695,0.8359119752803348
40,10.0,13,-0.3299640495550352,-0.09690298290520906,0.567826691578695,0.6178207996948808
40,10.0,14,-0.17085628618371718,0.034778653744821336,0.567826691578695,
40,10.0,15,-0.5554931756633992,-0.1739171782218306,0.567826691578695,
40,10.0,16,-0.43809677732659896,-0.19136547088776015,0.567826691578695,
40,10.0,17,-0.5269614200861895,-0.2682805916595497,0.567826691578695,
40,10.0,18,-0.5242059985177012,-0.2586357847398778,0.567826691578695,
40,10.0,19,-0.4090238028170632,-0.26301837724856,0.567826691578695,
40,10.0,20,-0.5869181947548692,-0.24760049361302502,0.567826691578695,
