resample_type,replicate,subspace_dimension,subspace_min_canonical,subspace_mean_canonical
bootstrap,12,6,0.9798374072319871,0.994177178044743
bootstrap,12,7,0.9849668134664626,0.9964595570370304
bootstrap,12,8,0.9823741804230322,0.9967825631686786
bootstrap,12,9,0.9853182974996231,0.9972317823417716
bootstrap,12,10,0.9722427206554172,0.9958664692475997
bootstrap,12,11,0.8286442451343454,0.9832534494358494
bootstrap,12,12,0.7612081041105394,0.9786745588910529
bootstrap,12,13,0.9320598858191065,0.9928555315859349
bootstrap,13,1,0.9992225940728362,0.9992225940728362
bootstrap,13,2,0.9854006335342794,0.9925804741018992
bootstrap,13,3,0.9974351462359919,0.9990133452371309
bootstrap,13,4,0.9869705336981556,0.9964827988915768
bootstrap,13,5,0.9842180297747068,0.996241482228092
bootstrap,13,6,0.9778311566213851,0.9948123982248251
bootstrap,13,7,0.9794486187943623,0.9961432314554168
bootstrap,13,8,0.9657307259892621,0.9930408167906783
bootstrap,13,9,0.9783119548431962,0.9955587704760165
bootstrap,13,10,0.9460169834633239,0.9919050851467863
bootstrap,13,11,0.8730601067120068,0.9859386712933872
bootstrap,13,12,0.8504174453827532,0.9833341292707418
bootstrap,13,13,0.9274151741484271,0.9900521112979455
bootstrap,14,1,0.9903881240524561,0.9903881240524561
bootstrap,14,2,0.9883664681496654,0.9940043104968019
bootstrap,14,3,0.9892862435853034,0.9962986176440497
bootstrap,14,4,0.9830727803523753,0.9930916177483908
bootstrap,14,5,0.9832312330465068,0.9940799109918517
bootstrap,14,6,0.989147148325336,0.9964125198973616
bootstrap,14,7,0.9845948039033778,0.9962923099698366
bootstrap,14,8,0.9826573646136061,0.995989946816993
bootstrap,14,9,0.9844105358699635,0.99722927723327
bootstrap,14,10,0.9527685110120363,0.9929035127344795
bootstrap,14,11,0.9722084509142342,0.9945785331786529
bootstrap,14,12,0.9372354142109888,0.9909107642369115
bootstrap,14,13,0.93979193795994,0.9912082655450178
bootstrap,15,1,0.9941913082191668,0.9941913082191668
bootstrap,15,2,0.9882664506051391,0.9937984219179654
bootstrap,15,3,0.9878634942958574,0.995665044844343
bootstrap,15,4,0.9875681952492064,0.9960885874662653
bootstrap,15,5,0.9835340604860625,0.9952043499537334
bootstrap,15,6,0.9857388589752939,0.9957524391717478
bootstrap,15,7,0.8657139503515592,0.9783037529467808
bootstrap,15,8,0.9848887050786698,0.9971306249209118
bootstrap,15,9,0.9788877118201427,0.9967454229620637
bootstrap,15,10,0.9788354587335167,0.9955924942691586
bootstrap,15,11,0.944496910676695,0.9923296611897211
bootstrap,15,12,0.9705977087853568,0.9951019373591138
bootstrap,15,13,0.8752613323671549,0.9875957016923399
bootstrap,16,1,0.9838238198120219,0.9838238198120219
bootstrap,16,2,0.9963659767256791,0.9971680377696033
bootstrap,16,3,0.9965932968999002,0.9984107019344962
bootstrap,16,4,0.9924513181766645,0.9975833184190803
bootstrap,16,5,0.9933756544680524,0.9971762789793619
bootstrap,16,6,0.9809596078459748,0.9957235524267253
bootstrap,16,7,0.9571668503208766,0.9928384093142899
bootstrap,16,8,0.9781471111105301,0.9961037904979737
bootstrap,16,9,0.9895508260741679,0.9974046290665259
bootstrap,16,10,0.9511477954778685,0.9938939444474688
bootstrap,16,11,0.9625983188695265,0.9946041426635961
bootstrap,16,12,0.8608071595782961,0.9858758187497029
bootstrap,16,13,0.9380680421205445,0.9916843708584648
bootstrap,17,1,0.9703767100616646,0.9703767100616646
bootstrap,17,2,0.9958591385934962,0.9978926367273162
bootstrap,17,3,0.9971529987675949,0.9987059923912524
bootstrap,17,4,0.988867868355699,0.9968229308171305
bootstrap,17,5,0.9893456225674125,0.9963867657727994
bootstrap,17,6,0.9861130178103132,0.9968683181690992
bootstrap,17,7,0.9842375876712355,0.9966443317728816
bootstrap,17,8,0.8965931067304136,0.9853064667642355
bootstrap,17,9,0.983539881482979,0.9965556812253253
bootstrap,17,10,0.8733923526000698,0.9851072495170612
bootstrap,17,11,0.8168629295537366,0.981048656101158
bootstrap,17,12,0.8909552662460026,0.9885812069081922
bootstrap,17,13,0.7249816095473006,0.9765144898666056
bootstrap,18,1,0.9891859023437626,0.9891859023437626
bootstrap,18,2,0.9752445702104576,0.9836807779166594
bootstrap,18,3,0.9857690294115343,0.9944451671820643
bootstrap,18,4,0.9854429086263948,0.9944416203544589
bootstrap,18,5,0.9832074388190825,0.9946342556250392
bootstrap,18,6,0.9840133387700766,0.9957126880647214
bootstrap,18,7,0.9546701558106677,0.9908031962315963
bootstrap,18,8,0.9621088048951829,0.9926783449051813
bootstrap,18,9,0.9617548337169823,0.9933875077678762
bootstrap,18,10,0.968199059419493,0.9945823716746632
bootstrap,18,11,0.8906562145502327,0.9867931873377388
bootstrap,18,12,0.7520489251217815,0.9749868705716441
bootstrap,18,13,0.93326791667172,0.9892773820210097
bootstrap,19,1,0.9867015906191331,0.9867015906191331
bootstrap,19,2,0.9966525184029734,0.9981355549600262
bootstrap,19,3,0.9967331565889995,0.9982967931251084
bootstrap,19,4,0.9858031089998843,0.9956509992115766
bootstrap,19,5,0.9872193857290934,0.9969726013817152
bootstrap,19,6,0.9890719997583639,0.9972741012637801
bootstrap,19,7,0.963816099810035,0.9932082112338196
bootstrap,19,8,0.9689082964399706,0.9942223224754169
bootstrap,19,9,0.9687695946872682,0.9949431595333214
bootstrap,19,10,0.9696673227626761,0.9946686662312901
bootstrap,19,11,0.9832948840595791,0.9965203615589258
bootstrap,19,12,0.7894451638045603,0.9800897199838339
bootstrap,19,13,0.7826044518633237,0.980734240463363
bootstrap,20,1,0.9868021108645076,0.9868021108645076
bootstrap,20,2,0.9885997620176675,0.9937345143002194
bootstrap,20,3,0.9886429740913101,0.9957504862912332
bootstrap,20,4,0.980499300954865,0.9943328501900704
bootstrap,20,5,0.9805390328054364,0.9949008374387756
bootstrap,20,6,0.9745859416730671,0.9941881342557818
bootstrap,20,7,0.9621819684079337,0.9930702984422032
bootstrap,20,8,0.944567368316476,0.9910905947957782
bootstrap,20,9,0.9303408665290078,0.9883706250890535
bootstrap,20,10,0.64323808736724,0.9599052750337391
bootstrap,20,11,0.9386078260941787,0.9910852997694781
bootstrap,20,12,0.7996564932400725,0.9783137600382931
bootstrap,20,13,0.936967654279555,0.9899739002395198
bootstrap,21,1,0.9993260496122626,0.9993260496122626
bootstrap,21,2,0.9966933456492476,0.9981739172552258
bootstrap,21,3,0.9975237892999533,0.9990053208595816
bootstrap,21,4,0.9893644022048076,0.9967341546920976
bootstrap,21,5,0.9951906632300143,0.9985099493436753
bootstrap,21,6,0.990514532568218,0.9977108283872097
bootstrap,21,7,0.9431744194058161,0.9910873794754588
bootstrap,21,8,0.9443308414368717,0.991910836341281
bootstrap,21,9,0.9771144418935206,0.9959886429074
bootstrap,21,10,0.9828375717515819,0.9965931556956678
bootstrap,21,11,0.9169729888291155,0.9906530989119702
bootstrap,21,12,0.954524879829585,0.9933813686413937
bootstrap,21,13,0.9214670421176162,0.9905611313701942
bootstrap,22,1,0.9984643229350699,0.9984643229350699
bootstrap,22,2,0.9985459968091286,0.999214365378339
bootstrap,22,3,0.9973662139358009,0.9990561284119733
bootstrap,22,4,0.9956725425885017,0.9986311634365638
bootstrap,22,5,0.9842146315080735,0.995985884193771
bootstrap,22,6,0.9938944180230603,0.9981716771188164
bootstrap,22,7,0.9853708358221873,0.9971933836095241
bootstrap,22,8,0.912177916063145,0.9869690762117329
bootstrap,22,9,0.981757245534075,0.9966863853470989
bootstrap,22,10,0.9660264467998224,0.9941489749686945
bootstrap,22,11,0.9416051657700056,0.9921615216161208
bootstrap,22,12,0.9610695118373839,0.9932672433005613
bootstrap,22,13,0.9699473003633216,0.9949751840503522
bootstrap,23,1,0.9927757989804097,0.9927757989804097
bootstrap,23,2,0.9928532042977734,0.9957663085097765
bootstrap,23,3,0.9936269978173476,0.9977241184890072
bootstrap,23,4,0.9931097492326957,0.9975017100436934
bootstrap,23,5,0.9918497162382238,0.9975355031937341
bootstrap,23,6,0.9885521844626682,0.997203462061826
bootstrap,23,7,0.9786192475002016,0.9960189579449539
bootstrap,23,8,0.9902788356406247,0.9984067396364614
bootstrap,23,9,0.9881002539628301,0.9977307789791221
bootstrap,23,10,0.9774375028214755,0.9960911854002269
bootstrap,23,11,0.9515671238995355,0.994202935558505
bootstrap,23,12,0.6649634590912777,0.969962089882835
bootstrap,23,13,0.7754008630166783,0.9809523900349816
bootstrap,24,1,0.9700864085691884,0.9700864085691884
bootstrap,24,2,0.988012652048606,0.993683930836144
bootstrap,24,3,0.9884778998255265,0.995616374116424
bootstrap,24,4,0.9799624824424272,0.9930018209125392
bootstrap,24,5,0.9826307726275838,0.9953796415441591
bootstrap,24,6,0.9593199822289076,0.9906228119724666
bootstrap,24,7,0.96240747908659,0.9923563218792802
bootstrap,24,8,0.9752024914926649,0.9947789532975903
bootstrap,24,9,0.9831214735674005,0.9971255562130197
bootstrap,24,10,0.9666445227502891,0.9943519490445526
bootstrap,24,11,0.8065857885944132,0.9802602969351294
bootstrap,24,12,0.8766604833617236,0.9852801323634242
bootstrap,24,13,0.8914208068663947,0.9869101007020198
bootstrap,25,1,0.9932313614458369,0.9932313614458369
bootstrap,25,2,0.9931752636243192,0.9955122700792116
bootstrap,25,3,0.9930720479774483,0.9975288853485839
bootstrap,25,4,0.9921177628575821,0.9978653830192719
bootstrap,25,5,0.9907847538822686,0.997292511254428
bootstrap,25,6,0.9781725896421615,0.9947946846124478
bootstrap,25,7,0.9910995502022002,0.9983564014132442
bootstrap,25,8,0.9385880026350515,0.9912505422367739
bootstrap,25,9,0.9436259524712362,0.9922535267311078
bootstrap,25,10,0.974725010856678,0.9963720324788307
bootstrap,25,11,0.9637860353387376,0.9950096464565958
bootstrap,25,12,0.7858189338663016,0.9791691528341279
bootstrap,25,13,0.9472521311481387,0.9926166073916013
bootstrap,26,1,0.9826208947197778,0.9826208947197778
bootstrap,26,2,0.9923563483133322,0.9958988528118456
bootstrap,26,3,0.9976485875313951,0.9990995766074842
bootstrap,26,4,0.9837776857447724,0.9956498871709728
bootstrap,26,5,0.9475869580661958,0.9881156361947578
bootstrap,26,6,0.9907241009027645,0.9973183618093214
bootstrap,26,7,0.9909944010427247,0.9976130379691613
bootstrap,26,8,0.844415257790805,0.9793959497183858
bootstrap,26,9,0.9824665271529639,0.9966056247377887
bootstrap,26,10,0.9800601596561969,0.9961876411816919
bootstrap,26,11,0.8642418574626464,0.9855695246924526
bootstrap,26,12,0.8743640093860574,0.9856181158202539
bootstrap,26,13,0.9416606112854548,0.9920103299176072
bootstrap,27,1,0.9953062226524145,0.9953062226524145
bootstrap,27,2,0.9975862614879007,0.9985862940193804
bootstrap,27,3,0.9973491096104191,0.9989235233179112
bootstrap,27,4,0.9878503158958456,0.9964430893964937
bootstrap,27,5,0.9642414515444889,0.990675901758449
bootstrap,27,6,0.9634753947341955,0.9924522195088091
bootstrap,27,7,0.9774953603585121,0.9960759433343859
bootstrap,27,8,0.950495904867623,0.9910114359106903
bootstrap,27,9,0.9786216296773806,0.9959059505811223
bootstrap,27,10,0.9752640987012227,0.9963779559993226
bootstrap,27,11,0.9754849016168139,0.9962157019912768
bootstrap,27,12,0.8996435882901835,0.9887723861636886
bootstrap,27,13,0.013496726984296308,0.9208256077588638
bootstrap,28,1,0.9856407159100241,0.9856407159100241
bootstrap,28,2,0.9965830959290594,0.997013781765297
bootstrap,28,3,0.9951041885601144,0.9981770907872445
bootstrap,28,4,0.9890224122650013,0.9965191176316168
bootstrap,28,5,0.9713565208489967,0.9932811630284399
bootstrap,28,6,0.9907199431321434,0.9977040937084926
bootstrap,28,7,0.9862020875321353,0.9968122541303303
bootstrap,28,8,0.9865297371825993,0.99630483033156
bootstrap,28,9,0.9730766273399493,0.9956128057971715
bootstrap,28,10,0.8027600531168209,0.978926674960469
bootstrap,28,11,0.9428840338305207,0.9921913458413149
bootstrap,28,12,0.846595096686784,0.9846321439789287
bootstrap,28,13,0.9370720637716106,0.9924005426570746
bootstrap,29,1,0.9954644636199967,0.9954644636199967
bootstrap,29,2,0.988459216639801,0.9928697154034462
bootstrap,29,3,0.9947976322879531,0.9981555439397697
bootstrap,29,4,0.9930208238818136,0.9969217164712337
bootstrap,29,5,0.9886500376295035,0.9966734351852269
bootstrap,29,6,0.9803504922254433,0.9955557078331547
bootstrap,29,7,0.9812924247725654,0.995694257374364
bootstrap,29,8,0.967866971694152,0.9940958044283512
bootstrap,29,9,0.9832706236061516,0.9965330316629858
bootstrap,29,10,0.9723237283233006,0.9953866006022529
bootstrap,29,11,0.9589196042713963,0.9946368000731826
bootstrap,29,12,0.9334385827042762,0.9927607239253051
bootstrap,29,13,0.9699311103069747,0.9962942578768974
bootstrap,30,1,0.9996251736225698,0.9996251736225698
bootstrap,30,2,0.997047734796118,0.9984056085537513
bootstrap,30,3,0.9970115705527969,0.9987159160772192
bootstrap,30,4,0.9957343513221896,0.9986958789510814
bootstrap,30,5,0.9892184973632271,0.99721917774772
bootstrap,30,6,0.9854177285878165,0.9970127354630406
bootstrap,30,7,0.9901992391558531,0.9978118086409927
bootstrap,30,8,0.9920941733339361,0.9983224793211066
bootstrap,30,9,0.9914209572627385,0.998178899489266
bootstrap,30,10,0.8973986515334996,0.9884866407400057
bootstrap,30,11,0.9682566198363277,0.9954711071926193
bootstrap,30,12,0.7508557530407074,0.9771292365953133
bootstrap,30,13,0.9197176640670924,0.990692644397276
bootstrap,31,1,0.9826229017218696,0.9826229017218696
bootstrap,31,2,0.9960523085993745,0.9978520154480737
bootstrap,31,3,0.996586411368404,0.9985562683581577
bootstrap,31,4,0.9955138515873833,0.9985632902123424
bootstrap,31,5,0.9907569552689021,0.997397643275107
bootstrap,31,6,0.9771661524843358,0.994150296122087
bootstrap,31,7,0.9775414220838026,0.9955313735175013
bootstrap,31,8,0.877508359431374,0.9836166094161829
bootstrap,31,9,0.91672085017525,0.9892938434393529
bootstrap,31,10,0.9741702646820856,0.9954231052567094
bootstrap,31,11,0.9638994364246252,0.9943431392883476
bootstrap,31,12,0.9435738551525157,0.9928906625534758
bootstrap,31,13,0.9487167907436417,0.9935655681181471
bootstrap,32,1,0.9976347523775746,0.9976347523775746
bootstrap,32,2,0.998021273332033,0.9988418321018209
bootstrap,32,3,0.9966277614837813,0.9987096739019731
bootstrap,32,4,0.9956166167246904,0.9984147523460266
bootstrap,32,5,0.9843637555193266,0.9957536481023475
bootstrap,32,6,0.98102909888409,0.9955545907037407
bootstrap,32,7,0.9870706281115986,0.9972152243021063
bootstrap,32,8,0.9905839271212046,0.9978617713121587
bootstrap,32,9,0.9924187486435926,0.9982588938005227
bootstrap,32,10,0.9893067482683213,0.998016157941765
bootstrap,32,11,0.987222691273226,0.9974826674025702
bootstrap,32,12,0.8341620519401716,0.9845324272061727
bootstrap,32,13,0.8344581213253858,0.9847340546713012
bootstrap,33,1,0.9979185675214732,0.9979185675214732
bootstrap,33,2,0.9956089523605605,0.9973174802105895
bootstrap,33,3,0.9941748491011908,0.9979114326894511
bootstrap,33,4,0.9793790519164424,0.9937576576364322
bootstrap,33,5,0.9864699331816048,0.9960456773419093
bootstrap,33,6,0.9890462989391696,0.9972147191314931
bootstrap,33,7,0.9784842764983529,0.9957284531846881
bootstrap,33,8,0.9784333585523437,0.996381471922192
bootstrap,33,9,0.9892798004214519,0.9976663036124269
bootstrap,33,10,0.9921598153280833,0.9980961411323911
bootstrap,33,11,0.971827079521616,0.9960942061849477
bootstrap,33,12,0.9156886548352411,0.9906733753353612
bootstrap,33,13,0.9229879064483258,0.9919944882813719
bootstrap,34,1,0.9822941516749336,0.9822941516749336
bootstrap,34,2,0.9983919824528549,0.9991045656151667
bootstrap,34,3,0.9967806962223361,0.9987398856559263
bootstrap,34,4,0.9964805541026185,0.9989409884809454
bootstrap,34,5,0.9475226640609788,0.9888113587073455
bootstrap,34,6,0.9885974699355172,0.9972254574553054
bootstrap,34,7,0.9826422444213843,0.9964710962495682
bootstrap,34,8,0.9821322215383967,0.9966084250648831
bootstrap,34,9,0.98553368176311,0.9973022017051351
bootstrap,34,10,0.958369684311738,0.994713882684662
bootstrap,34,11,0.9795597639507233,0.9964659864473208
bootstrap,34,12,0.5802548467099308,0.9630362798279334
bootstrap,34,13,0.7638701140243561,0.9801747659025702
bootstrap,35,1,0.9929345005068018,0.9929345005068018
bootstrap,35,2,0.9981579654759677,0.9987964620667407
bootstrap,35,3,0.9987257795518824,0.9992157077747281
bootstrap,35,4,0.9973458790682849,0.9990586443738472
bootstrap,35,5,0.9911494894545647,0.9978061246549264
bootstrap,35,6,0.9882791765381485,0.9976464896425572
bootstrap,35,7,0.9929776823827933,0.9984158830296029
bootstrap,35,8,0.9792496255553474,0.9967908341543491
bootstrap,35,9,0.9761354221721398,0.9962545031265724
bootstrap,35,10,0.9712209305089574,0.9953204024589383
bootstrap,35,11,0.9477633160397826,0.993726739824318
bootstrap,35,12,0.9181280788180702,0.9904933745139181
bootstrap,35,13,0.9599808056776439,0.9944456717919528
bootstrap,36,1,0.981282462230405,0.981282462230405
bootstrap,36,2,0.9932380939879007,0.9952798536483576
bootstrap,36,3,0.9963899486177843,0.998148258680958
bootstrap,36,4,0.9908457504619083,0.996947672720586
bootstrap,36,5,0.9893184800708253,0.9963171415928549
bootstrap,36,6,0.9791108029002045,0.9956206707608636
bootstrap,36,7,0.8728034373051021,0.9805737149645962
bootstrap,36,8,0.9870923741572378,0.9970002944512748
bootstrap,36,9,0.9876503747995238,0.9973595241836559
bootstrap,36,10,0.9637920262087483,0.9952539957316512
bootstrap,36,11,0.8253554206662804,0.9799953177105944
bootstrap,36,12,0.6286515322741136,0.9653353822002358
bootstrap,36,13,0.9127106411375293,0.9914193175149738
bootstrap,37,1,0.9969004731975513,0.9969004731975513
bootstrap,37,2,0.9968796113074085,0.9983935469549947
bootstrap,37,3,0.9964769370862429,0.9985882036028833
bootstrap,37,4,0.9910837897018457,0.9971961159794973
bootstrap,37,5,0.9494957247499549,0.9888171008412424
bootstrap,37,6,0.9891644258245947,0.9975676138237953
bootstrap,37,7,0.982996289333626,0.9966000808183738
bootstrap,37,8,0.9545683313836475,0.9929143012194742
bootstrap,37,9,0.9788641531122935,0.9967281084262452
bootstrap,37,10,0.9702108154397889,0.9957864287129125
bootstrap,37,11,0.9744115268029163,0.9959711044959323
bootstrap,37,12,0.820804083270891,0.9822828551526914
bootstrap,37,13,0.9720212814072992,0.9957505267437222
bootstrap,38,1,0.9918465122010814,0.9918465122010814
bootstrap,38,2,0.9962916956234018,0.9978447919526882
bootstrap,38,3,0.9969195532592,0.9987835079032452
bootstrap,38,4,0.9747068159523264,0.9930572433499918
bootstrap,38,5,0.7685781577944757,0.9525957215182231
bootstrap,38,6,0.930039865766243,0.9878131386502217
