role,activation_cluster,baseline_residual_norm,best_model_residual_norm,residual_reduction,best_framing,still_high_residual_rank,baseline_high_residual_rank
competitor,combative_iconoclast,33.334802,29.546973,3.787829,prior_first_loop,26,25
dilettante,grounded_social,39.099701,35.7611,3.338602,prior_first_loop,19,16
celebrity,grounded_social,25.094526,21.818804,3.275722,prior_first_loop,43,44
musician,grounded_social,16.197276,13.053623,3.143653,prior_first_loop,66,54
symbiont,procedural_professional,19.962032,16.862044,3.099988,prior_first_loop,53,51
adolescent,other,61.180358,58.566413,2.613945,prior_first_loop,3,4
theorist,procedural_professional,23.603259,21.360698,2.242561,prior_first_loop,44,47
divorcee,grounded_social,36.544227,34.667335,1.876892,prior_first_loop,20,22
retiree,grounded_social,29.770067,28.27701,1.493057,prior_first_loop,32,34
parent,grounded_social,38.823956,37.45369,1.370266,prior_first_loop,18,18
influencer,combative_iconoclast,27.840643,26.764672,1.075971,prior_first_loop,33,37
visionary,procedural_professional,21.099284,20.231074,0.86821,prior_first_loop,47,48
grandparent,grounded_social,30.393907,29.535231,0.858676,prior_first_loop,27,32
artisan,grounded_social,40.345389,39.535695,0.809694,prior_first_loop,16,14
avatar,mythic_spiritual,25.588727,24.983007,0.605721,prior_first_loop,40,42
empath,grounded_social,26.829556,26.565553,0.264003,prior_first_loop,35,40
mathematician,procedural_professional,15.66685,15.666012,0.000838,prior_first_loop,57,55
instructor,procedural_professional,9.901802,10.030156,-0.128354,prior_first_loop,71,68
hacker,combative_iconoclast,42.041566,42.511499,-0.469932,prior_first_loop,11,12
surfer,grounded_social,20.334189,20.815146,-0.480957,prior_first_loop,46,50
physicist,procedural_professional,13.609598,14.387776,-0.778178,prior_first_loop,64,57
pirate,trickster_chaos,45.036068,46.131208,-1.09514,prior_first_loop,8,11
hedonist,grounded_social,13.595918,14.786558,-1.19064,prior_first_loop,60,58
archivist,procedural_professional,14.646673,16.01383,-1.367157,prior_first_loop,55,56
veteran,grounded_social,30.695687,32.376767,-1.68108,prior_first_loop,22,31
rebel,combative_iconoclast,28.099044,29.965494,-1.86645,prior_first_loop,25,36
wanderer,mythic_spiritual,26.838922,28.750963,-1.912041,prior_first_loop,30,39
fool,trickster_chaos,38.052175,39.99034,-1.938166,prior_first_loop,15,20
anthropologist,procedural_professional,17.466448,19.570859,-2.104411,prior_first_loop,49,52
examiner,procedural_professional,13.177087,15.321496,-2.144409,prior_first_loop,59,60
hive,procedural_professional,38.654127,41.325149,-2.671023,prior_first_loop,13,19
librarian,procedural_professional,9.882067,12.637244,-2.755177,prior_first_loop,68,69
counselor,procedural_professional,7.744338,10.640911,-2.896573,prior_first_loop,70,72
biologist,procedural_professional,12.405073,15.63041,-3.225337,prior_first_loop,58,62
toddler,other,60.042328,63.50311,-3.460781,prior_first_loop,2,5
teacher,procedural_professional,11.02667,14.720151,-3.693481,prior_first_loop,61,65
programmer,procedural_professional,8.793195,12.520599,-3.727405,prior_first_loop,69,71
realist,procedural_professional,39.651944,43.677392,-4.025448,prior_first_loop,10,15
eldritch,mythic_spiritual,32.799946,37.618655,-4.81871,prior_first_loop,17,27
tree,mythic_spiritual,24.655182,30.274362,-5.619181,prior_first_loop,24,45
dispatcher,procedural_professional,10.761897,16.393741,-5.631844,prior_first_loop,54,67
producer,procedural_professional,11.739803,18.231068,-6.491265,prior_first_loop,50,63
mediator,procedural_professional,5.051187,12.995305,-7.944119,prior_first_loop,67,73
builder,procedural_professional,9.813884,17.784451,-7.970567,prior_first_loop,51,70
whale,mythic_spiritual,17.373086,25.941947,-8.568861,prior_first_loop,36,53
judge,procedural_professional,10.992254,25.033841,-14.041587,prior_first_loop,39,66
forecaster,procedural_professional,11.547173,25.774717,-14.227543,prior_first_loop,37,64
