scale_id,instrument,scale_name,retained_model_trait_count,retained_traits,accept_direct_count,accept_close_count,retained_evidence_item_count,retained_evidence_item_ids
IPIPneo:C6:CA,IPIPneo,C6:CA,2,impulsive;spontaneous,1,1,2,q_1488;q_35
IPIPneo:E2:GR,IPIPneo,E2:GR,2,extroverted;gregarious,2,0,1,q_1803
IPIPneo:O4:AD,IPIPneo,O4:AD,2,adaptable;traditional,1,1,2,q_566;q_82
IPIPneo:O6:LI,IPIPneo,O6:LI,2,secular;spiritual,1,1,1,q_345
MPQ:MPQ:SR,MPQ,MPQ:SR,2,chill;nonchalant,0,2,4,q_1099;q_1989;q_248;q_820
MPQ:MPQ:TR,MPQ,MPQ:TR,2,secular;spiritual,1,1,3,q_345;q_348;q_660
PS:PS:S,PS,PS:S,2,paranoid;pessimistic,2,0,2,q_1038;q_880
QB6:QB6:H,QB6,QB6:H,2,manipulative;risk_taking,1,1,2,q_1780;q_1896
QB6:QB6:O,QB6,QB6:O,2,curious;intuitive,1,1,3,q_1676;q_2775;q_348
BFAS:BFAS:C:O,BFAS,BFAS:C:O,1,meticulous,1,0,1,q_1915
EPQr:EPQ:N,EPQr,EPQ:N,1,anxious,1,0,2,q_4249;q_4256
HEXACO:H:A:P,HEXACO,H:A:P,1,patient,1,0,1,q_278
HEXACO:H:C:O,HEXACO,H:C:O,1,disorganized,0,1,2,q_1254;q_1483
HEXACO:H:H:GA,HEXACO,H:H:GA,1,bombastic,0,1,1,q_1871
HEXACO:H:H:M,HEXACO,H:H:M,1,grandiose,1,0,1,q_364
HEXACO:H:O:A,HEXACO,H:O:A,1,artistic,1,0,2,q_348;q_610
HEXACO:H:O:I,HEXACO,H:O:I,1,adventurous,1,0,1,q_2011
IPIP100:B5:O,IPIP100,B5:O,1,innovative,1,0,1,q_1392
IPIPneo:A2:MO,IPIPneo,A2:MO,1,manipulative,1,0,2,q_1765;q_1896
IPIPneo:A5:MO,IPIPneo,A5:MO,1,grandiose,1,0,3,q_1042;q_1830;q_364
IPIPneo:C1:SE,IPIPneo,C1:SE,1,confident,0,1,1,q_258
IPIPneo:C5:SD,IPIPneo,C5:SD,1,conscientious,1,0,1,q_491
IPIPneo:E5:ES,IPIPneo,E5:ES,1,adventurous,1,0,1,q_1662
IPIPneo:N4:SC,IPIPneo,N4:SC,1,avoidant,0,1,1,q_901
IPIPneo:O1:IM,IPIPneo,O1:IM,1,introspective,1,0,1,q_1310
IPIPneo:O2:AI,IPIPneo,O2:AI,1,artistic,1,0,2,q_348;q_610
MPQ:MPQ:AB,MPQ,MPQ:AB,1,introspective,1,0,2,q_1310;q_610
MPQ:MPQ:AC,MPQ,MPQ:AC,1,perfectionist,1,0,1,q_530
MPQ:MPQ:UV,MPQ,MPQ:UV,1,optimistic,1,0,1,q_1457
MPQ:MPQ:WB,MPQ,MPQ:WB,1,pessimistic,1,0,2,q_1038;q_1043
QB6:QB6:ES,QB6,QB6:ES,1,melancholic,1,0,1,q_811
