model,K,profile_id,opaque_role_id,similarity_to_centroid,within_profile_centroid_rank
llama,4,L04_C,R015,0.9217374556867535,54
llama,4,L04_C,R243,0.9215653855767499,55
llama,4,L04_C,R126,0.9170980722154748,56
llama,4,L04_C,R193,0.9140689944815479,57
llama,4,L04_C,R148,0.9067593905896244,58
llama,4,L04_C,R115,0.9014474338184416,59
llama,4,L04_C,R093,0.8913207699749475,60
llama,4,L04_C,R236,0.8903891911541746,61
llama,4,L04_C,R187,0.8824485435353542,62
llama,4,L04_C,R176,0.8367752304128288,63
llama,4,L04_D,R246,0.9391317354816758,1
llama,4,L04_D,R121,0.9040367213639376,2
llama,4,L04_D,R036,0.8792712200513962,3
llama,5,L05_A,R049,0.9961353461057254,1
llama,5,L05_A,R051,0.9958791138239531,2
llama,5,L05_A,R241,0.9956196862698318,3
llama,5,L05_A,R141,0.9954757534008772,4
llama,5,L05_A,R253,0.9952581503156848,5
llama,5,L05_A,R184,0.9952417114625852,6
llama,5,L05_A,R107,0.9950608552944211,7
llama,5,L05_A,R206,0.995025775278497,8
llama,5,L05_A,R084,0.994782177705992,9
llama,5,L05_A,R014,0.9946944240514628,10
llama,5,L05_A,R196,0.9946689572831644,11
llama,5,L05_A,R227,0.9946389045992761,12
llama,5,L05_A,R076,0.9945497183536306,13
llama,5,L05_A,R158,0.9944980553056811,14
llama,5,L05_A,R124,0.9944712451811317,15
llama,5,L05_A,R203,0.9944531781282061,16
llama,5,L05_A,R123,0.9943000363028411,17
llama,5,L05_A,R161,0.9941782885663457,18
llama,5,L05_A,R094,0.9941563283211379,19
llama,5,L05_A,R062,0.9940256618513617,20
llama,5,L05_A,R024,0.9938677793252565,21
llama,5,L05_A,R240,0.9938252444626605,22
llama,5,L05_A,R232,0.9933942463891141,23
llama,5,L05_A,R082,0.9932485707790832,24
llama,5,L05_A,R254,0.9931717173981305,25
llama,5,L05_A,R086,0.9929882678064154,26
llama,5,L05_A,R056,0.9929711509387986,27
llama,5,L05_A,R235,0.9929693235458666,28
llama,5,L05_A,R217,0.9929517305610843,29
llama,5,L05_A,R127,0.992950694571602,30
llama,5,L05_A,R097,0.9927986443638261,31
llama,5,L05_A,R177,0.9927771163411312,32
llama,5,L05_A,R042,0.9927610272547432,33
llama,5,L05_A,R188,0.9925320965957788,34
llama,5,L05_A,R189,0.9925024699452105,35
llama,5,L05_A,R080,0.9924927534493079,36
llama,5,L05_A,R248,0.9924717164105261,37
llama,5,L05_A,R270,0.9922766906822071,38
llama,5,L05_A,R012,0.992158885987624,39
llama,5,L05_A,R008,0.9921475893741533,40
llama,5,L05_A,R152,0.991958328029223,41
llama,5,L05_A,R140,0.9915793759554945,42
llama,5,L05_A,R202,0.9915372615697122,43
llama,5,L05_A,R103,0.9914808125592112,44
llama,5,L05_A,R071,0.9913221678588913,45
llama,5,L05_A,R131,0.9912233516784779,46
llama,5,L05_A,R215,0.9908998625931077,47
llama,5,L05_A,R043,0.9908715330071127,48
llama,5,L05_A,R242,0.9907767269327893,49
llama,5,L05_A,R200,0.9907725760008086,50
llama,5,L05_A,R181,0.9907680169931354,51
llama,5,L05_A,R089,0.990546004813953,52
llama,5,L05_A,R066,0.9904832319972028,53
llama,5,L05_A,R135,0.9903510621881917,54
llama,5,L05_A,R069,0.9903189480844511,55
llama,5,L05_A,R168,0.9900757179150318,56
llama,5,L05_A,R106,0.9900669000625164,57
llama,5,L05_A,R213,0.9900551599155376,58
llama,5,L05_A,R064,0.9900303271462649,59
llama,5,L05_A,R083,0.9894473391475003,60
llama,5,L05_A,R129,0.9893762956984578,61
llama,5,L05_A,R026,0.9890646618102215,62
llama,5,L05_A,R128,0.9889700864064569,63
llama,5,L05_A,R153,0.9889007244740963,64
llama,5,L05_A,R224,0.9888592351327063,65
llama,5,L05_A,R144,0.9888360402296433,66
llama,5,L05_A,R218,0.9885531248347721,67
llama,5,L05_A,R190,0.9883579168181155,68
llama,5,L05_A,R058,0.9876336719009695,69
llama,5,L05_A,R214,0.9875198747484377,70
llama,5,L05_A,R003,0.9872193353825045,71
llama,5,L05_A,R234,0.9871460285683624,72
llama,5,L05_A,R095,0.9870902831075052,73
llama,5,L05_A,R151,0.9869432081906306,74
llama,5,L05_A,R182,0.9867096907063244,75
llama,5,L05_A,R216,0.9862130638937893,76
llama,5,L05_A,R059,0.98603449026452,77
llama,5,L05_A,R074,0.985935201642806,78
llama,5,L05_A,R021,0.9857637865508414,79
llama,5,L05_A,R249,0.9854643270476662,80
llama,5,L05_A,R244,0.9852980546570367,81
llama,5,L05_A,R191,0.9852772317918811,82
llama,5,L05_A,R018,0.9846732138350286,83
llama,5,L05_A,R195,0.9846517676641025,84
llama,5,L05_A,R230,0.9846383625181652,85
llama,5,L05_A,R044,0.9846065677825959,86
llama,5,L05_A,R054,0.9840901695870168,87
llama,5,L05_A,R142,0.9838929068868364,88
llama,5,L05_A,R113,0.9837481740421427,89
llama,5,L05_A,R030,0.9832904449004731,90
llama,5,L05_A,R170,0.9830362907900736,91
llama,5,L05_A,R245,0.9824991302588484,92
llama,5,L05_A,R099,0.9824654456476858,93
llama,5,L05_A,R198,0.9817576094516547,94
llama,5,L05_A,R233,0.9816589955908281,95
llama,5,L05_A,R020,0.9805508972895256,96
llama,5,L05_A,R035,0.9803312285905489,97
llama,5,L05_A,R157,0.980254493702976,98
llama,5,L05_A,R040,0.9790779326133691,99
llama,5,L05_A,R137,0.978618949617324,100
llama,5,L05_A,R088,0.9784653806511882,101
llama,5,L05_A,R033,0.9783244619383753,102
llama,5,L05_A,R222,0.9782832044490679,103
llama,5,L05_A,R169,0.9777029315966212,104
llama,5,L05_A,R164,0.9769490266176439,105
llama,5,L05_A,R132,0.9759437193870251,106
llama,5,L05_A,R258,0.9758533264599467,107
llama,5,L05_A,R173,0.9748862683695321,108
llama,5,L05_A,R239,0.9734591478529319,109
llama,5,L05_A,R114,0.9726710099662179,110
llama,5,L05_A,R075,0.9723872513688515,111
llama,5,L05_A,R019,0.972023438762456,112
llama,5,L05_A,R048,0.969592901958817,113
llama,5,L05_A,R175,0.9688097157420518,114
llama,5,L05_A,R109,0.966753034718023,115
llama,5,L05_A,R211,0.9660322424791401,116
llama,5,L05_A,R208,0.9635454803246825,117
llama,5,L05_A,R261,0.9617645052169874,118
llama,5,L05_A,R125,0.9608839002783252,119
llama,5,L05_A,R229,0.9546588864703738,120
llama,5,L05_B,R016,0.9894479242000556,1
llama,5,L05_B,R027,0.9882752085210216,2
llama,5,L05_B,R090,0.985704773853264,3
llama,5,L05_B,R228,0.9855710078524971,4
llama,5,L05_B,R212,0.9853993689285849,5
llama,5,L05_B,R160,0.9840788676635246,6
llama,5,L05_B,R077,0.9837985502501313,7
llama,5,L05_B,R100,0.9820177671866531,8
llama,5,L05_B,R192,0.9814448567346805,9
llama,5,L05_B,R108,0.9801921681113714,10
llama,5,L05_B,R073,0.9798438162772007,11
llama,5,L05_B,R149,0.9784382436223149,12
llama,5,L05_B,R017,0.9780766279891122,13
llama,5,L05_B,R072,0.9777028221655798,14
llama,5,L05_B,R272,0.9744965341330505,15
llama,5,L05_B,R205,0.9727775155681692,16
llama,5,L05_B,R041,0.972428050693221,17
