model,K,seed,objective,iterations,ari_to_retained,nmi_to_retained,retained_start
llama,6,2036739,267.17020561864325,8,0.7171044449110747,0.6578265896614828,False
llama,6,2036740,267.2374745918213,12,0.7756739099810227,0.7491338421405136,False
llama,6,2036741,267.10177381356687,7,0.6375862369265843,0.6341013183061909,False
llama,6,2036742,267.26273103539245,8,0.8558670041505188,0.7837671848268654,False
llama,6,2036743,267.10997635853647,15,0.6119457899870158,0.6306474945789879,False
llama,6,2036744,267.0062471045545,6,0.546485632924631,0.5334612654133959,False
llama,6,2036745,267.24211667479796,7,0.6457848930146627,0.6077972306391337,False
llama,6,2036746,267.03639078331014,12,0.623908188597564,0.6697906321433629,False
llama,6,2036747,267.161808113226,8,0.6155101956211281,0.6289130436918486,False
llama,6,2036748,267.18667496009977,6,0.7906942425982214,0.7580094709783122,False
llama,6,2036749,266.91283442625405,10,0.6139131698454546,0.5721696016595859,False
llama,6,2036750,267.13916385006956,8,0.5544087044405325,0.5691340636236534,False
llama,6,2036751,267.0591402456161,9,0.5778630004282372,0.5708564560455393,False
llama,6,2036752,267.15461080455844,9,0.6792332625715771,0.689455744356842,False
llama,6,2036753,266.9102577124489,4,0.6801717745038556,0.611105340682498,False
llama,6,2036754,267.247715003673,10,0.7591516595659749,0.7468257204771847,False
llama,6,2036755,266.8032749372252,11,0.6178087567084318,0.6215857724050086,False
llama,6,2036756,267.0579780271977,4,0.6340573094286841,0.5940827041356886,False
llama,6,2036757,267.1814268981481,8,0.611998501784533,0.6697846001541621,False
llama,6,2036758,267.20017859888947,6,0.7510757595048712,0.6911570774133227,False
llama,6,2036759,267.1195120262603,6,0.640363785076929,0.6456966232570632,False
llama,6,2036760,266.8930827101942,11,0.6049951099816698,0.6055391621754281,False
llama,6,2036761,267.21280066423185,15,0.7698783334913332,0.7523151054189944,False
llama,6,2036762,267.2175528172563,5,0.6232123331758744,0.6680583459441988,False
llama,6,2036763,266.93759686852354,11,0.60593557188494,0.6070270696794932,False
llama,6,2036764,266.71798051936184,5,0.461820007863072,0.48350771111338176,False
llama,6,2036765,267.22737706602754,5,0.7613031160825425,0.7046993092747122,False
llama,6,2036766,267.2653422306058,14,0.8405227842621288,0.7948114330444307,False
llama,6,2036767,267.1414335772206,7,0.5975026229866478,0.6305486881186374,False
llama,6,2036768,267.2688463632629,23,0.8325995088273768,0.8067848984926295,False
llama,6,2036769,267.12954243833536,10,0.6171711502835551,0.621163635557694,False
llama,6,2036770,267.33137383810373,14,1.0,1.0,True
llama,6,2036771,266.99285424566585,12,0.7441147189206787,0.687924972386245,False
llama,6,2036772,267.0168374349878,7,0.6287927126817463,0.591360073974497,False
llama,6,2036773,267.21075298697696,11,0.7693293498972505,0.7413019698180022,False
llama,6,2036774,267.21103548872406,8,0.6242922209818519,0.57099495064655,False
