model,K,resample,sample_seed,valid_starts,best_seed,ari_to_full,nmi_to_full
llama,10,37,3037128,20,5129802,0.8045823923727337,0.7270202378909214
llama,10,38,3037129,20,5129894,0.7811302415908419,0.7189363647046588
llama,10,39,3037130,20,5129998,0.7175963740011506,0.665935928131568
llama,10,40,3037131,20,5130106,0.7435376262591467,0.670736303104576
llama,10,41,3037132,20,5130196,0.7638428330198748,0.7259569177756394
llama,10,42,3037133,20,5130311,0.6747967009912936,0.638437721300635
llama,10,43,3037134,20,5130394,0.7389607244435676,0.6392663076556345
llama,10,44,3037135,20,5130498,0.735270924486632,0.6685080276730923
llama,10,45,3037136,20,5130595,0.7462655136088938,0.6637752258217076
llama,10,46,3037137,20,5130701,0.8484448637409182,0.7743917717583916
llama,10,47,3037138,20,5130802,0.7969666738973432,0.7470104840390422
llama,10,48,3037139,20,5130900,0.7396391497331491,0.6909125832868152
llama,10,49,3037140,20,5131003,0.7683347819800586,0.7559953811369851
llama,10,50,3037141,20,5131101,0.8250812379491044,0.7646571692838836
