model,K,resample,sample_seed,valid_starts,best_seed,ari_to_full,nmi_to_full
llama,8,3,3036894,20,5106410,0.6196195485029169,0.5694024565240348
llama,8,4,3036895,20,5106492,0.629424426784478,0.5883068097261569
llama,8,5,3036896,20,5106606,0.7217002401909752,0.6355232491911306
llama,8,6,3036897,20,5106709,0.6843820997794918,0.5797533717711596
llama,8,7,3036898,20,5106800,0.7311684431314106,0.6704275091344165
llama,8,8,3036899,20,5106893,0.7123387530233504,0.6419287757689847
llama,8,9,3036900,20,5107007,0.6456765644050888,0.5754244894050581
llama,8,10,3036901,20,5107103,0.6883723527948292,0.6096349973666769
llama,8,11,3036902,20,5107207,0.778097762568452,0.6853852592557804
llama,8,12,3036903,20,5107298,0.7458979760081225,0.6934563025901995
llama,8,13,3036904,20,5107394,0.7806667263302492,0.7294272414814991
llama,8,14,3036905,20,5107506,0.8808488560293098,0.8322455474023637
llama,8,15,3036906,20,5107600,0.6002563188986851,0.5681313920035376
llama,8,16,3036907,20,5107704,0.5940055809521649,0.5378944031671827
llama,8,17,3036908,20,5107799,0.660723179912058,0.6255420053731697
llama,8,18,3036909,20,5107900,0.7124645844604944,0.6456305895247767
llama,8,19,3036910,20,5108006,0.8417935455753983,0.7825665905512831
llama,8,20,3036911,20,5108092,0.6875823288621974,0.6017801896349309
llama,8,21,3036912,20,5108204,0.7713924128698539,0.6902641621090738
llama,8,22,3036913,20,5108302,0.7201887441729198,0.666867379681752
llama,8,23,3036914,20,5108411,0.6600196858756019,0.6271490707308061
llama,8,24,3036915,20,5108503,0.6572578709719957,0.6371828713406611
llama,8,25,3036916,20,5108605,0.7647857933042232,0.7105488078720781
llama,8,26,3036917,20,5108695,0.5796568888647765,0.5422314307366549
llama,8,27,3036918,20,5108795,0.6901006956895708,0.61867725484963
llama,8,28,3036919,20,5108907,0.6990810265932674,0.6456783140275815
llama,8,29,3036920,20,5108994,0.7873121190452,0.7309989623554902
llama,8,30,3036921,20,5109092,0.6594657669027528,0.604728957962467
llama,8,31,3036922,20,5109198,0.5937254087513367,0.5591522837868032
llama,8,32,3036923,20,5109293,0.7722809153286908,0.6915159294926853
llama,8,33,3036924,20,5109394,0.6750330874200057,0.648733248914137
llama,8,34,3036925,20,5109510,0.726912291135336,0.6664738326997072
llama,8,35,3036926,20,5109611,0.8000106338407792,0.7483151072361148
llama,8,36,3036927,20,5109701,0.6916933683335358,0.6445755596612511
llama,8,37,3036928,20,5109798,0.7683735870777392,0.6962672543997902
llama,8,38,3036929,20,5109901,0.6647295105333536,0.5915112803504181
llama,8,39,3036930,20,5109998,0.6093446928667064,0.5777755351197131
llama,8,40,3036931,20,5110111,0.653153382505824,0.6059180494014768
llama,8,41,3036932,20,5110202,0.8020513699580756,0.7386416152687894
llama,8,42,3036933,20,5110306,0.7094027764753649,0.648337383834316
llama,8,43,3036934,20,5110395,0.6258932189321137,0.5485354441528851
llama,8,44,3036935,20,5110496,0.5718034411884827,0.5862884782032098
llama,8,45,3036936,20,5110602,0.6751526503174252,0.6413240762234055
llama,8,46,3036937,20,5110693,0.6907005067939457,0.6400507881354389
llama,8,47,3036938,20,5110805,0.6125380522429569,0.572300675052534
llama,8,48,3036939,20,5110907,0.7073502676527155,0.6683051684616731
llama,8,49,3036940,20,5111006,0.7428808206753226,0.7233198881785112
llama,8,50,3036941,20,5111110,0.7391663106154227,0.7088407031971717
llama,9,1,3036992,20,5116197,0.6873177689757441,0.6706329314589601
llama,9,2,3036993,20,5116306,0.7162407920524735,0.6734816809852175
llama,9,3,3036994,20,5116401,0.7640727631248144,0.710835995408633
llama,9,4,3036995,20,5116505,0.7801147869406235,0.6872851733683322
llama,9,5,3036996,20,5116600,0.6639611469418091,0.6521310650472473
llama,9,6,3036997,20,5116692,0.7751583320860351,0.6886952283277918
llama,9,7,3036998,20,5116802,0.7611894860742027,0.6935708191343513
llama,9,8,3036999,20,5116895,0.7970274625157415,0.7251273092114595
llama,9,9,3037000,20,5117010,0.893330698501826,0.8302769944929956
llama,9,10,3037001,20,5117101,0.8078113919873725,0.7389717163585497
llama,9,11,3037002,20,5117200,0.7551944644048427,0.6973712121684715
llama,9,12,3037003,20,5117294,0.7170927553474346,0.6675903949222938
llama,9,13,3037004,20,5117407,0.8480794814750945,0.7603710464508832
llama,9,14,3037005,20,5117501,0.755329115569859,0.6932920003484462
llama,9,15,3037006,20,5117610,0.781458755576697,0.7085040603176166
llama,9,16,3037007,20,5117692,0.7499779117799816,0.7073508904476946
llama,9,17,3037008,20,5117810,0.7973950608951512,0.7346653841255215
llama,9,18,3037009,20,5117898,0.7464032884497304,0.742658030346024
llama,9,19,3037010,20,5118003,0.8319012574775306,0.7349736637205948
llama,9,20,3037011,20,5118099,0.7525011561029702,0.6990345352574894
llama,9,21,3037012,20,5118200,0.734043061346431,0.7087449321827132
llama,9,22,3037013,20,5118307,0.7296535525806157,0.6825291698199583
llama,9,23,3037014,20,5118406,0.8063626575430621,0.7223402892986364
llama,9,24,3037015,20,5118500,0.7019119258462112,0.6581358547729571
llama,9,25,3037016,20,5118594,0.7549401472068356,0.6673391499213341
llama,9,26,3037017,20,5118695,0.6588775836732096,0.6252271640233561
llama,9,27,3037018,20,5118793,0.8220081326306299,0.7362954796384259
llama,9,28,3037019,20,5118902,0.711083851589739,0.6597145614666663
llama,9,29,3037020,20,5119006,0.8693542424002885,0.7984679516907011
llama,9,30,3037021,20,5119109,0.717429074389908,0.6773512625269057
llama,9,31,3037022,20,5119201,0.7525144488665974,0.6683185486661015
llama,9,32,3037023,20,5119296,0.7026756460620518,0.6327845612135028
llama,9,33,3037024,20,5119401,0.7630682844595738,0.687145772789418
llama,9,34,3037025,20,5119511,0.7211505759972708,0.6826895855727143
llama,9,35,3037026,20,5119602,0.6786748013589818,0.6721365257872646
llama,9,36,3037027,20,5119700,0.7874562294198848,0.7245677412098721
llama,9,37,3037028,20,5119794,0.7767465168820032,0.7202615875384186
llama,9,38,3037029,20,5119896,0.7907071371486165,0.7134926105971913
llama,9,39,3037030,20,5120004,0.7382395506169193,0.6950725547220215
llama,9,40,3037031,20,5120094,0.8191758354682391,0.7504099018413947
llama,9,41,3037032,20,5120193,0.8318492545731867,0.767520322634712
llama,9,42,3037033,20,5120297,0.9136880061467858,0.8475964998114554
llama,9,43,3037034,20,5120406,0.802493464973337,0.715909534686068
llama,9,44,3037035,20,5120493,0.8424790607804206,0.7856778443296706
llama,9,45,3037036,20,5120600,0.7339846653190145,0.6969510562328413
llama,9,46,3037037,20,5120710,0.7448637215218109,0.6903082326684425
llama,9,47,3037038,20,5120807,0.7015175503185894,0.6392355032986103
llama,9,48,3037039,20,5120902,0.6826169331049837,0.6500644375147293
llama,9,49,3037040,20,5120993,0.8249615157295205,0.7676430305188237
llama,9,50,3037041,20,5121106,0.760233979502825,0.6906991259522369
llama,10,1,3037092,20,5126199,0.7810106156220942,0.7066290911199217
llama,10,2,3037093,20,5126296,0.7697306636470773,0.6860077941740098
llama,10,3,3037094,20,5126405,0.8179156116836978,0.7415611296517443
llama,10,4,3037095,20,5126497,0.6815336024047312,0.6411370881770416
llama,10,5,3037096,20,5126609,0.7539143928252605,0.6881540540137193
llama,10,6,3037097,20,5126695,0.7251437601709826,0.6665294848868865
llama,10,7,3037098,20,5126792,0.7790266304548364,0.722065995729643
llama,10,8,3037099,20,5126907,0.771564630195028,0.6593169248930087
llama,10,9,3037100,20,5127011,0.7668445353193956,0.6878874269126866
llama,10,10,3037101,20,5127111,0.8517333527906327,0.7932053631697357
llama,10,11,3037102,20,5127192,0.7653597718336795,0.6881397142017596
llama,10,12,3037103,20,5127310,0.7833751907197759,0.6991042789181744
llama,10,13,3037104,20,5127411,0.7684480475636323,0.7240910151589236
llama,10,14,3037105,20,5127500,0.7386263102325047,0.6689355600085048
llama,10,15,3037106,20,5127597,0.7144104318379515,0.6305139351338156
llama,10,16,3037107,20,5127699,0.7209289429655339,0.6796475483258095
llama,10,17,3037108,20,5127807,0.7158655910072077,0.6449415843779177
llama,10,18,3037109,20,5127899,0.7506929474481793,0.7205094531245747
llama,10,19,3037110,20,5127999,0.6483680693225663,0.6496253500093657
llama,10,20,3037111,20,5128099,0.8197605141838683,0.753349223651452
llama,10,21,3037112,20,5128192,0.7869880727964101,0.7034564877756981
llama,10,22,3037113,20,5128304,0.7497067052827566,0.6984770835769856
llama,10,23,3037114,20,5128410,0.7604126482895783,0.672951580166186
llama,10,24,3037115,20,5128495,0.7467007445154131,0.6631165983854188
llama,10,25,3037116,20,5128602,0.7531777182044278,0.6838076005729613
llama,10,26,3037117,20,5128705,0.6622238730103938,0.617357618671879
llama,10,27,3037118,20,5128793,0.7620710607390729,0.7024805973700277
llama,10,28,3037119,20,5128894,0.7150193010873331,0.6786901191061355
llama,10,29,3037120,20,5128994,0.7407422387299551,0.6800295307097778
llama,10,30,3037121,20,5129111,0.6877224574337338,0.6634635257833589
llama,10,31,3037122,20,5129202,0.6946745838619268,0.6339963889315183
llama,10,32,3037123,20,5129302,0.7646776174104779,0.7259529799859153
llama,10,33,3037124,20,5129395,0.8401265702378017,0.779534200187512
llama,10,34,3037125,20,5129505,0.6250475762490366,0.6666610925792535
llama,10,35,3037126,20,5129598,0.7932543960439392,0.7283426357932599
llama,10,36,3037127,20,5129694,0.7317340718188701,0.66859180280746
