narrow_occupation_code,narrow_occupation_title,intermediate_parent_code,broad_parent_code,narrow_n,narrow_sample_size_gain_vs_narrow,narrow_distinct_narrow_codes,narrow_within_cell_5d_rms_heterogeneity,narrow_bootstrap_p95_displacement,narrow_split_median_distance,narrow_feasibility_tier,intermediate_n,intermediate_sample_size_gain_vs_narrow,intermediate_distinct_narrow_codes,intermediate_within_cell_5d_rms_heterogeneity,intermediate_bootstrap_p95_displacement,intermediate_split_median_distance,intermediate_feasibility_tier,broad_n,broad_sample_size_gain_vs_narrow,broad_distinct_narrow_codes,broad_within_cell_5d_rms_heterogeneity,broad_bootstrap_p95_displacement,broad_split_median_distance,broad_feasibility_tier,semantic_cost_note
0420,Social and community service managers,11-9000,11-0000,10,0,1,2.047073308,1.269581247,1.387413732,BROAD-FAMILY ONLY,176,166,10,2.154113845,0.2889230668,0.3200696522,STRONG CENTROID,325,315,22,2.107113778,0.1909200481,0.2324700585,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0430,"Managers, all other",11-9000,11-0000,55,0,1,1.944650956,0.4379590893,0.499237752,MODERATE / EXPLORATORY,176,121,10,2.154113845,0.2889230668,0.3200696522,STRONG CENTROID,325,270,22,2.107113778,0.1909200481,0.2324700585,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0540,"Claims adjusters, appraisers, examiners, and investigators",13-1000,13-0000,20,0,1,2.039658754,0.8201473011,1.025729732,BROAD-FAMILY ONLY,134,114,11,2.256811177,0.3165588315,0.387596069,STRONG CENTROID,253,233,22,2.200620337,0.2446817678,0.264180719,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0620,"Human resources, training, and labor relations specialists",13-1000,13-0000,43,0,1,2.248611703,0.6080173831,0.6750327353,BROAD-FAMILY ONLY,134,91,11,2.256811177,0.3165588315,0.387596069,STRONG CENTROID,253,210,22,2.200620337,0.2446817678,0.264180719,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0710,Management analysts,13-1000,13-0000,25,0,1,2.282005839,0.7434834468,0.8912732633,BROAD-FAMILY ONLY,134,109,11,2.256811177,0.3165588315,0.387596069,STRONG CENTROID,253,228,22,2.200620337,0.2446817678,0.264180719,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0730,Other business operations specialists,13-1000,13-0000,11,0,1,2.055190952,1.137981533,1.451769724,BROAD-FAMILY ONLY,134,123,11,2.256811177,0.3165588315,0.387596069,STRONG CENTROID,253,242,22,2.200620337,0.2446817678,0.264180719,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0800,Accountants and auditors,13-2000,13-0000,59,0,1,2.074405303,0.4555581576,0.5294311346,MODERATE / EXPLORATORY,119,60,11,2.107651812,0.3343793637,0.3816332183,STRONG CENTROID,253,194,22,2.200620337,0.2446817678,0.264180719,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0850,Personal financial advisors,13-2000,13-0000,11,0,1,2.023818908,1.132229663,1.218367116,BROAD-FAMILY ONLY,119,108,11,2.107651812,0.3343793637,0.3816332183,STRONG CENTROID,253,242,22,2.200620337,0.2446817678,0.264180719,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
0910,Loan counselors and officers,13-2000,13-0000,17,0,1,2.0052272,0.8597820443,1.004944239,BROAD-FAMILY ONLY,119,102,11,2.107651812,0.3343793637,0.3816332183,STRONG CENTROID,253,236,22,2.200620337,0.2446817678,0.264180719,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
1000,Computer scientists and systems analysts,15-1000,15-0000,15,0,1,1.845416796,0.939022405,1.065287864,BROAD-FAMILY ONLY,114,99,6,2.133154242,0.3317320478,0.3848201045,STRONG CENTROID,121,106,9,2.134152098,0.3198953103,0.3772847948,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
1010,Computer programmers,15-1000,15-0000,13,0,1,2.226917231,1.082654011,1.244405512,BROAD-FAMILY ONLY,114,101,6,2.133154242,0.3317320478,0.3848201045,STRONG CENTROID,121,108,9,2.134152098,0.3198953103,0.3772847948,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
1020,Computer software engineers,15-1000,15-0000,29,0,1,1.885799761,0.5665639998,0.697615988,BROAD-FAMILY ONLY,114,85,6,2.133154242,0.3317320478,0.3848201045,STRONG CENTROID,121,92,9,2.134152098,0.3198953103,0.3772847948,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
1040,Computer support specialists,15-1000,15-0000,24,0,1,2.157402339,0.7638014167,0.873191557,BROAD-FAMILY ONLY,114,90,6,2.133154242,0.3317320478,0.3848201045,STRONG CENTROID,121,97,9,2.134152098,0.3198953103,0.3772847948,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
1100,Network and computer systems administrators,15-1000,15-0000,11,0,1,2.291727265,1.21609694,1.375458203,BROAD-FAMILY ONLY,114,103,6,2.133154242,0.3317320478,0.3848201045,STRONG CENTROID,121,110,9,2.134152098,0.3198953103,0.3772847948,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
1110,Network systems and data communications analysts,15-1000,15-0000,22,0,1,2.099752664,0.7802855363,0.8858558735,BROAD-FAMILY ONLY,114,92,6,2.133154242,0.3317320478,0.3848201045,STRONG CENTROID,121,99,9,2.134152098,0.3198953103,0.3772847948,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
1360,Civil engineers,17-2000,17-0000,12,0,1,2.003854632,1.052343771,1.25611151,BROAD-FAMILY ONLY,55,43,10,2.010508686,0.4362808369,0.523786311,MODERATE / EXPLORATORY,98,86,15,2.077299325,0.3478633968,0.4110350002,MODERATE / EXPLORATORY,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
1540,Drafters,17-3000,17-0000,12,0,1,2.209572326,1.163273614,1.32162753,BROAD-FAMILY ONLY,35,23,3,2.149297334,0.6261544486,0.7126123236,BROAD-FAMILY ONLY,98,86,15,2.077299325,0.3478633968,0.4110350002,MODERATE / EXPLORATORY,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
1550,"Engineering technicians, except drafters",17-3000,17-0000,19,0,1,2.070553861,0.8932488731,0.9636653334,BROAD-FAMILY ONLY,35,16,3,2.149297334,0.6261544486,0.7126123236,BROAD-FAMILY ONLY,98,79,15,2.077299325,0.3478633968,0.4110350002,MODERATE / EXPLORATORY,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
1810,Market and survey researchers,19-3000,19-0000,10,0,1,1.513457398,0.9937772936,1.064029895,BROAD-FAMILY ONLY,19,9,5,1.978247057,0.8901474939,0.9289306868,BROAD-FAMILY ONLY,55,45,17,1.983331568,0.4521262259,0.5235683548,MODERATE / EXPLORATORY,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
1960,"Other life, physical, and social science technicians",19-4000,19-0000,11,0,1,1.943779442,1.281743385,0.9985418128,BROAD-FAMILY ONLY,15,4,5,1.77334673,0.892909334,0.8411173552,BROAD-FAMILY ONLY,55,44,17,1.983331568,0.4521262259,0.5235683548,MODERATE / EXPLORATORY,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2000,Counselors,21-1000,21-0000,44,0,1,2.325586592,0.6621845719,0.7545370978,BROAD-FAMILY ONLY,111,67,3,2.130092817,0.3549328655,0.4177381531,STRONG CENTROID,128,84,5,2.118977923,0.3293089755,0.3951581347,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2010,Social workers,21-1000,21-0000,41,0,1,1.847799729,0.5017189077,0.6048050409,BROAD-FAMILY ONLY,111,70,3,2.130092817,0.3549328655,0.4177381531,STRONG CENTROID,128,87,5,2.118977923,0.3293089755,0.3951581347,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2020,Miscellaneous community and social service specialists,21-1000,21-0000,26,0,1,2.099773981,0.7136010685,0.8318468184,BROAD-FAMILY ONLY,111,85,3,2.130092817,0.3549328655,0.4177381531,STRONG CENTROID,128,102,5,2.118977923,0.3293089755,0.3951581347,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2100,Lawyers,23-1000,23-0000,17,0,1,2.258617943,0.9137941723,1.075761889,UNSTABLE / TOO SPARSE,17,0,1,2.258617943,0.9137941723,1.075761889,UNSTABLE / TOO SPARSE,48,31,3,2.013926087,0.4928558978,0.5611912588,UNSTABLE / TOO SPARSE,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2140,Paralegals and legal assistants,23-2000,23-0000,17,0,1,1.845944079,0.748352007,0.8709856761,UNSTABLE / TOO SPARSE,31,14,2,1.826988365,0.5520513919,0.6140554313,UNSTABLE / TOO SPARSE,48,31,3,2.013926087,0.4928558978,0.5611912588,UNSTABLE / TOO SPARSE,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2150,Miscellaneous legal support workers,23-2000,23-0000,14,0,1,1.700034228,0.8755036252,0.9196441954,UNSTABLE / TOO SPARSE,31,17,2,1.826988365,0.5520513919,0.6140554313,UNSTABLE / TOO SPARSE,48,34,3,2.013926087,0.4928558978,0.5611912588,UNSTABLE / TOO SPARSE,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2200,Postsecondary teachers,25-1000,25-0000,47,0,1,2.266040212,0.5792901392,0.6787517103,BROAD-FAMILY ONLY,47,0,1,2.266040212,0.5792901392,0.6787517103,BROAD-FAMILY ONLY,370,323,10,2.12376397,0.1669149554,0.2211667145,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2300,Preschool and kindergarten teachers,25-2000,25-0000,41,0,1,2.058268163,0.5167640504,0.6565183931,BROAD-FAMILY ONLY,233,192,4,2.011898964,0.1974783402,0.2643162223,STRONG CENTROID,370,329,10,2.12376397,0.1669149554,0.2211667145,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2310,Elementary and middle school teachers,25-2000,25-0000,122,0,1,1.964370063,0.2901467171,0.3483621824,STRONG CENTROID,233,111,4,2.011898964,0.1974783402,0.2643162223,STRONG CENTROID,370,248,10,2.12376397,0.1669149554,0.2211667145,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2320,Secondary school teachers,25-2000,25-0000,54,0,1,1.971142899,0.4426188266,0.5401110305,MODERATE / EXPLORATORY,233,179,4,2.011898964,0.1974783402,0.2643162223,STRONG CENTROID,370,316,10,2.12376397,0.1669149554,0.2211667145,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2330,Special education teachers,25-2000,25-0000,16,0,1,2.255048279,1.034953745,1.188351988,BROAD-FAMILY ONLY,233,217,4,2.011898964,0.1974783402,0.2643162223,STRONG CENTROID,370,354,10,2.12376397,0.1669149554,0.2211667145,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2340,Other teachers and instructors,25-3000,25-0000,24,0,1,2.255204251,0.8109072574,1.025765051,BROAD-FAMILY ONLY,24,0,1,2.255204251,0.8109072574,1.025765051,BROAD-FAMILY ONLY,370,346,10,2.12376397,0.1669149554,0.2211667145,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2540,Teacher assistants,25-9000,25-0000,59,0,1,2.305910533,0.5403992885,0.6533472018,MODERATE / EXPLORATORY,62,3,2,2.309644623,0.5350369187,0.636163525,MODERATE / EXPLORATORY,370,311,10,2.12376397,0.1669149554,0.2211667145,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2630,Designers,27-1000,27-0000,29,0,1,1.976322429,0.6139128763,0.7066844037,BROAD-FAMILY ONLY,38,9,2,2.077721524,0.5362940937,0.6485089487,BROAD-FAMILY ONLY,159,130,16,2.199970216,0.256424933,0.3351156684,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2710,Producers and directors,27-2000,27-0000,10,0,1,2.051196376,1.254541789,1.43988307,BROAD-FAMILY ONLY,47,37,4,2.244648472,0.5601135517,0.6574559634,BROAD-FAMILY ONLY,159,149,16,2.199970216,0.256424933,0.3351156684,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2720,"Athletes, coaches, umpires, and related workers",27-2000,27-0000,16,0,1,1.697490786,0.7459797834,0.8170324249,BROAD-FAMILY ONLY,47,31,4,2.244648472,0.5601135517,0.6574559634,BROAD-FAMILY ONLY,159,143,16,2.199970216,0.256424933,0.3351156684,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2750,"Musicians, singers, and related workers",27-2000,27-0000,12,0,1,2.294999716,1.358171524,1.555677357,BROAD-FAMILY ONLY,47,35,4,2.244648472,0.5601135517,0.6574559634,BROAD-FAMILY ONLY,159,147,16,2.199970216,0.256424933,0.3351156684,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2820,Public relations specialists,27-3000,27-0000,12,0,1,1.835132452,0.9507757452,1.098202419,BROAD-FAMILY ONLY,55,43,7,2.204646864,0.4523924523,0.5856258727,MODERATE / EXPLORATORY,159,147,16,2.199970216,0.256424933,0.3351156684,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
2910,Photographers,27-4000,27-0000,11,0,1,2.090438251,1.087870243,1.324564077,BROAD-FAMILY ONLY,19,8,3,2.136769895,0.8073673089,1.035691849,BROAD-FAMILY ONLY,159,148,16,2.199970216,0.256424933,0.3351156684,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
3130,Registered nurses,29-1000,29-0000,71,0,1,1.868361862,0.3868274656,0.4362888425,MODERATE / EXPLORATORY,115,44,10,1.961782341,0.3003575376,0.3526720318,STRONG CENTROID,226,155,20,2.13116172,0.2393171395,0.2831767413,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
3300,Clinical laboratory technologists and technicians,29-2000,29-0000,11,0,1,2.031187823,1.352700036,1.457922821,BROAD-FAMILY ONLY,109,98,9,2.302643126,0.3726442986,0.4474957035,STRONG CENTROID,226,215,20,2.13116172,0.2393171395,0.2831767413,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
3320,Diagnostic related technologists and technicians,29-2000,29-0000,13,0,1,2.448205368,1.282278833,1.392665911,BROAD-FAMILY ONLY,109,96,9,2.302643126,0.3726442986,0.4474957035,STRONG CENTROID,226,213,20,2.13116172,0.2393171395,0.2831767413,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
3400,Emergency medical technicians and paramedics,29-2000,29-0000,16,0,1,2.266449298,1.155997887,1.164793266,BROAD-FAMILY ONLY,109,93,9,2.302643126,0.3726442986,0.4474957035,STRONG CENTROID,226,210,20,2.13116172,0.2393171395,0.2831767413,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
3410,Health diagnosing and treating practitioner support technicians,29-2000,29-0000,32,0,1,2.496760042,0.7595230692,0.9905965696,BROAD-FAMILY ONLY,109,77,9,2.302643126,0.3726442986,0.4474957035,STRONG CENTROID,226,194,20,2.13116172,0.2393171395,0.2831767413,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
3500,Licensed practical and licensed vocational nurses,29-2000,29-0000,19,0,1,1.757940361,0.6875101265,0.8574086069,BROAD-FAMILY ONLY,109,90,9,2.302643126,0.3726442986,0.4474957035,STRONG CENTROID,226,207,20,2.13116172,0.2393171395,0.2831767413,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
3600,"Nursing, psychiatric, and home health aides",31-1000,31-0000,134,0,1,2.233092097,0.3504214052,0.3953911651,STRONG CENTROID,134,0,1,2.233092097,0.3504214052,0.3953911651,STRONG CENTROID,241,107,6,2.210612968,0.2472509114,0.2946629029,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
3630,Massage therapists,31-9000,31-0000,12,0,1,2.135241804,1.166540036,1.206289144,BROAD-FAMILY ONLY,103,91,3,2.171182869,0.3397670456,0.4338889345,STRONG CENTROID,241,229,6,2.210612968,0.2472509114,0.2946629029,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
3640,Dental assistants,31-9000,31-0000,14,0,1,2.171756467,1.082644699,1.312820908,BROAD-FAMILY ONLY,103,89,3,2.171182869,0.3397670456,0.4338889345,STRONG CENTROID,241,227,6,2.210612968,0.2472509114,0.2946629029,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
3650,Medical assistants and other healthcare support occupations,31-9000,31-0000,77,0,1,2.123168534,0.4108845883,0.5164370073,MODERATE / EXPLORATORY,103,26,3,2.171182869,0.3397670456,0.4338889345,STRONG CENTROID,241,164,6,2.210612968,0.2472509114,0.2946629029,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
3800,"Bailiffs, correctional officers, and jailers",33-3000,33-0000,27,0,1,2.254287917,0.8670896442,0.9135596419,BROAD-FAMILY ONLY,64,37,3,2.036691687,0.4673631843,0.514602973,MODERATE / EXPLORATORY,174,147,11,2.183996212,0.2694917298,0.3280441592,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
3850,Police and sheriff's patrol officers,33-3000,33-0000,34,0,1,1.813326748,0.5789564481,0.6092002384,BROAD-FAMILY ONLY,64,30,3,2.036691687,0.4673631843,0.514602973,MODERATE / EXPLORATORY,174,140,11,2.183996212,0.2694917298,0.3280441592,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
3920,Security guards and gaming surveillance officers,33-9000,33-0000,86,0,1,2.347124467,0.4245690221,0.5439491257,MODERATE / EXPLORATORY,96,10,4,2.282792804,0.4024034021,0.4765141631,MODERATE / EXPLORATORY,174,88,11,2.183996212,0.2694917298,0.3280441592,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4000,Chefs and head cooks,35-1000,35-0000,22,0,1,2.193124375,0.7147893703,0.8625554141,BROAD-FAMILY ONLY,64,42,2,2.208410679,0.4743358678,0.5344986794,MODERATE / EXPLORATORY,500,478,12,2.33283719,0.1737642169,0.210876517,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4010,First-line supervisors/managers of food preparation and serving workers,35-1000,35-0000,42,0,1,2.209725561,0.5844140848,0.6833751843,BROAD-FAMILY ONLY,64,22,2,2.208410679,0.4743358678,0.5344986794,MODERATE / EXPLORATORY,500,458,12,2.33283719,0.1737642169,0.210876517,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4020,Cooks,35-2000,35-0000,120,0,1,2.229493313,0.3243946354,0.4148281296,STRONG CENTROID,166,46,2,2.286576322,0.278169413,0.3429075698,STRONG CENTROID,500,380,12,2.33283719,0.1737642169,0.210876517,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4030,Food preparation workers,35-2000,35-0000,46,0,1,2.416032759,0.5721280761,0.7215641234,BROAD-FAMILY ONLY,166,120,2,2.286576322,0.278169413,0.3429075698,STRONG CENTROID,500,454,12,2.33283719,0.1737642169,0.210876517,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4040,Bartenders,35-3000,35-0000,32,0,1,2.13753201,0.5998208156,0.7623204298,BROAD-FAMILY ONLY,234,202,5,2.288228674,0.2519038878,0.2932198117,STRONG CENTROID,500,468,12,2.33283719,0.1737642169,0.210876517,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4050,"Combined food preparation and serving workers, including fast food",35-3000,35-0000,30,0,1,2.295889158,0.7435344663,0.9118260849,BROAD-FAMILY ONLY,234,204,5,2.288228674,0.2519038878,0.2932198117,STRONG CENTROID,500,470,12,2.33283719,0.1737642169,0.210876517,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4110,Waiters and waitresses,35-3000,35-0000,159,0,1,2.307198506,0.3151743765,0.3564030121,STRONG CENTROID,234,75,5,2.288228674,0.2519038878,0.2932198117,STRONG CENTROID,500,341,12,2.33283719,0.1737642169,0.210876517,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4130,Dining room and cafeteria attendants and bartender helpers,35-9000,35-0000,10,0,1,2.2878285,1.478865762,1.569620158,BROAD-FAMILY ONLY,36,26,3,2.753349319,0.8213722883,0.9908023082,BROAD-FAMILY ONLY,500,490,12,2.33283719,0.1737642169,0.210876517,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4140,Dishwashers,35-9000,35-0000,15,0,1,2.88996274,1.512136958,1.8212182,BROAD-FAMILY ONLY,36,21,3,2.753349319,0.8213722883,0.9908023082,BROAD-FAMILY ONLY,500,485,12,2.33283719,0.1737642169,0.210876517,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4150,"Hosts and hostesses, restaurant, lounge, and coffee shop",35-9000,35-0000,11,0,1,2.728089385,1.581777217,1.627113758,BROAD-FAMILY ONLY,36,25,3,2.753349319,0.8213722883,0.9908023082,BROAD-FAMILY ONLY,500,489,12,2.33283719,0.1737642169,0.210876517,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4220,Janitors and building cleaners,37-2000,37-0000,82,0,1,2.294778393,0.4483054954,0.5385319102,MODERATE / EXPLORATORY,131,49,3,2.339026071,0.3507703715,0.441328251,STRONG CENTROID,212,130,6,2.382679992,0.2899179355,0.3424856405,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4230,Maids and housekeeping cleaners,37-2000,37-0000,48,0,1,2.394107844,0.6668026063,0.7403664391,BROAD-FAMILY ONLY,131,83,3,2.339026071,0.3507703715,0.441328251,STRONG CENTROID,212,164,6,2.382679992,0.2899179355,0.3424856405,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4250,Grounds maintenance workers,37-3000,37-0000,70,0,1,2.293896323,0.4886906725,0.5629227365,MODERATE / EXPLORATORY,70,0,1,2.293896323,0.4886906725,0.5629227365,MODERATE / EXPLORATORY,212,142,6,2.382679992,0.2899179355,0.3424856405,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4350,Nonfarm animal caretakers,39-2000,39-0000,13,0,1,1.99714463,1.052487717,1.151734276,BROAD-FAMILY ONLY,14,1,2,1.935726796,0.9293351485,1.033836571,BROAD-FAMILY ONLY,289,276,20,2.323997076,0.2303336113,0.2806275623,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
4430,Miscellaneous entertainment attendants and related workers,39-3000,39-0000,11,0,1,2.6618441,1.762139347,1.640107753,BROAD-FAMILY ONLY,22,11,4,2.475286848,1.043745583,1.194841648,BROAD-FAMILY ONLY,289,278,20,2.323997076,0.2303336113,0.2806275623,STRONG CENTROID,Parent groups follow official SOC hierarchy and may contain substantively different narrow occupations.
