census_2002_code,occupation_title,soc_2000_source_code,intermediate_level,intermediate_code,intermediate_title,broad_level,broad_code,broad_title,included_as_occupation,mapping_note
0540,"Claims adjusters, appraisers, examiners, and investigators",13-1030,2000_SOC_minor_group,13-1000,Business Operations Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0560,"Compliance officers, except agriculture, construction, health and safety, and transportation",13-1041,2000_SOC_minor_group,13-1000,Business Operations Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0600,Cost estimators,13-1051,2000_SOC_minor_group,13-1000,Business Operations Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0620,"Human resources, training, and labor relations specialists",13-1070,2000_SOC_minor_group,13-1000,Business Operations Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0700,Logisticians,13-1081,2000_SOC_minor_group,13-1000,Business Operations Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0710,Management analysts,13-1111,2000_SOC_minor_group,13-1000,Business Operations Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0720,Meeting and convention planners,13-1121,2000_SOC_minor_group,13-1000,Business Operations Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0730,Other business operations specialists,13-11XX,2000_SOC_minor_group,13-1000,Business Operations Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0800,Accountants and auditors,13-2011,2000_SOC_minor_group,13-2000,Financial Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0810,Appraisers and assessors of real estate,13-2021,2000_SOC_minor_group,13-2000,Financial Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0820,Budget analysts,13-2031,2000_SOC_minor_group,13-2000,Financial Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0830,Credit analysts,13-2041,2000_SOC_minor_group,13-2000,Financial Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0840,Financial analysts,13-2051,2000_SOC_minor_group,13-2000,Financial Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0850,Personal financial advisors,13-2052,2000_SOC_minor_group,13-2000,Financial Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0860,Insurance underwriters,13-2053,2000_SOC_minor_group,13-2000,Financial Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0900,Financial examiners,13-2061,2000_SOC_minor_group,13-2000,Financial Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0910,Loan counselors and officers,13-2070,2000_SOC_minor_group,13-2000,Financial Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0930,"Tax examiners, collectors, and revenue agents",13-2081,2000_SOC_minor_group,13-2000,Financial Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0940,Tax preparers,13-2082,2000_SOC_minor_group,13-2000,Financial Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
0950,"Financial specialists, all other",13-2099,2000_SOC_minor_group,13-2000,Financial Specialists,2000_SOC_major_group,13-0000,Business and Financial Operations Occupations,1,official 2002 Census-to-2000-SOC mapping
1000,Computer scientists and systems analysts,15-10XX,2000_SOC_minor_group,15-1000,Computer Specialists,2000_SOC_major_group,15-0000,Computer and Mathematical Occupations,1,official 2002 Census-to-2000-SOC mapping
1010,Computer programmers,15-1021,2000_SOC_minor_group,15-1000,Computer Specialists,2000_SOC_major_group,15-0000,Computer and Mathematical Occupations,1,official 2002 Census-to-2000-SOC mapping
1020,Computer software engineers,15-1030,2000_SOC_minor_group,15-1000,Computer Specialists,2000_SOC_major_group,15-0000,Computer and Mathematical Occupations,1,official 2002 Census-to-2000-SOC mapping
1040,Computer support specialists,15-1041,2000_SOC_minor_group,15-1000,Computer Specialists,2000_SOC_major_group,15-0000,Computer and Mathematical Occupations,1,official 2002 Census-to-2000-SOC mapping
1060,Database administrators,15-1061,2000_SOC_minor_group,15-1000,Computer Specialists,2000_SOC_major_group,15-0000,Computer and Mathematical Occupations,1,official 2002 Census-to-2000-SOC mapping
1100,Network and computer systems administrators,15-1071,2000_SOC_minor_group,15-1000,Computer Specialists,2000_SOC_major_group,15-0000,Computer and Mathematical Occupations,1,official 2002 Census-to-2000-SOC mapping
1110,Network systems and data communications analysts,15-1081,2000_SOC_minor_group,15-1000,Computer Specialists,2000_SOC_major_group,15-0000,Computer and Mathematical Occupations,1,official 2002 Census-to-2000-SOC mapping
1200,Actuaries,15-2011,2000_SOC_minor_group,15-2000,Mathematical Science Occupations,2000_SOC_major_group,15-0000,Computer and Mathematical Occupations,1,official 2002 Census-to-2000-SOC mapping
1210,Mathematicians,15-2021,2000_SOC_minor_group,15-2000,Mathematical Science Occupations,2000_SOC_major_group,15-0000,Computer and Mathematical Occupations,1,official 2002 Census-to-2000-SOC mapping
1220,Operations research analysts,15-2031,2000_SOC_minor_group,15-2000,Mathematical Science Occupations,2000_SOC_major_group,15-0000,Computer and Mathematical Occupations,1,official 2002 Census-to-2000-SOC mapping
1230,Statisticians,15-2041,2000_SOC_minor_group,15-2000,Mathematical Science Occupations,2000_SOC_major_group,15-0000,Computer and Mathematical Occupations,1,official 2002 Census-to-2000-SOC mapping
1240,Miscellaneous mathematical science occupations,15-2090,2000_SOC_minor_group,15-2000,Mathematical Science Occupations,2000_SOC_major_group,15-0000,Computer and Mathematical Occupations,1,official 2002 Census-to-2000-SOC mapping
1300,"Architects, except naval",17-1010,2000_SOC_minor_group,17-1000,"Architects, Surveyors, and Cartographers",2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1310,"Surveyors, cartographers, and photogrammetrists",17-1020,2000_SOC_minor_group,17-1000,"Architects, Surveyors, and Cartographers",2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1320,Aerospace engineers,17-2011,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1330,Agricultural engineers,17-2021,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1340,Biomedical engineers,17-2031,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1350,Chemical engineers,17-2041,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1360,Civil engineers,17-2051,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1400,Computer hardware engineers,17-2061,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1410,Electrical and electronic engineers,17-2070,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1420,Environmental engineers,17-2081,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1430,"Industrial engineers, including health and safety",17-2110,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1440,Marine engineers and naval architects,17-2121,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1450,Materials engineers,17-2131,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1460,Mechanical engineers,17-2141,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1500,"Mining and geological engineers, including mining safety engineers",17-2151,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1510,Nuclear engineers,17-2161,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1520,Petroleum engineers,17-2171,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1530,"Engineers, all other",17-2199,2000_SOC_minor_group,17-2000,Engineers,2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1540,Drafters,17-3010,2000_SOC_minor_group,17-3000,"Drafters, Engineering, and Mapping Technicians",2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1550,"Engineering technicians, except drafters",17-3020,2000_SOC_minor_group,17-3000,"Drafters, Engineering, and Mapping Technicians",2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1560,Surveying and mapping technicians,17-3031,2000_SOC_minor_group,17-3000,"Drafters, Engineering, and Mapping Technicians",2000_SOC_major_group,17-0000,Architecture and Engineering Occupations,1,official 2002 Census-to-2000-SOC mapping
1600,Agricultural and food scientists,19-1010,2000_SOC_minor_group,19-1000,Life Scientists,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1610,Biological scientists,19-1020,2000_SOC_minor_group,19-1000,Life Scientists,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1640,Conservation scientists and foresters,19-1030,2000_SOC_minor_group,19-1000,Life Scientists,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1650,Medical scientists,19-1040,2000_SOC_minor_group,19-1000,Life Scientists,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1700,Astronomers and physicists,19-2010,2000_SOC_minor_group,19-2000,Physical Scientists,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1710,Atmospheric and space scientists,19-2021,2000_SOC_minor_group,19-2000,Physical Scientists,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1720,Chemists and materials scientists,19-2030,2000_SOC_minor_group,19-2000,Physical Scientists,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1740,Environmental scientists and geoscientists,19-2040,2000_SOC_minor_group,19-2000,Physical Scientists,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1760,"Physical scientists, all other",19-2099,2000_SOC_minor_group,19-2000,Physical Scientists,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1800,Economists,19-3011,2000_SOC_minor_group,19-3000,Social Scientists and Related Workers,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1810,Market and survey researchers,19-3020,2000_SOC_minor_group,19-3000,Social Scientists and Related Workers,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1820,Psychologists,19-3030,2000_SOC_minor_group,19-3000,Social Scientists and Related Workers,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1830,Sociologists,19-3041,2000_SOC_minor_group,19-3000,Social Scientists and Related Workers,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1840,Urban and regional planners,19-3051,2000_SOC_minor_group,19-3000,Social Scientists and Related Workers,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1860,Miscellaneous social scientists and related workers,19-3090,2000_SOC_minor_group,19-3000,Social Scientists and Related Workers,2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1900,Agricultural and food science technicians,19-4011,2000_SOC_minor_group,19-4000,"Life, Physical, and Social Science Technicians",2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1910,Biological technicians,19-4021,2000_SOC_minor_group,19-4000,"Life, Physical, and Social Science Technicians",2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1920,Chemical technicians,19-4031,2000_SOC_minor_group,19-4000,"Life, Physical, and Social Science Technicians",2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1930,Geological and petroleum technicians,19-4041,2000_SOC_minor_group,19-4000,"Life, Physical, and Social Science Technicians",2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1940,Nuclear technicians,19-4051,2000_SOC_minor_group,19-4000,"Life, Physical, and Social Science Technicians",2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
1960,"Other life, physical, and social science technicians",19-40XX,2000_SOC_minor_group,19-4000,"Life, Physical, and Social Science Technicians",2000_SOC_major_group,19-0000,"Life, Physical, and Social Science Occupations",1,official 2002 Census-to-2000-SOC mapping
2000,Counselors,21-1010,2000_SOC_minor_group,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",2000_SOC_major_group,21-0000,Community and Social Service Occupations,1,official 2002 Census-to-2000-SOC mapping
2010,Social workers,21-1020,2000_SOC_minor_group,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",2000_SOC_major_group,21-0000,Community and Social Service Occupations,1,official 2002 Census-to-2000-SOC mapping
2020,Miscellaneous community and social service specialists,21-1090,2000_SOC_minor_group,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",2000_SOC_major_group,21-0000,Community and Social Service Occupations,1,official 2002 Census-to-2000-SOC mapping
2040,Clergy,21-2011,2000_SOC_minor_group,21-2000,Religious Workers,2000_SOC_major_group,21-0000,Community and Social Service Occupations,1,official 2002 Census-to-2000-SOC mapping
2050,"Directors, religious activities and education",21-2021,2000_SOC_minor_group,21-2000,Religious Workers,2000_SOC_major_group,21-0000,Community and Social Service Occupations,1,official 2002 Census-to-2000-SOC mapping
2060,"Religious workers, all other",21-2099,2000_SOC_minor_group,21-2000,Religious Workers,2000_SOC_major_group,21-0000,Community and Social Service Occupations,1,official 2002 Census-to-2000-SOC mapping
2100,Lawyers,23-1011,2000_SOC_minor_group,23-1000,"Lawyers, Judges, and Related Workers",2000_SOC_major_group,23-0000,Legal Occupations,1,official 2002 Census-to-2000-SOC mapping
2110,"Judges, magistrates, and other judicial workers",23-1020,2000_SOC_minor_group,23-1000,"Lawyers, Judges, and Related Workers",2000_SOC_major_group,23-0000,Legal Occupations,1,official 2002 Census-to-2000-SOC mapping
2140,Paralegals and legal assistants,23-2011,2000_SOC_minor_group,23-2000,Legal Support Workers,2000_SOC_major_group,23-0000,Legal Occupations,1,official 2002 Census-to-2000-SOC mapping
2150,Miscellaneous legal support workers,23-2090,2000_SOC_minor_group,23-2000,Legal Support Workers,2000_SOC_major_group,23-0000,Legal Occupations,1,official 2002 Census-to-2000-SOC mapping
2200,Postsecondary teachers,25-1000,2000_SOC_minor_group,25-1000,Postsecondary Teachers,2000_SOC_major_group,25-0000,"Education, Training, and Library Occupations",1,official 2002 Census-to-2000-SOC mapping
2300,Preschool and kindergarten teachers,25-2010,2000_SOC_minor_group,25-2000,"Primary, Secondary, and Special Education School Teachers",2000_SOC_major_group,25-0000,"Education, Training, and Library Occupations",1,official 2002 Census-to-2000-SOC mapping
2310,Elementary and middle school teachers,25-2020,2000_SOC_minor_group,25-2000,"Primary, Secondary, and Special Education School Teachers",2000_SOC_major_group,25-0000,"Education, Training, and Library Occupations",1,official 2002 Census-to-2000-SOC mapping
2320,Secondary school teachers,25-2030,2000_SOC_minor_group,25-2000,"Primary, Secondary, and Special Education School Teachers",2000_SOC_major_group,25-0000,"Education, Training, and Library Occupations",1,official 2002 Census-to-2000-SOC mapping
2330,Special education teachers,25-2040,2000_SOC_minor_group,25-2000,"Primary, Secondary, and Special Education School Teachers",2000_SOC_major_group,25-0000,"Education, Training, and Library Occupations",1,official 2002 Census-to-2000-SOC mapping
2340,Other teachers and instructors,25-3000,2000_SOC_minor_group,25-3000,Other Teachers and Instructors,2000_SOC_major_group,25-0000,"Education, Training, and Library Occupations",1,official 2002 Census-to-2000-SOC mapping
2400,"Archivists, curators, and museum technicians",25-4010,2000_SOC_minor_group,25-4000,"Librarians, Curators, and Archivists",2000_SOC_major_group,25-0000,"Education, Training, and Library Occupations",1,official 2002 Census-to-2000-SOC mapping
2430,Librarians,25-4021,2000_SOC_minor_group,25-4000,"Librarians, Curators, and Archivists",2000_SOC_major_group,25-0000,"Education, Training, and Library Occupations",1,official 2002 Census-to-2000-SOC mapping
2440,Library technicians,25-4031,2000_SOC_minor_group,25-4000,"Librarians, Curators, and Archivists",2000_SOC_major_group,25-0000,"Education, Training, and Library Occupations",1,official 2002 Census-to-2000-SOC mapping
2540,Teacher assistants,25-9041,2000_SOC_minor_group,25-9000,"Other Education, Training, and Library Occupations",2000_SOC_major_group,25-0000,"Education, Training, and Library Occupations",1,official 2002 Census-to-2000-SOC mapping
2550,"Other education, training, and library workers",25-90XX,2000_SOC_minor_group,25-9000,"Other Education, Training, and Library Occupations",2000_SOC_major_group,25-0000,"Education, Training, and Library Occupations",1,official 2002 Census-to-2000-SOC mapping
2600,Artists and related workers,27-1010,2000_SOC_minor_group,27-1000,Art and Design Workers,2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2630,Designers,27-1020,2000_SOC_minor_group,27-1000,Art and Design Workers,2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2700,Actors,27-2011,2000_SOC_minor_group,27-2000,"Entertainers and Performers, Sports and Related Workers",2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2710,Producers and directors,27-2012,2000_SOC_minor_group,27-2000,"Entertainers and Performers, Sports and Related Workers",2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2720,"Athletes, coaches, umpires, and related workers",27-2020,2000_SOC_minor_group,27-2000,"Entertainers and Performers, Sports and Related Workers",2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2740,Dancers and choreographers,27-2030,2000_SOC_minor_group,27-2000,"Entertainers and Performers, Sports and Related Workers",2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2750,"Musicians, singers, and related workers",27-2040,2000_SOC_minor_group,27-2000,"Entertainers and Performers, Sports and Related Workers",2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2760,"Entertainers and performers, sports and related workers, all other",27-2099,2000_SOC_minor_group,27-2000,"Entertainers and Performers, Sports and Related Workers",2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2800,Announcers,27-3010,2000_SOC_minor_group,27-3000,Media and Communication Workers,2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2810,"News analysts, reporters and correspondents",27-3020,2000_SOC_minor_group,27-3000,Media and Communication Workers,2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2820,Public relations specialists,27-3031,2000_SOC_minor_group,27-3000,Media and Communication Workers,2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2830,Editors,27-3041,2000_SOC_minor_group,27-3000,Media and Communication Workers,2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
2840,Technical writers,27-3042,2000_SOC_minor_group,27-3000,Media and Communication Workers,2000_SOC_major_group,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1,official 2002 Census-to-2000-SOC mapping
