occupation_level,occupation_code,occupation_title,analytic_n,split_replicates,split_seed_first,split_seed_last,euclidean_distance_median,euclidean_distance_p05,euclidean_distance_p95,uncentered_cosine_median,uncentered_cosine_p05,uncentered_cosine_p95,centered_cosine_median,centered_cosine_p05,centered_cosine_p95,pearson_r_median,pearson_r_p05,pearson_r_p95,kendall_tau_b_median,kendall_tau_b_p05,kendall_tau_b_p95
narrow,1540,Drafters,12,500,20260911,20261410,1.32162753,0.6583377,2.042950592,0.291302113,-0.1977702045,0.8239945243,0.3881327815,-0.1977051291,0.8952515616,0.3881327815,-0.1977051291,0.8952515616,0.2,-0.2,0.8
narrow,1550,"Engineering technicians, except drafters",19,500,20260911,20261410,0.9636653334,0.5042636943,1.493422977,0.5298023481,0.09918407003,0.8790400057,0.4691143113,-0.04595173752,0.8978175174,0.4691143113,-0.04595173752,0.8978175174,0.2,-0.2,0.8
narrow,1810,Market and survey researchers,10,500,20260911,20261410,1.064029895,0.48511848,1.583243624,0.5944422398,-0.009265378744,0.8948275307,0.5643319234,-0.04672901782,0.8699125195,0.5643319234,-0.04672901782,0.8699125195,0.4,-0.2,0.8
narrow,1960,"Other life, physical, and social science technicians",11,500,20260911,20261410,0.9985418128,0.5168381045,2.150565538,0.5504567531,-0.1782989563,0.8871407596,0.6457808542,0.1356969647,0.9588889489,0.6457808542,0.1356969647,0.9588889489,0,-0.2,0.4
narrow,2000,Counselors,44,500,20260911,20261410,0.7545370978,0.3879040054,1.242098243,0.1262359525,-0.3856193617,0.7199089283,0.199363493,-0.4242800877,0.8315308777,0.199363493,-0.4242800877,0.8315308777,0.2,-0.4,0.6
narrow,2010,Social workers,41,500,20260911,20261410,0.6048050409,0.318402325,0.99870952,0.5386952525,0.06835262008,0.8560969884,0.5506567166,0.008009272532,0.8984595321,0.5506567166,0.008009272532,0.8984595321,0.4,-0.01,1
narrow,2020,Miscellaneous community and social service specialists,26,500,20260911,20261410,0.8318468184,0.4613207897,1.35117861,-0.4727557588,-0.8002422891,0.1469713045,-0.7034706291,-0.9012644555,-0.121744808,-0.7034706291,-0.9012644555,-0.121744808,-0.4,-0.8,0
narrow,2100,Lawyers,17,500,20260911,20261410,1.075761889,0.5292558388,1.787922469,-0.6334276635,-0.9021549974,0.08044159949,-0.541345733,-0.9181170827,0.3450708479,-0.541345733,-0.9181170827,0.3450708479,-0.4,-0.8,0.21
narrow,2140,Paralegals and legal assistants,17,500,20260911,20261410,0.8709856761,0.4552905777,1.38226721,0.201224954,-0.3164723529,0.7364159054,-0.1167402831,-0.6842192134,0.6498131733,-0.1167402831,-0.6842192134,0.6498131733,0,-0.6,0.6
narrow,2150,Miscellaneous legal support workers,14,500,20260911,20261410,0.9196441954,0.4939258395,1.387614839,0.6042578396,0.2104249924,0.8890053814,0.6861421743,0.228372758,0.9375404312,0.6861421743,0.228372758,0.9375404312,0.6,0.2,1
narrow,2200,Postsecondary teachers,47,500,20260911,20261410,0.6787517103,0.3066303648,1.067920048,0.09542185473,-0.4014676633,0.7625638209,0.3019546884,-0.3552902835,0.8439720822,0.3019546884,-0.3552902835,0.8439720822,0.2,-0.2,0.8
narrow,2300,Preschool and kindergarten teachers,41,500,20260911,20261410,0.6565183931,0.3076248332,1.120262947,0.5194914827,-0.04249377958,0.8891578621,0.6644655062,0.08269123773,0.9485625217,0.6644655062,0.08269123773,0.9485625217,0.6,0,1
narrow,2310,Elementary and middle school teachers,122,500,20260911,20261410,0.3483621824,0.1613286585,0.5567655268,0.7391401616,0.4108457835,0.9431563628,0.6062498437,0.1374725958,0.9440373545,0.6062498437,0.1374725958,0.9440373545,0.6,0,0.8
