role,base_rank,instruct_rank,rank_shift,abs_rank_shift
mystic,61,217,-156,156
genie,99,254,-155,155
echo,90,244,-154,154
designer,209,56,153,153
homunculus,42,195,-153,153
workaholic,41,191,-150,150
loner,34,181,-147,147
auctioneer,75,220,-145,145
improviser,74,219,-145,145
exile,103,246,-143,143
surfer,105,247,-142,142
criminal,118,258,-140,140
guide,239,99,140,140
aberration,110,249,-139,139
scientist,150,12,138,138
purist,23,159,-136,136
rebel,85,221,-136,136
ascetic,76,210,-134,134
nutritionist,157,23,134,134
doctor,186,53,133,133
parent,274,141,133,133
presenter,259,126,133,133
provincial,122,255,-133,133
perfectionist,263,131,132,132
comedian,134,265,-131,131
egregore,22,153,-131,131
devils advocate,238,108,130,130
ambassador,222,93,129,129
evangelist,94,223,-129,129
advocate,251,123,128,128
assistant,172,45,127,127
pilgrim,100,227,-127,127
vegan,223,98,125,125
widow,80,203,-123,123
graduate,256,134,122,122
networker,204,83,121,121
robot,140,19,121,121
coach,177,58,119,119
vigilante,64,180,-116,116
counselor,185,70,115,115
veterinarian,196,81,115,115
ancient,98,208,-110,110
librarian,171,64,107,107
retiree,59,166,-107,107
empath,45,151,-106,106
mathematician,148,42,106,106
journalist,151,46,105,105
podcaster,19,124,-105,105
biologist,164,61,103,103
hybrid,240,138,102,102
symbiont,5,106,-101,101
theorist,180,79,101,101
golem,114,213,-99,99
scholar,166,67,99,99
zeitgeist,56,155,-99,99
void,135,232,-97,97
hacker,89,185,-96,96
shaman,139,235,-96,96
oracle,127,222,-95,95
patient,237,143,94,94
writer,230,136,94,94
saboteur,24,117,-93,93
crystalline,84,176,-92,92
warrior,115,207,-92,92
sommelier,37,128,-91,91
predator,102,192,-90,90
guardian,184,95,89,89
visionary,241,154,87,87
builder,206,120,86,86
grandparent,126,212,-86,86
polymath,18,103,-85,85
simulacrum,57,142,-85,85
contrarian,67,149,-82,82
curator,182,100,82,82
ecosystem,211,130,81,81
optimist,66,147,-81,81
healer,200,121,79,79
pilot,169,90,79,79
navigator,152,74,78,78
spy,54,132,-78,78
cyborg,7,84,-77,77
peacekeeper,149,72,77,77
procrastinator,147,224,-77,77
psychologist,136,59,77,77
synthesizer,163,88,75,75
romantic,162,236,-74,74
wanderer,141,214,-73,73
guru,130,202,-72,72
narrator,178,250,-72,72
architect,146,75,71,71
minimalist,208,137,71,71
orphan,125,194,-69,69
prisoner,174,243,-69,69
economist,104,36,68,68
gossip,170,238,-68,68
witness,213,145,68,68
tulpa,48,115,-67,67
activist,179,113,66,66
dreamer,176,242,-66,66
virtuoso,132,198,-66,66
competitor,258,193,65,65
pragmatist,4,69,-65,65
sage,123,187,-64,64
actor,143,206,-63,63
screener,65,2,63,63
collector,168,107,61,61
chemist,113,54,59,59
judge,109,50,59,59
maverick,120,179,-59,59
paramedic,38,97,-59,59
expatriate,71,129,-58,58
narcissist,201,257,-56,56
soldier,107,163,-56,56
cartographer,27,82,-55,55
influencer,203,148,55,55
conservator,35,89,-54,54
nomad,129,183,-54,54
photographer,225,172,53,53
traditionalist,121,174,-53,53
familiar,242,190,52,52
geographer,13,65,-52,52
philosopher,87,139,-52,52
futurist,25,76,-51,51
alien,108,158,-50,50
divorcee,218,168,50,50
martyr,191,241,-50,50
anarchist,95,144,-49,49
composer,167,119,48,48
detective,133,85,48,48
blogger,212,165,47,47
gamer,144,188,-44,44
infant,181,225,-44,44
merchant,159,116,43,43
angel,131,173,-42,42
elder,155,196,-41,41
prey,189,229,-40,40
archaeologist,73,112,-39,39
pacifist,72,111,-39,39
newlywed,112,150,-38,38
immigrant,199,162,37,37
realist,128,91,37,37
idealist,124,160,-36,36
teenager,236,200,36,36
hive,79,114,-35,35
toddler,231,266,-35,35
naturalist,88,122,-34,34
reporter,62,96,-34,34
sociologist,82,48,34,34
veteran,194,161,33,33
summarizer,69,39,30,30
destroyer,91,118,-27,27
addict,215,189,26,26
artisan,142,167,-25,25
avatar,161,186,-25,25
critic,119,94,25,25
statistician,31,6,25,25
anthropologist,77,55,22,22
cosmopolitan,153,133,20,20
amateur,165,146,19,19
archivist,52,71,-19,19
scout,86,105,-19,19
fixer,138,156,-18,18
forecaster,55,37,18,18
historian,83,101,-18,18
physicist,81,63,18,18
adolescent,214,199,15,15
technologist,93,78,15,15
linguist,46,33,13,13
musician,188,175,13,13
novelist,158,170,-12,12
swarm,116,127,-11,11
prodigy,145,135,10,10
bartender,187,178,9,9
chameleon,156,164,-8,8
chef,117,125,-8,8
mechanic,160,152,8,8
refugee,192,184,8,8
emissary,70,77,-7,7
virus,96,102,-6,6
celebrity,173,177,-4,4
revolutionary,175,171,4,4
survivor,207,211,-4,4
parasite,154,157,-3,3
playwright,137,140,-3,3
altruist,111,109,2,2
skeptic,36,38,-2,2
spirit,210,209,1,1
