rank,role,projection_score
146,architect,-2.9303892e+06
147,procrastinator,-3.0631308e+06
148,mathematician,-3.1514002e+06
149,peacekeeper,-3.186317e+06
150,scientist,-3.2475355e+06
151,journalist,-3.2519562e+06
152,navigator,-3.256639e+06
153,cosmopolitan,-3.3472105e+06
154,parasite,-3.4756868e+06
155,elder,-3.5229572e+06
156,chameleon,-3.696849e+06
157,nutritionist,-3.712579e+06
158,novelist,-3.7147898e+06
159,merchant,-3.7286018e+06
160,mechanic,-3.787815e+06
161,avatar,-3.797536e+06
162,romantic,-3.8190405e+06
163,synthesizer,-3.8528472e+06
164,biologist,-3.8869405e+06
165,amateur,-4.0627368e+06
166,scholar,-4.221121e+06
167,composer,-4.2904145e+06
168,collector,-4.328579e+06
169,pilot,-4.411332e+06
170,gossip,-4.4889595e+06
171,librarian,-4.699706e+06
172,assistant,-4.7459385e+06
173,celebrity,-4.8049895e+06
174,prisoner,-4.8971925e+06
175,revolutionary,-5.340274e+06
176,dreamer,-5.359972e+06
177,coach,-5.529812e+06
178,narrator,-5.5866e+06
179,activist,-5.6113985e+06
180,theorist,-5.672049e+06
181,infant,-5.805522e+06
182,curator,-6.017564e+06
183,proofreader,-6.055262e+06
184,guardian,-6.116502e+06
185,counselor,-6.209463e+06
186,doctor,-6.4432865e+06
187,bartender,-6.462572e+06
188,musician,-6.4635295e+06
189,prey,-6.494419e+06
190,auditor,-6.531489e+06
191,martyr,-6.5652e+06
192,refugee,-6.6302035e+06
193,lawyer,-6.8895845e+06
194,veteran,-6.934363e+06
195,mediator,-7.1543375e+06
196,veterinarian,-7.2891635e+06
197,observer,-7.3244185e+06
198,editor,-7.3456395e+06
199,immigrant,-7.3745735e+06
200,healer,-7.43343e+06
201,narcissist,-7.435734e+06
202,secretary,-7.725316e+06
203,influencer,-7.7918035e+06
204,networker,-7.9987535e+06
205,analyst,-8.148224e+06
206,builder,-8.190633e+06
207,survivor,-8.3849495e+06
208,minimalist,-8.386786e+06
209,designer,-8.593531e+06
210,spirit,-8.608354e+06
211,ecosystem,-8.646499e+06
212,blogger,-8.69691e+06
213,witness,-8.698071e+06
214,adolescent,-9.011115e+06
215,addict,-9.014502e+06
216,planner,-9.09821e+06
217,publisher,-9.157196e+06
218,divorcee,-9.158036e+06
219,reviewer,-9.214229e+06
220,researcher,-9.317824e+06
221,strategist,-9.474238e+06
222,ambassador,-9.571629e+06
223,vegan,-9.711827e+06
224,specialist,-9.784555e+06
225,photographer,-9.875954e+06
226,accountant,-9.88629e+06
227,pharmacist,-9.920477e+06
228,engineer,-9.977624e+06
229,grader,-9.996451e+06
230,writer,-1.0242076e+07
231,toddler,-1.0319485e+07
232,generalist,-1.0371708e+07
233,interviewer,-1.0393591e+07
234,mentor,-1.041664e+07
235,collaborator,-1.0453405e+07
236,teenager,-1.0454452e+07
237,patient,-1.0455533e+07
238,devils advocate,-1.0463275e+07
239,guide,-1.0540369e+07
240,hybrid,-1.0549077e+07
241,visionary,-1.0590552e+07
242,familiar,-1.0973793e+07
243,translator,-1.1052719e+07
244,tutor,-1.1126337e+07
245,evaluator,-1.1250522e+07
246,consultant,-1.13086e+07
247,trainer,-1.1319149e+07
248,interpreter,-1.1324873e+07
249,instructor,-1.1361143e+07
250,debugger,-1.1367744e+07
251,advocate,-1.140952e+07
252,negotiator,-1.1488593e+07
253,validator,-1.1507191e+07
254,student,-1.1718192e+07
255,dispatcher,-1.2061511e+07
256,graduate,-1.2215146e+07
257,examiner,-1.2430652e+07
258,competitor,-1.2632544e+07
259,presenter,-1.2995003e+07
260,programmer,-1.3112954e+07
261,coordinator,-1.3143207e+07
262,therapist,-1.3352403e+07
263,perfectionist,-1.3811577e+07
264,moderator,-1.3969792e+07
265,producer,-1.4282033e+07
266,facilitator,-1.4290517e+07
267,organizer,-1.4310688e+07
268,scheduler,-1.4946881e+07
269,entrepreneur,-1.4960716e+07
270,teacher,-1.497877e+07
271,marketer,-1.5519059e+07
272,caregiver,-1.6244386e+07
273,supervisor,-1.6424429e+07
274,parent,-1.728682e+07
275,recruiter,-1.7771508e+07
