model,persona,projected_norm_squared_20,centered_norm_squared,residual_norm_20,projected_norm_squared_full,residual_norm_full,captured_fraction_20,trait_cloud_distance_20,ood,nearest_traits_3d,trait_pc1,trait_pc2,trait_pc3,trait_pc4,trait_pc5,trait_pc6,trait_pc7,trait_pc8,trait_pc9,trait_pc10,trait_pc11,trait_pc12,trait_pc13,trait_pc14,trait_pc15,trait_pc16,trait_pc17,trait_pc18,trait_pc19,trait_pc20
gemma,pilgrim,271919635.2031119,373916890.7605773,10099.369067296502,354408456.80978125,4416.835286808426,0.7272194488192424,15496.64775096672,True,nurturing;supportive;agreeable;conciliatory;serene,9118.215822625285,4109.227823694791,-1158.805768730937,-1070.0718470523368,3942.2018337605796,-3247.8769220290455,2863.391368023273,-4808.99052719018,-3438.037873763976,-2295.9528104137657,-1484.1970214135413,3882.6366440888355,4622.036664721233,3832.6757738148904,4801.992700034502,1027.7892531535122,2786.7636324281607,497.87977964952563,2841.4672703086326,1167.8538708955548
gemma,pilot,270110448.3914889,372058152.1346043,10096.915555906931,352036866.02135617,4474.515181921736,0.7259898670188728,15417.113913564779,True,nurturing;supportive;agreeable;conciliatory;calm,9319.679127305997,3967.406099935841,-257.0175310735997,-1786.4136280447256,3891.8807920011936,-3239.569135225004,2978.9398349528474,-4467.771216256678,-3282.313763020002,-2428.286242296192,-1683.5112949587588,3926.0910792803775,4699.616808410014,3566.895102820792,4521.610768886413,1126.2899028820855,2975.863527019442,276.68791285486725,2868.3118862728948,1085.8435397468652
gemma,pirate,264996553.54323938,371623278.27172774,10326.021728065865,349897778.3224281,4661.0621052824035,0.7130784561603167,15342.237402541385,True,nurturing;supportive;agreeable;conciliatory;serene,8597.974012580216,4174.588618486778,-602.3110743876912,-1506.2075044330834,3919.3636283356577,-3097.1340826774226,3058.4600936389925,-4873.894272563313,-3496.4214290243845,-2545.189376228495,-1737.9609187847072,3657.9224067398945,4754.4735670764185,3852.6384389295404,4468.152223580678,1235.4039010686622,3142.9768553550875,501.9530403488157,2690.9914160529406,1239.3917656375286
gemma,planner,280317714.5416139,380047820.659465,9986.496188245963,361076619.1247456,4355.594280315765,0.7375853755856359,15704.78547780183,True,nurturing;conciliatory;agreeable;supportive;calm,9617.268746445507,3826.07349890685,-213.3960988472948,-1924.8734524477725,3929.8678639948853,-3109.0333828151374,3114.8194456522588,-4557.173509336525,-3485.872195560923,-2373.6536064887387,-1733.1913755984772,4088.051383503136,4758.2967014442675,3601.725763781842,4598.58468186228,1094.923172985745,2868.8811428124177,394.2655349362303,2960.9478525783275,1114.458845529124
gemma,playwright,270874002.4643598,370630728.58131015,9987.828899062615,351643772.8911009,4357.4024016848925,0.7308460458775333,15471.778707451795,True,nurturing;supportive;agreeable;conciliatory;serene,9025.492423993848,4065.505578858647,-557.769327173636,-1689.7313765429947,3901.640258685266,-3285.480561042814,2995.527062408924,-4514.323801041485,-3597.4756699274344,-2492.8904564734785,-1652.0148871167498,4141.340425963863,4648.3169106851055,3597.701482104605,4550.911852893843,1075.021770507099,2956.084309875129,266.568490126118,2937.9125481012584,1206.8910406642224
gemma,podcaster,268734346.9991666,369334560.9055775,10029.965797868448,350372285.0920124,4354.569532521565,0.7276176546821193,15405.137857509917,True,nurturing;supportive;agreeable;conciliatory;serene,9130.219164722144,4267.161711738789,-321.09042631074266,-1677.5654916393114,3901.2865365805487,-3468.418064994964,2969.4712531185114,-4251.322509551172,-3306.591955610857,-2449.823128166782,-1658.6478527667048,4072.389167699865,4619.798725795762,3574.2390724285924,4524.799414035133,1040.4192632674556,2860.212107252395,331.14457735846537,2929.15388470795,1136.1857744283832
gemma,poet,251024371.6610106,347926262.56753826,9843.875807146678,329128256.45907307,4335.666743243211,0.7214872766676605,14881.617087753346,True,nurturing;supportive;agreeable;conciliatory;serene,8519.421921186296,3953.970094365539,-1155.939072499987,-1077.701514996863,3873.852186641471,-3075.531049617033,3014.9974967151065,-4861.0349834228755,-3810.880385313292,-2275.673940962452,-1599.1918977871774,3806.335973559758,4540.248383407337,3466.145698376254,4128.091210255111,1006.3436086533092,2686.885253799527,473.8743500204457,2656.4641620459515,1094.1239006899355
gemma,polymath,272249777.9178309,372391381.13689005,10007.07765629203,353384680.2239239,4359.667523213912,0.7310850672393855,15478.65848542663,True,nurturing;supportive;agreeable;conciliatory;serene,9309.695966644667,3903.0334309330824,-697.4427710786155,-1685.0315247243225,3925.3814888240877,-3314.2604470813244,3139.410972197886,-4422.000478537182,-3330.1428986654696,-2215.349928745779,-1683.3173787046517,4055.515245383171,4696.594320128782,3633.39478162033,4511.422630155576,1137.7124964783006,2992.64553504303,252.44036671242668,2950.9684820670236,1141.8595372015752
gemma,pragmatist,273109341.3855725,373322437.9947962,10010.649160230505,354295469.1676298,4361.991383206349,0.731564228639746,15520.977402417278,True,nurturing;conciliatory;agreeable;supportive;calm,9280.211533563599,3861.1733260011806,-72.05976683391447,-1903.1943860231772,4012.893609120738,-3277.484500747912,3009.4609272155803,-4651.765919482515,-3339.131720434138,-2369.8629440028462,-1799.1209335741214,3951.4597209498647,4707.881723676516,3522.745896419775,4593.714171806082,1112.6280564732212,2915.270163810862,325.36520081325443,2963.911267188226,994.7962354621077
gemma,predator,270067658.7763902,374056043.93941057,10197.469547050405,353814248.81003636,4499.088255343988,0.7219978480554524,15449.268177315498,True,nurturing;supportive;agreeable;conciliatory;serene,8832.420561913654,3750.5726242465403,-867.9492979030467,-1433.6035030871246,3967.3411631392078,-3412.4041992840775,2847.9130871491047,-4780.780858848602,-3601.843336509609,-2546.9762005336224,-1990.5197088142363,4082.0164944477265,4677.197872458685,3715.1237512367316,4600.706494604975,1194.6269714907069,2942.218927415733,430.78551531873364,2884.537822526923,1144.4418896393076
