K,model_family_id,human_profile_id,human_support,12_pearson_r,12_spearman_rho,12_cosine,12_rmse,12_mean_absolute_residual,12_mean_signed_residual,45_pearson_r,45_spearman_rho,45_cosine,45_rmse,45_mean_absolute_residual,45_mean_signed_residual
6,MFamily_C,H06_D,1741.0,0.3648564336816248,0.3916083916083916,0.4040270872346512,0.5967468746476131,0.4778672873077583,0.124981221051975,-0.004284500182199059,-0.024045587812379216,-0.01290188916750869,0.9230492448400789,0.7548529021342489,-0.13231306641147111
6,MFamily_D,H06_F,1638.0,0.6503978785853131,0.6153846153846154,0.6398700598836098,1.1479156252689244,1.0498738557613834,0.3782531629494,0.5627667139462322,0.5488981853499826,0.5583948155354249,1.0914409350811562,0.9903071888723911,0.3321474404268578
7,MFamily_A,H07_B,2794.0,0.5119575820071992,0.5664335664335665,0.4873155824423907,0.6466483620343954,0.6177227934900933,-0.4828824712680933,0.39029066752633573,0.4157580950244527,0.420273715047399,0.7260488844427252,0.6517208939754671,-0.2511360215501338
7,MFamily_B,H07_G,2220.0,0.6006592558111156,0.43356643356643365,0.7945583914567843,0.4998248989198342,0.43633099593907504,0.36958834459124174,0.40615312394707337,0.41786620135320923,0.5598762426502634,0.6181618386384984,0.5171246570672964,0.19902749204052578
7,MFamily_C,H07_E,1531.0,0.3498785604016058,0.3356643356643357,0.4007234268444006,0.5898018160909825,0.4693495321295749,0.11452230451575833,-0.060942855495769305,-0.07556243622136702,-0.06867984730409335,0.9281539533202063,0.761923602081451,-0.13676972781926888
7,MFamily_D,H07_A,1371.0,0.7709068255399915,0.6643356643356644,0.6943253275975175,1.1707107808660342,1.0927580974592501,0.43819799386291663,-0.012681700408945723,0.12253368035897355,-0.03895493821781711,1.3202352627568232,1.2336692629283732,0.3931372315166179
8,MFamily_A,H08_D,1880.0,0.7693487569502238,0.9160839160839163,0.7767616798070327,0.5441709534714682,0.5034900072536083,-0.42719347389927503,0.21083055547827578,0.18860963810093617,0.2905541577318662,0.7665714629029168,0.6942908572367417,-0.22771308471386162
8,MFamily_B,H08_H,1936.0,0.586846576847693,0.5174825174825175,0.8123725788033233,0.5086183109586501,0.4177636439141708,0.3764463352018375,0.5600358616663758,0.5675417506949232,0.6820504759680304,0.5757450426921352,0.4680774703296416,0.19417964384151623
8,MFamily_C,H08_C,2489.0,0.534098707213548,0.43356643356643365,0.37345047872924697,0.5753608508123991,0.5037986668239917,0.2671428413373917,0.0933568056810309,0.09690701280002693,0.10043879185368584,0.8030648909942126,0.700696893691244,0.046509815250467136
8,MFamily_D,H08_A,1266.0,0.7660988115340366,0.6643356643356644,0.7297784184716781,1.1193789074978164,1.0349907628287334,0.4055109162200667,0.04713839260909112,0.12938502592743228,0.044296216029759805,1.299386149966349,1.205637188945311,0.3600172947178756
10,MFamily_A,H10_C,1940.0,0.7455124297993793,0.7902097902097903,0.747319478249958,0.5469467936205215,0.52008384093225,-0.42804378165158335,0.39957193661882967,0.36200138364116113,0.47179417340337854,0.7138730407962522,0.6504394286496318,-0.21864868661205356
10,MFamily_B,H10_A,1180.0,0.4689444173893173,0.4895104895104896,0.1471163972842306,0.722972287564068,0.6350198571008251,0.6200472569936584,-0.3399572385821864,-0.3123291282698353,-0.36346762173183395,0.9151380793950283,0.7681358413882996,0.41389877301357514
10,MFamily_C,H10_F,2001.0,0.5680681160357246,0.5734265734265735,0.6289148416545501,0.48982598847272835,0.3698107012198583,0.08850738443950834,0.29675342066461835,0.2760960507443323,0.277748355946678,0.7768407016948847,0.6295021318843195,-0.10984966785508399
10,MFamily_D,H10_J,1049.0,0.8991507949303034,0.6223776223776225,0.9078732100005564,0.906915647865861,0.8139926189150833,0.21384532074725002,0.6688154425557752,0.6784149679229622,0.7005254053124119,1.0101676975363685,0.9101441742101469,0.16908500635060847
