model,persona,residual_trait_hifwb_score,within_model_percentile
Qwen,pirate,0.08443505257129173,77.45454545454545
Qwen,planner,0.05903323554159447,70.54545454545455
Qwen,playwright,0.06631517794890705,73.45454545454545
Qwen,podcaster,-0.14251436885499283,12.0
Qwen,poet,0.1910181650084392,91.27272727272727
Qwen,polymath,-0.022612732774890378,42.54545454545455
Qwen,pragmatist,-0.20612556518242953,5.090909090909091
Qwen,predator,-0.01825500993013996,44.36363636363637
Qwen,presenter,0.0012985855896777327,53.45454545454545
Qwen,prey,0.007801119578094643,57.09090909090909
Qwen,prisoner,-0.15706728021319305,9.454545454545455
Qwen,procrastinator,-0.15033850630342524,10.545454545454545
Qwen,prodigy,0.016032678729396503,60.72727272727273
Qwen,producer,-0.0498341579307679,33.09090909090909
Qwen,programmer,-0.056987154209411105,30.909090909090907
Qwen,proofreader,0.081608337669863,77.0909090909091
Qwen,prophet,0.3182729797451481,99.27272727272727
Qwen,provincial,-0.026769492225668975,41.81818181818181
Qwen,provocateur,-0.1159436861349927,18.181818181818183
Qwen,psychologist,-0.08070552176435428,24.0
Qwen,publisher,0.01944659191138382,62.54545454545455
Qwen,purist,0.055473867905481755,69.81818181818183
Qwen,realist,-0.2915663493337541,1.090909090909091
Qwen,rebel,-0.13092423099972908,14.181818181818182
Qwen,recruiter,-0.03184435716309496,39.63636363636363
Qwen,refugee,-0.015520995181946896,45.81818181818182
Qwen,reporter,-0.08047896135954503,24.363636363636363
Qwen,researcher,0.011124655849281526,58.18181818181818
Qwen,retiree,-0.11815872470903713,17.81818181818182
Qwen,revenant,0.22165954091046228,94.54545454545455
Qwen,reviewer,-0.030539241058770462,40.36363636363636
Qwen,revolutionary,-0.050582538956878226,32.36363636363636
Qwen,robot,0.054499516960552684,69.0909090909091
Qwen,rogue,-0.202703970074894,5.818181818181818
Qwen,romantic,0.19532490077427814,92.0
Qwen,saboteur,-0.2543892425533719,2.909090909090909
Qwen,sage,0.09094128378834478,80.0
Qwen,scheduler,0.013063804975974517,59.63636363636363
Qwen,scholar,-0.00099765203370504,52.0
Qwen,scientist,-0.011483046733227026,47.63636363636364
Qwen,scout,-0.09931052614804652,21.09090909090909
Qwen,screener,-0.013785914185173253,46.54545454545455
Qwen,secretary,0.11029797794840333,83.63636363636363
Qwen,shaman,0.22827609451039174,96.0
Qwen,shapeshifter,0.023972979267645925,64.0
Qwen,simulacrum,-0.12852827889927343,15.272727272727273
Qwen,skeptic,-0.23661906886885295,3.6363636363636362
Qwen,smuggler,-0.26609540017483707,1.8181818181818181
Qwen,sociologist,-0.14093096577518407,12.727272727272727
Qwen,soldier,-0.0063656678356311235,50.54545454545455
Qwen,sommelier,0.0245006703605699,64.72727272727272
Qwen,specialist,-0.016790520854637676,44.72727272727273
Qwen,spirit,0.22870762442545128,96.36363636363636
Qwen,spy,-0.19987542798273517,6.181818181818182
Qwen,statistician,-0.04728901723911174,34.54545454545455
Qwen,stoic,0.10168366563693636,82.18181818181817
Qwen,strategist,-0.014987338155100177,46.18181818181818
Qwen,student,-0.07675302296958518,24.727272727272727
Qwen,summarizer,-0.01305411127466885,46.909090909090914
Qwen,supervisor,0.05360665134247431,68.36363636363636
Qwen,surfer,-0.09720437306555324,21.818181818181817
Qwen,survivor,-0.003044774474537957,50.90909090909091
Qwen,swarm,0.08981542707130657,79.27272727272727
Qwen,symbiont,-0.00841812839204068,48.72727272727273
Qwen,synthesizer,-0.05614314640777376,31.272727272727273
Qwen,teacher,0.01864244025475935,62.18181818181818
Qwen,technologist,-0.06466764902672925,28.000000000000004
Qwen,teenager,-0.20630366700081784,4.7272727272727275
Qwen,theorist,-0.04387020139238285,36.36363636363637
Qwen,therapist,-0.1258832334118946,15.636363636363637
Qwen,toddler,0.2844065301393717,98.18181818181819
Qwen,traditionalist,0.10595583029618286,82.54545454545455
Qwen,trainer,0.055043340269178107,69.45454545454545
