lower_K,higher_K,lower_profile_id,higher_profile_id,weighted_sqrt_js_distance,expected_score_profile_correlation,lower_profile_nearest_higher,higher_profile_nearest_lower,mutual_nearest
6,7,H06_B,H07_C,0.017432134312762783,0.9988352501245867,True,True,True
6,7,H06_B,H07_D,0.20673234555420023,0.6597367015636619,False,False,False
6,7,H06_B,H07_E,0.417550373942262,0.8824847137142977,False,False,False
6,7,H06_B,H07_F,0.35777422888407606,0.6704248040044425,False,False,False
6,7,H06_B,H07_G,0.2372430556198883,0.8747507515631213,False,False,False
6,7,H06_C,H07_A,0.15684321594849038,0.7129499508964825,False,True,False
6,7,H06_C,H07_B,0.24261218447331434,0.527814817824004,False,False,False
6,7,H06_C,H07_C,0.21182393196996227,0.660811206292824,False,False,False
6,7,H06_C,H07_D,0.05179350889889406,0.9772500405962551,True,True,True
6,7,H06_C,H07_E,0.35845906989485465,0.3547316604226414,False,False,False
6,7,H06_C,H07_F,0.2262825030612789,0.9513609844780633,False,False,False
6,7,H06_C,H07_G,0.22387406345588015,0.3748324731182867,False,False,False
6,7,H06_D,H07_A,0.2937891232421655,0.6503038797454872,False,False,False
6,7,H06_D,H07_B,0.22479172750118942,0.9564368404029358,False,False,False
6,7,H06_D,H07_C,0.3988754453193029,0.8971557291949298,False,False,False
6,7,H06_D,H07_D,0.35959762711120213,0.32553307068361453,False,False,False
6,7,H06_D,H07_E,0.04753905071429391,0.9971233535914361,True,True,True
6,7,H06_D,H07_F,0.24344433533196363,0.3583288181773566,False,False,False
6,7,H06_D,H07_G,0.24323500741443185,0.8719774058508893,False,False,False
6,7,H06_E,H07_A,0.17742004596829616,0.6074372190073396,False,False,False
6,7,H06_E,H07_B,0.17779486696689606,0.8130665179137403,False,False,False
6,7,H06_E,H07_C,0.22913304098560866,0.8830266973048622,False,False,False
6,7,H06_E,H07_D,0.22881279345782396,0.38788595226153316,False,False,False
6,7,H06_E,H07_E,0.26168158311522904,0.8910723276219332,False,False,False
6,7,H06_E,H07_F,0.2571336552787361,0.4485308788900628,False,False,False
6,7,H06_E,H07_G,0.0338395105141629,0.9953282537043565,True,True,True
6,7,H06_F,H07_A,0.23084144494319267,0.7212349700077368,False,False,False
6,7,H06_F,H07_B,0.2798489771149388,0.5312620482042841,False,False,False
6,7,H06_F,H07_C,0.35656913491836545,0.6980360044428635,False,False,False
6,7,H06_F,H07_D,0.24043201787180318,0.9251340489923612,False,False,False
6,7,H06_F,H07_E,0.22644611829990224,0.42344520560820376,False,False,False
6,7,H06_F,H07_F,0.04209582393845046,0.9835251468179916,True,True,True
6,7,H06_F,H07_G,0.25008035682188917,0.5151082116995986,False,False,False
7,8,H07_A,H08_A,0.0624745373065142,0.9774348639285748,True,True,True
7,8,H07_A,H08_B,0.23664343262390325,0.627047132527342,False,False,False
7,8,H07_A,H08_C,0.23424588954123604,0.6786664426961915,False,False,False
7,8,H07_A,H08_D,0.19043851152225966,0.704517403463298,False,False,False
7,8,H07_A,H08_E,0.22020381743856027,0.7264725319667339,False,False,False
7,8,H07_A,H08_F,0.2145280437254123,0.49475064837682725,False,False,False
7,8,H07_A,H08_G,0.3267086746124154,0.7321387255559623,False,False,False
7,8,H07_A,H08_H,0.2032722209599429,0.5111329686556073,False,False,False
7,8,H07_B,H08_A,0.21539109596057152,0.6657110568764907,False,False,False
