k,profile,status,replication_stability_rating,aligned_profile_distance,mean_aligned_profile_distance,discovery_prior_proportion,replication_prior_proportion,replication_best_seed,replication_converged_starts,replication_refit_seconds,profile_id
7,Profile C,completed,low,0.10636651189710308,0.1332426581936473,0.20476101127837915,0.20463942022977819,2026100601,4,2.2968950271606445,H07_C
7,Profile D,completed,low,0.1453953741268743,0.1332426581936473,0.14079856136941357,0.11007550698730588,2026100601,4,2.2968950271606445,H07_D
7,Profile E,completed,low,0.12709027404616027,0.1332426581936473,0.107758254545294,0.12463584329113116,2026100601,4,2.29689621925354,H07_E
7,Profile F,completed,low,0.1742113948580098,0.1332426581936473,0.09652012495810372,0.08376026610077625,2026100601,4,2.29689621925354,H07_F
7,Profile G,completed,low,0.13354120526538987,0.1332426581936473,0.1566675373943414,0.17625648848200343,2026100601,4,2.2968971729278564,H07_G
8,Profile A,completed,low,0.2089534110688495,0.1545779797159052,0.08924952345861677,0.06598104538096852,2026100705,2,1.973261833190918,H08_A
8,Profile B,completed,low,0.1212987571126297,0.1545779797159052,0.15801440929815913,0.20827297099028944,2026100705,2,1.9732627868652344,H08_B
8,Profile C,completed,low,0.19101401735652357,0.1545779797159052,0.17575891224535567,0.11317756041054677,2026100705,2,1.9732637405395508,H08_C
8,Profile D,completed,low,0.1479216831687412,0.1545779797159052,0.13243504516010388,0.10021329614492437,2026100705,2,1.9732649326324463,H08_D
8,Profile E,completed,low,0.12378989631618068,0.1545779797159052,0.13594304474436691,0.218211825806451,2026100705,2,1.9732649326324463,H08_E
8,Profile F,completed,low,0.15662609162590796,0.1545779797159052,0.08526926806793406,0.06959434281890706,2026100705,2,1.9732658863067627,H08_F
8,Profile G,completed,low,0.12416172075790725,0.1545779797159052,0.08720408278315915,0.11777993076100533,2026100705,2,1.9732658863067627,H08_G
8,Profile H,completed,low,0.16285826032050155,0.1545779797159052,0.13612571424230438,0.10676902768690755,2026100705,2,1.973266839981079,H08_H
9,Profile A,completed,low,0.19377277370558743,0.15829351989339951,0.08304251939750028,0.049410004525273464,2026100802,1,1.8471739292144775,H09_A
9,Profile B,completed,low,0.12813394615231355,0.15829351989339951,0.14137869616362655,0.13304710235705655,2026100802,1,1.8471789360046387,H09_B
9,Profile C,completed,low,0.11273833487954629,0.15829351989339951,0.10783726002905568,0.23049932512397883,2026100802,1,1.8471789360046387,H09_C
9,Profile D,completed,low,0.1877133803559154,0.15829351989339951,0.13017026263204762,0.06901517503712569,2026100802,1,1.847179651260376,H09_D
9,Profile E,completed,low,0.15153969232215458,0.15829351989339951,0.08571134290408539,0.09290346791182039,2026100802,1,1.847179651260376,H09_E
9,Profile F,completed,low,0.1468669255913345,0.15829351989339951,0.1752768468665305,0.20852858308995512,2026100802,1,1.8471808433532715,H09_F
9,Profile G,completed,low,0.1465995583980364,0.15829351989339951,0.100601616042866,0.08157411819207756,2026100802,1,1.8471808433532715,H09_G
9,Profile H,completed,low,0.17913574637558588,0.15829351989339951,0.06265786074100467,0.08169478491666866,2026100802,1,1.847181797027588,H09_H
9,Profile I,completed,low,0.17814132126012144,0.15829351989339951,0.11332359522328328,0.05332743884604374,2026100802,1,1.8471827507019043,H09_I
10,Profile A,completed,low,0.16460631352290278,0.15398661848285214,0.08303673899304277,0.06859216321012766,2026100903,2,2.547063112258911,H10_A
10,Profile B,completed,low,0.2156605937060936,0.15398661848285214,0.08455212980503503,0.06943702427433911,2026100903,2,2.5470640659332275,H10_B
10,Profile C,completed,low,0.16279479174497538,0.15398661848285214,0.13627943608522552,0.09501933916137022,2026100903,2,2.547065019607544,H10_C
10,Profile D,completed,low,0.12335424764521845,0.15398661848285214,0.1329725181374471,0.1547391604563916,2026100903,2,2.5470659732818604,H10_D
10,Profile E,completed,low,0.13481812507864938,0.15398661848285214,0.10687210335106381,0.14149233215586357,2026100903,2,2.5470659732818604,H10_E
10,Profile F,completed,low,0.11529797849132198,0.15398661848285214,0.14054460297374305,0.1667350420269796,2026100903,2,2.5470669269561768,H10_F
10,Profile G,completed,low,0.14601552450075894,0.15398661848285214,0.08201346804455464,0.07771248600048254,2026100903,2,2.547067880630493,H10_G
10,Profile H,completed,low,0.1470915134156232,0.15398661848285214,0.054634043090898796,0.10016858252508311,2026100903,2,2.547067880630493,H10_H
10,Profile I,completed,low,0.149406070111874,0.15398661848285214,0.10509806748784967,0.07869414408506238,2026100903,2,2.5470690727233887,H10_I
10,Profile J,completed,low,0.18082102661110366,0.15398661848285214,0.07399689203113949,0.047409726104300186,2026100903,2,2.547070026397705,H10_J
