k,seed,converged,monotone,iterations,log_likelihood,mean_distance_to_best,per_class_distances
9,2026092206,True,True,198,-1822428.4991115755,0.09542414927742171,"[0.06489159319672229, 0.05571699977271087, 0.08390983859052248, 0.078374787880619, 0.12509880213647445, 0.15128629031361443, 0.09435474363975226, 0.11093047601786486, 0.09425381194851469]"
9,2026092204,True,True,134,-1822618.5709797423,0.1009927827848611,"[0.0804767950466627, 0.06238719816054501, 0.08667532690947252, 0.09143762768156218, 0.16599172972708956, 0.14625380713761302, 0.08033847959734677, 0.1092009953817743, 0.08617308542168384]"
9,2026092203,False,True,250,-1821021.9950859947,,[]
9,2026092205,False,False,147,-1821651.0827557587,,[]
9,2026092201,False,True,250,-1822265.8302364063,,[]
10,2026092304,True,True,197,-1815868.489578574,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,2026092302,True,True,173,-1816367.8203178477,0.07504557868875412,"[0.057589100196876075, 0.06116631982575832, 0.048333413781491745, 0.04985960491421987, 0.07096606661843455, 0.09665992956490566, 0.09598609385264971, 0.1412382054387727, 0.0914692358566723, 0.03718781683776029]"
10,2026092301,True,True,197,-1818028.6099918983,0.12206320377305273,"[0.11656059720617, 0.22327674580516438, 0.09604962875677545, 0.10507032070103192, 0.08912604513051886, 0.0908293129216148, 0.1416378534389272, 0.1721145633499011, 0.09203644086330115, 0.09393052955712247]"
10,2026092303,True,True,182,-1818464.8943000198,0.11020184381704141,"[0.11740842294803214, 0.15642128795063484, 0.0872025856229755, 0.072115469799413, 0.09268719284157223, 0.16745269809006202, 0.1366412601017416, 0.10441247930057984, 0.12433376442894445, 0.04334327708645857]"
10,2026092306,False,True,250,-1815305.0291479672,,[]
10,2026092305,False,True,250,-1817407.1008047468,,[]
