role,neighbor_rank,neighbor_role,standardized_native_pc_distance,model,model_label,k
ambassador,8,sociologist,0.315707154393,gemma,Gemma 2 27B,10
ambassador,9,publisher,0.316675092353,gemma,Gemma 2 27B,10
ambassador,10,psychologist,0.331629564783,gemma,Gemma 2 27B,10
amnesiac,1,bohemian,0.192031262776,gemma,Gemma 2 27B,10
amnesiac,2,survivor,0.561708254104,gemma,Gemma 2 27B,10
amnesiac,3,luddite,0.688574805541,gemma,Gemma 2 27B,10
amnesiac,4,prey,0.711341367563,gemma,Gemma 2 27B,10
amnesiac,5,exile,0.784462182449,gemma,Gemma 2 27B,10
amnesiac,6,widow,0.836850957872,gemma,Gemma 2 27B,10
amnesiac,7,nomad,0.85584862094,gemma,Gemma 2 27B,10
amnesiac,8,refugee,0.910493623279,gemma,Gemma 2 27B,10
amnesiac,9,elder,0.929048946941,gemma,Gemma 2 27B,10
amnesiac,10,pirate,0.930363910272,gemma,Gemma 2 27B,10
analyst,1,researcher,0.0459367348629,gemma,Gemma 2 27B,10
analyst,2,evaluator,0.0832906153721,gemma,Gemma 2 27B,10
analyst,3,strategist,0.176464288835,gemma,Gemma 2 27B,10
analyst,4,engineer,0.193091041998,gemma,Gemma 2 27B,10
analyst,5,reviewer,0.239117359173,gemma,Gemma 2 27B,10
analyst,6,scientist,0.254338995256,gemma,Gemma 2 27B,10
analyst,7,validator,0.263707327559,gemma,Gemma 2 27B,10
analyst,8,sociologist,0.29280549959,gemma,Gemma 2 27B,10
analyst,9,forecaster,0.295263949603,gemma,Gemma 2 27B,10
analyst,10,consultant,0.336452391118,gemma,Gemma 2 27B,10
anarchist,1,prodigy,0.133144620137,gemma,Gemma 2 27B,10
anarchist,2,sommelier,0.418996090433,gemma,Gemma 2 27B,10
anarchist,3,historian,0.463810352136,gemma,Gemma 2 27B,10
anarchist,4,collector,0.536098664909,gemma,Gemma 2 27B,10
anarchist,5,zeitgeist,0.576710835479,gemma,Gemma 2 27B,10
anarchist,6,visionary,0.580209668958,gemma,Gemma 2 27B,10
anarchist,7,cyborg,0.604142866913,gemma,Gemma 2 27B,10
anarchist,8,scout,0.617754698788,gemma,Gemma 2 27B,10
anarchist,9,archaeologist,0.620182275896,gemma,Gemma 2 27B,10
anarchist,10,revolutionary,0.650268351916,gemma,Gemma 2 27B,10
ancient,1,ascetic,0.238799066701,gemma,Gemma 2 27B,10
ancient,2,prophet,0.317966558815,gemma,Gemma 2 27B,10
ancient,3,wraith,0.454792493907,gemma,Gemma 2 27B,10
ancient,4,homunculus,0.496519184564,gemma,Gemma 2 27B,10
ancient,5,dreamer,0.524836102991,gemma,Gemma 2 27B,10
ancient,6,ghost,0.53201738605,gemma,Gemma 2 27B,10
ancient,7,familiar,0.595187354742,gemma,Gemma 2 27B,10
ancient,8,echo,0.596038855256,gemma,Gemma 2 27B,10
ancient,9,oracle,0.616372308803,gemma,Gemma 2 27B,10
ancient,10,revenant,0.641484724222,gemma,Gemma 2 27B,10
angel,1,guru,0.264946768436,gemma,Gemma 2 27B,10
angel,2,sage,0.408745489686,gemma,Gemma 2 27B,10
angel,3,mycorrhizal,0.546446571715,gemma,Gemma 2 27B,10
angel,4,pilgrim,0.566915553916,gemma,Gemma 2 27B,10
angel,5,mystic,0.591952254764,gemma,Gemma 2 27B,10
angel,6,avatar,0.658023661401,gemma,Gemma 2 27B,10
angel,7,spirit,0.728317311495,gemma,Gemma 2 27B,10
angel,8,coral_reef,0.756402896544,gemma,Gemma 2 27B,10
angel,9,witch,0.783660805549,gemma,Gemma 2 27B,10
angel,10,ecosystem,0.857246270642,gemma,Gemma 2 27B,10
anthropologist,1,ambassador,0.0754693117195,gemma,Gemma 2 27B,10
anthropologist,2,synthesizer,0.218009275465,gemma,Gemma 2 27B,10
anthropologist,3,generalist,0.25255323889,gemma,Gemma 2 27B,10
anthropologist,4,conservator,0.252857321483,gemma,Gemma 2 27B,10
anthropologist,5,architect,0.261205122311,gemma,Gemma 2 27B,10
anthropologist,6,geographer,0.267806476605,gemma,Gemma 2 27B,10
anthropologist,7,designer,0.295270550855,gemma,Gemma 2 27B,10
anthropologist,8,sociologist,0.336809498108,gemma,Gemma 2 27B,10
anthropologist,9,biologist,0.3525555787,gemma,Gemma 2 27B,10
anthropologist,10,curator,0.35278607926,gemma,Gemma 2 27B,10
archaeologist,1,sommelier,0.226014001748,gemma,Gemma 2 27B,10
archaeologist,2,writer,0.241097343574,gemma,Gemma 2 27B,10
archaeologist,3,collector,0.258408772449,gemma,Gemma 2 27B,10
archaeologist,4,cosmopolitan,0.26454186948,gemma,Gemma 2 27B,10
archaeologist,5,scout,0.323924853498,gemma,Gemma 2 27B,10
archaeologist,6,composer,0.354072509331,gemma,Gemma 2 27B,10
archaeologist,7,tulpa,0.37921943815,gemma,Gemma 2 27B,10
archaeologist,8,cartographer,0.391806798666,gemma,Gemma 2 27B,10
archaeologist,9,idealist,0.405401618735,gemma,Gemma 2 27B,10
archaeologist,10,symbiont,0.408329565018,gemma,Gemma 2 27B,10
architect,1,designer,0.0856305310451,gemma,Gemma 2 27B,10
architect,2,geographer,0.11844744593,gemma,Gemma 2 27B,10
architect,3,generalist,0.17851770246,gemma,Gemma 2 27B,10
architect,4,ambassador,0.203604295237,gemma,Gemma 2 27B,10
architect,5,publisher,0.208703316168,gemma,Gemma 2 27B,10
architect,6,psychologist,0.23605815837,gemma,Gemma 2 27B,10
architect,7,librarian,0.250666571169,gemma,Gemma 2 27B,10
architect,8,anthropologist,0.261205122311,gemma,Gemma 2 27B,10
architect,9,negotiator,0.276954245761,gemma,Gemma 2 27B,10
architect,10,translator,0.296939507601,gemma,Gemma 2 27B,10
archivist,1,conservator,0.216610393697,gemma,Gemma 2 27B,10
archivist,2,cartographer,0.224023379216,gemma,Gemma 2 27B,10
archivist,3,biologist,0.234386469917,gemma,Gemma 2 27B,10
archivist,4,collector,0.338396603192,gemma,Gemma 2 27B,10
archivist,5,futurist,0.355011965219,gemma,Gemma 2 27B,10
archivist,6,specialist,0.363449210742,gemma,Gemma 2 27B,10
archivist,7,historian,0.364470749729,gemma,Gemma 2 27B,10
archivist,8,technologist,0.371561424496,gemma,Gemma 2 27B,10
archivist,9,geographer,0.396006427703,gemma,Gemma 2 27B,10
archivist,10,judge,0.406082492937,gemma,Gemma 2 27B,10
artisan,1,musician,0.524066017068,gemma,Gemma 2 27B,10
artisan,2,empath,0.54998975927,gemma,Gemma 2 27B,10
artisan,3,romantic,0.596915324505,gemma,Gemma 2 27B,10
artisan,4,hybrid,0.66276241959,gemma,Gemma 2 27B,10
artisan,5,wanderer,0.699191478334,gemma,Gemma 2 27B,10
artisan,6,ecosystem,0.700264014785,gemma,Gemma 2 27B,10
artisan,7,naturalist,0.760321107361,gemma,Gemma 2 27B,10
artisan,8,idealist,0.782404460939,gemma,Gemma 2 27B,10
artisan,9,nomad,0.790513496069,gemma,Gemma 2 27B,10
artisan,10,minimalist,0.811950019275,gemma,Gemma 2 27B,10
ascetic,1,ancient,0.238799066701,gemma,Gemma 2 27B,10
ascetic,2,homunculus,0.315153974736,gemma,Gemma 2 27B,10
ascetic,3,chimera,0.481479154594,gemma,Gemma 2 27B,10
ascetic,4,prophet,0.510251882976,gemma,Gemma 2 27B,10
ascetic,5,dreamer,0.597700094205,gemma,Gemma 2 27B,10
ascetic,6,revenant,0.611978442332,gemma,Gemma 2 27B,10
ascetic,7,ghost,0.636111005803,gemma,Gemma 2 27B,10
ascetic,8,familiar,0.658946227648,gemma,Gemma 2 27B,10
ascetic,9,egregore,0.668966685589,gemma,Gemma 2 27B,10
ascetic,10,wraith,0.673893456536,gemma,Gemma 2 27B,10
assistant,1,nutritionist,0.145571517571,gemma,Gemma 2 27B,10
assistant,2,instructor,0.152937799976,gemma,Gemma 2 27B,10
assistant,3,trainer,0.164804271194,gemma,Gemma 2 27B,10
assistant,4,networker,0.170782440402,gemma,Gemma 2 27B,10
assistant,5,collaborator,0.194728479213,gemma,Gemma 2 27B,10
assistant,6,mentor,0.203427033496,gemma,Gemma 2 27B,10
assistant,7,doctor,0.211129827724,gemma,Gemma 2 27B,10
assistant,8,coach,0.247263808054,gemma,Gemma 2 27B,10
assistant,9,interviewer,0.291389181114,gemma,Gemma 2 27B,10
assistant,10,veterinarian,0.35551545837,gemma,Gemma 2 27B,10
auctioneer,1,improviser,0.347442453615,gemma,Gemma 2 27B,10
auctioneer,2,addict,0.694974926543,gemma,Gemma 2 27B,10
auctioneer,3,prisoner,0.719053465877,gemma,Gemma 2 27B,10
auctioneer,4,veteran,0.745570556925,gemma,Gemma 2 27B,10
auctioneer,5,celebrity,0.756413862524,gemma,Gemma 2 27B,10
auctioneer,6,mechanic,0.819207029458,gemma,Gemma 2 27B,10
auctioneer,7,criminal,0.835295749921,gemma,Gemma 2 27B,10
auctioneer,8,hoarder,0.851046291966,gemma,Gemma 2 27B,10
auctioneer,9,bartender,0.86644967562,gemma,Gemma 2 27B,10
auctioneer,10,gamer,0.874173731314,gemma,Gemma 2 27B,10
auditor,1,lawyer,0.109131416322,gemma,Gemma 2 27B,10
auditor,2,statistician,0.134785870222,gemma,Gemma 2 27B,10
auditor,3,economist,0.194613588217,gemma,Gemma 2 27B,10
auditor,4,validator,0.243302770772,gemma,Gemma 2 27B,10
auditor,5,examiner,0.265774459666,gemma,Gemma 2 27B,10
auditor,6,scientist,0.298221753048,gemma,Gemma 2 27B,10
auditor,7,accountant,0.31619807461,gemma,Gemma 2 27B,10
auditor,8,debugger,0.32522696651,gemma,Gemma 2 27B,10
auditor,9,journalist,0.350536261372,gemma,Gemma 2 27B,10
auditor,10,screener,0.353778727719,gemma,Gemma 2 27B,10
avatar,1,sage,0.330742317499,gemma,Gemma 2 27B,10
avatar,2,familiar,0.387451548741,gemma,Gemma 2 27B,10
avatar,3,spirit,0.40930780325,gemma,Gemma 2 27B,10
avatar,4,mystic,0.501757887043,gemma,Gemma 2 27B,10
avatar,5,oracle,0.511578170125,gemma,Gemma 2 27B,10
avatar,6,guru,0.558306983691,gemma,Gemma 2 27B,10
avatar,7,mycorrhizal,0.577099626897,gemma,Gemma 2 27B,10
avatar,8,angel,0.658023661401,gemma,Gemma 2 27B,10
avatar,9,witch,0.696442599768,gemma,Gemma 2 27B,10
avatar,10,coral_reef,0.704439080856,gemma,Gemma 2 27B,10
bard,1,hermit,0.213208882107,gemma,Gemma 2 27B,10
bard,2,whale,0.386269940604,gemma,Gemma 2 27B,10
bard,3,wanderer,0.433501695364,gemma,Gemma 2 27B,10
bard,4,pilgrim,0.438343371154,gemma,Gemma 2 27B,10
bard,5,wind,0.449917549217,gemma,Gemma 2 27B,10
bard,6,coral_reef,0.487774702328,gemma,Gemma 2 27B,10
bard,7,romantic,0.515906644844,gemma,Gemma 2 27B,10
bard,8,witch,0.534284546123,gemma,Gemma 2 27B,10
bard,9,mycorrhizal,0.63735383924,gemma,Gemma 2 27B,10
bard,10,tree,0.73499371244,gemma,Gemma 2 27B,10
bartender,1,retiree,0.118546306101,gemma,Gemma 2 27B,10
bartender,2,divorcee,0.161305146244,gemma,Gemma 2 27B,10
bartender,3,mechanic,0.350179035714,gemma,Gemma 2 27B,10
bartender,4,patient,0.476216853453,gemma,Gemma 2 27B,10
bartender,5,addict,0.50825509895,gemma,Gemma 2 27B,10
bartender,6,orphan,0.535126745811,gemma,Gemma 2 27B,10
bartender,7,newlywed,0.555850604036,gemma,Gemma 2 27B,10
bartender,8,influencer,0.6636725936,gemma,Gemma 2 27B,10
bartender,9,improviser,0.669442625931,gemma,Gemma 2 27B,10
bartender,10,parent,0.670695553192,gemma,Gemma 2 27B,10
biologist,1,specialist,0.175275190186,gemma,Gemma 2 27B,10
biologist,2,conservator,0.20578179286,gemma,Gemma 2 27B,10
biologist,3,geographer,0.220817888044,gemma,Gemma 2 27B,10
biologist,4,archivist,0.234386469917,gemma,Gemma 2 27B,10
biologist,5,sociologist,0.250879197822,gemma,Gemma 2 27B,10
biologist,6,linguist,0.2684369314,gemma,Gemma 2 27B,10
biologist,7,forecaster,0.283844820512,gemma,Gemma 2 27B,10
biologist,8,technologist,0.292008912334,gemma,Gemma 2 27B,10
biologist,9,observer,0.299244894095,gemma,Gemma 2 27B,10
biologist,10,librarian,0.29984321432,gemma,Gemma 2 27B,10
blogger,1,expatriate,0.213870997719,gemma,Gemma 2 27B,10
blogger,2,chef,0.227602931921,gemma,Gemma 2 27B,10
blogger,3,chameleon,0.298774772224,gemma,Gemma 2 27B,10
blogger,4,builder,0.311316932606,gemma,Gemma 2 27B,10
blogger,5,podcaster,0.427630198565,gemma,Gemma 2 27B,10
blogger,6,presenter,0.531698835456,gemma,Gemma 2 27B,10
blogger,7,merchant,0.616659532821,gemma,Gemma 2 27B,10
blogger,8,playwright,0.663232033332,gemma,Gemma 2 27B,10
blogger,9,tulpa,0.673907191678,gemma,Gemma 2 27B,10
blogger,10,optimist,0.687075517773,gemma,Gemma 2 27B,10
bohemian,1,amnesiac,0.192031262776,gemma,Gemma 2 27B,10
bohemian,2,luddite,0.49883980787,gemma,Gemma 2 27B,10
bohemian,3,prey,0.619351749514,gemma,Gemma 2 27B,10
bohemian,4,survivor,0.705505092945,gemma,Gemma 2 27B,10
bohemian,5,exile,0.79894386424,gemma,Gemma 2 27B,10
bohemian,6,pirate,0.883703693307,gemma,Gemma 2 27B,10
bohemian,7,actor,0.952197769094,gemma,Gemma 2 27B,10
bohemian,8,widow,0.970887489045,gemma,Gemma 2 27B,10
bohemian,9,nomad,1.04640607593,gemma,Gemma 2 27B,10
bohemian,10,narrator,1.07858667556,gemma,Gemma 2 27B,10
builder,1,chef,0.13618247741,gemma,Gemma 2 27B,10
builder,2,podcaster,0.289863542728,gemma,Gemma 2 27B,10
builder,3,blogger,0.311316932606,gemma,Gemma 2 27B,10
builder,4,expatriate,0.322136005812,gemma,Gemma 2 27B,10
builder,5,presenter,0.367761396743,gemma,Gemma 2 27B,10
builder,6,merchant,0.455019152065,gemma,Gemma 2 27B,10
builder,7,activist,0.482499328632,gemma,Gemma 2 27B,10
builder,8,tulpa,0.487752869337,gemma,Gemma 2 27B,10
builder,9,chameleon,0.534019112421,gemma,Gemma 2 27B,10
builder,10,playwright,0.563554455661,gemma,Gemma 2 27B,10
caregiver,1,counselor,0.760910307961,gemma,Gemma 2 27B,10
caregiver,2,therapist,0.950542566058,gemma,Gemma 2 27B,10
caregiver,3,optimist,0.96001987562,gemma,Gemma 2 27B,10
caregiver,4,immigrant,1.12768073024,gemma,Gemma 2 27B,10
caregiver,5,vegan,1.14799713217,gemma,Gemma 2 27B,10
caregiver,6,teacher,1.15668553391,gemma,Gemma 2 27B,10
caregiver,7,tutor,1.23300851391,gemma,Gemma 2 27B,10
caregiver,8,empath,1.24594085538,gemma,Gemma 2 27B,10
caregiver,9,coach,1.2925300765,gemma,Gemma 2 27B,10
caregiver,10,refugee,1.30471710396,gemma,Gemma 2 27B,10
cartographer,1,archivist,0.224023379216,gemma,Gemma 2 27B,10
cartographer,2,conservator,0.227051419671,gemma,Gemma 2 27B,10
cartographer,3,advocate,0.28419645851,gemma,Gemma 2 27B,10
cartographer,4,guardian,0.33060590528,gemma,Gemma 2 27B,10
cartographer,5,collector,0.332355132014,gemma,Gemma 2 27B,10
cartographer,6,biologist,0.335251205946,gemma,Gemma 2 27B,10
cartographer,7,navigator,0.338465469554,gemma,Gemma 2 27B,10
cartographer,8,scout,0.345447808593,gemma,Gemma 2 27B,10
cartographer,9,curator,0.371128298251,gemma,Gemma 2 27B,10
cartographer,10,geographer,0.374451177996,gemma,Gemma 2 27B,10
caveman,1,infant,1.84963796633,gemma,Gemma 2 27B,10
caveman,2,toddler,2.13460689608,gemma,Gemma 2 27B,10
caveman,3,fool,2.46947829301,gemma,Gemma 2 27B,10
caveman,4,provincial,2.66539707962,gemma,Gemma 2 27B,10
caveman,5,grandparent,2.80740856936,gemma,Gemma 2 27B,10
caveman,6,surfer,2.92202263112,gemma,Gemma 2 27B,10
caveman,7,elder,3.35588779927,gemma,Gemma 2 27B,10
caveman,8,widow,3.40519393419,gemma,Gemma 2 27B,10
caveman,9,pirate,3.48645093059,gemma,Gemma 2 27B,10
caveman,10,shaman,3.50149788421,gemma,Gemma 2 27B,10
celebrity,1,veteran,0.0583702355133,gemma,Gemma 2 27B,10
celebrity,2,graduate,0.416058300166,gemma,Gemma 2 27B,10
celebrity,3,addict,0.481295564373,gemma,Gemma 2 27B,10
celebrity,4,divorcee,0.645280091986,gemma,Gemma 2 27B,10
celebrity,5,influencer,0.660759514146,gemma,Gemma 2 27B,10
celebrity,6,mechanic,0.729943170139,gemma,Gemma 2 27B,10
celebrity,7,bartender,0.752681179408,gemma,Gemma 2 27B,10
celebrity,8,auctioneer,0.756413862524,gemma,Gemma 2 27B,10
celebrity,9,soldier,0.785731603653,gemma,Gemma 2 27B,10
celebrity,10,retiree,0.816021172815,gemma,Gemma 2 27B,10
chameleon,1,blogger,0.298774772224,gemma,Gemma 2 27B,10
chameleon,2,chef,0.489672327509,gemma,Gemma 2 27B,10
chameleon,3,expatriate,0.491791745238,gemma,Gemma 2 27B,10
chameleon,4,builder,0.534019112421,gemma,Gemma 2 27B,10
chameleon,5,survivor,0.566267043868,gemma,Gemma 2 27B,10
chameleon,6,musician,0.606674371509,gemma,Gemma 2 27B,10
chameleon,7,witness,0.620441258919,gemma,Gemma 2 27B,10
chameleon,8,photographer,0.62075880927,gemma,Gemma 2 27B,10
chameleon,9,playwright,0.626831066957,gemma,Gemma 2 27B,10
chameleon,10,merchant,0.631018604828,gemma,Gemma 2 27B,10
chef,1,builder,0.13618247741,gemma,Gemma 2 27B,10
chef,2,expatriate,0.188277090074,gemma,Gemma 2 27B,10
chef,3,blogger,0.227602931921,gemma,Gemma 2 27B,10
chef,4,podcaster,0.230692537983,gemma,Gemma 2 27B,10
chef,5,presenter,0.371346111104,gemma,Gemma 2 27B,10
chef,6,chameleon,0.489672327509,gemma,Gemma 2 27B,10
chef,7,merchant,0.567189400617,gemma,Gemma 2 27B,10
chef,8,activist,0.58371080982,gemma,Gemma 2 27B,10
chef,9,paramedic,0.597825180298,gemma,Gemma 2 27B,10
chef,10,tulpa,0.60333282046,gemma,Gemma 2 27B,10
chemist,1,detective,0.18703457516,gemma,Gemma 2 27B,10
chemist,2,technologist,0.225266967478,gemma,Gemma 2 27B,10
chemist,3,programmer,0.330452386702,gemma,Gemma 2 27B,10
chemist,4,physicist,0.344220542702,gemma,Gemma 2 27B,10
chemist,5,economist,0.365945298104,gemma,Gemma 2 27B,10
chemist,6,reporter,0.384890606516,gemma,Gemma 2 27B,10
chemist,7,mathematician,0.386174451873,gemma,Gemma 2 27B,10
chemist,8,linguist,0.402310454728,gemma,Gemma 2 27B,10
chemist,9,statistician,0.407506670301,gemma,Gemma 2 27B,10
chemist,10,journalist,0.410792295615,gemma,Gemma 2 27B,10
chimera,1,homunculus,0.264397705026,gemma,Gemma 2 27B,10
chimera,2,martyr,0.365000028046,gemma,Gemma 2 27B,10
chimera,3,revenant,0.398965286897,gemma,Gemma 2 27B,10
chimera,4,ascetic,0.481479154594,gemma,Gemma 2 27B,10
chimera,5,virtuoso,0.581372618592,gemma,Gemma 2 27B,10
chimera,6,flaneur,0.597890195156,gemma,Gemma 2 27B,10
chimera,7,predator,0.602776875735,gemma,Gemma 2 27B,10
chimera,8,ancient,0.652813104335,gemma,Gemma 2 27B,10
chimera,9,crystalline,0.706297544676,gemma,Gemma 2 27B,10
chimera,10,genie,0.745255576445,gemma,Gemma 2 27B,10
coach,1,collaborator,0.111624362873,gemma,Gemma 2 27B,10
coach,2,instructor,0.171575766105,gemma,Gemma 2 27B,10
coach,3,assistant,0.247263808054,gemma,Gemma 2 27B,10
coach,4,facilitator,0.269495277409,gemma,Gemma 2 27B,10
coach,5,mentor,0.302804239469,gemma,Gemma 2 27B,10
coach,6,moderator,0.319427776458,gemma,Gemma 2 27B,10
coach,7,vegan,0.328768817784,gemma,Gemma 2 27B,10
