model,model_label,trait,pc1,pc2,pc3,landmark_type
qwen,Qwen 3 32B,absolutist,10.5039176024,14.582413786,1.04468937379,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,effusive,-65.0876866688,-32.8147437282,-5.83192762561,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,egalitarian,7.21925402521,-18.5976084467,9.71391236629,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,elitist,14.7560381609,31.9393684039,-9.75307742817,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,eloquent,13.0035186642,2.20541571182,-79.8716886825,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,emotional,-46.417388066,-66.4790936687,-8.60660211546,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,empathetic,-17.4230686726,-66.4796104042,9.14502641281,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,enigmatic,-37.8813313726,-12.3952765989,-53.1107318424,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,entertaining,-75.8023410473,-26.6262325168,3.45171489203,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,environmental,12.2458892858,-17.6344712602,-3.59640811497,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,epicurean,9.00778547424,-0.167313743733,-43.1283630647,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,erudite,52.0557065716,46.8486885482,-52.6213977169,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,esoteric,15.412803143,59.4496130621,-54.5441909247,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,essentialist,18.9096707928,15.6222327232,4.941012573,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,ethereal,-27.2311300052,-29.604609015,-47.4160479829,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,evil,-39.5557487972,30.2045131456,3.65754138693,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,existentialist,-8.99761577989,-16.0557414771,11.7550112051,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,experiential,-16.8294204422,-26.4693265259,40.343997511,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,exploratory,19.5958805706,-14.6976679198,-4.63082700924,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,extroverted,-38.0585231325,-25.0552256997,19.1930053192,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,factual,58.5375552247,11.9222209887,29.261753216,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,fatalistic,1.30280183129,9.98807245463,-15.1206850159,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,flexible,18.7104315025,-39.8647668192,31.4793080466,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,flippant,-94.5568720114,13.8016724602,43.6231287606,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,flirty,-75.9880494678,-25.7402968864,-10.2398659077,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,forgiving,14.0937139705,-50.3741427216,10.3692889453,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,formal,96.8171456689,31.3574746003,-19.9314036558,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,formalist,53.3191005236,30.2992241124,10.7214092077,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,fundamentalist,11.9286041339,19.3312260129,10.8654797265,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,futuristic,3.51755117661,4.2599177513,-8.69639487139,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,generalist,10.4810585968,-25.0408086018,-8.89155366556,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,generous,25.9261836832,-19.9990646325,-25.1490387034,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,goofy,-85.2077162381,-1.25258803244,19.2326505809,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,grandiose,-19.4155418018,23.0051432756,-48.7704228219,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,gregarious,-22.6165718485,-52.3705765574,19.2228933342,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,grounded,12.3744930631,-7.2322694728,73.4758483819,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,hedonistic,-46.4793827566,-17.2834113869,18.1932427112,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,historical,7.32877655012,15.7978408722,-16.8816926626,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,holistic,16.43435518,-11.0185995119,-14.6047025129,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,hostile,-72.371215496,51.4826337212,18.9880912301,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,humanistic,9.92500927919,-50.3487357428,5.88884025918,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,humble,9.46015975486,-18.7964917163,23.0271052579,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,iconoclastic,-31.1200902285,29.682224813,-7.58834031873,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,idealistic,23.3115010625,-12.8052304583,-18.697067799,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,impatient,-61.5598729755,15.3350288982,45.4200457697,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,improvisational,-33.0454466337,-27.1424287393,-2.80591289929,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,impulsive,-43.038147948,0.593139849579,36.8548409447,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,inclusive,9.83156077045,-16.4762274352,5.34657597603,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,independent,9.66095006915,-0.652296847982,2.07859384644,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,individualistic,-17.3843350923,1.36212646061,-1.82244835867,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,innovative,-21.6973181312,4.00699068152,-11.36972841,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,inquisitive,4.25167229102,-16.130275477,11.4075315762,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,inspirational,32.0885492703,-46.8116192486,4.82207647404,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,interdisciplinary,6.90959964043,-7.57642753372,-7.62261079556,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,introspective,9.21619195836,-3.90619583098,-18.6788349349,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,introverted,62.7049577825,21.7255670355,-25.6976404924,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,intuitive,-16.1754822638,-39.128776499,-16.5317435999,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,ironic,-72.1187790419,18.2906600553,0.0958865261615,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,irreverent,-89.719503382,10.1141684369,31.7515582948,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,judgmental,-39.651558792,41.2463417548,8.06708351655,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,libertarian,0.613891104509,2.40206789418,7.41206094681,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,literal,29.4993829227,12.9102395295,49.0109203449,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,manic,-70.2606261062,-4.25542414755,1.68262226375,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,manipulative,-21.3504083434,5.09148988702,5.22502837228,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,materialist,23.0625198994,31.557979014,38.4232656252,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,meditative,59.2465099995,-55.5799315308,-46.3516472392,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,melancholic,-15.8012195526,36.8845384928,-22.9273798981,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,melodramatic,-56.0695107375,-1.11721695064,-56.5909581248,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,mercurial,-58.7973270249,4.28380075485,-4.70661377525,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,metaphorical,-37.3249791393,-34.6075151651,-55.8112973675,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,methodical,86.0045233021,19.9721434926,19.8435136024,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,meticulous,83.5009935858,31.5537116289,-30.3650415904,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,militant,-39.9851642757,43.7125878825,-5.36561426929,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,misanthropic,-43.5158418408,50.3939069387,-4.95924552914,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,mischievous,-68.8847650194,-2.51775100061,5.93861910935,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,moderate,70.9909472917,-36.2985431495,34.5240676609,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,mystical,-18.2004834221,-44.7804829371,-40.3778819273,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,naive,-5.53517662828,-63.3791259598,40.7996746953,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,narrative,-44.2300815245,-29.3858018558,-25.6742924359,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,neurotic,-62.7987585431,2.02987838496,29.573757241,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,nihilistic,-17.9933159183,42.0041073099,-16.498532686,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,nonchalant,-70.0201089573,19.3924617893,52.1975634989,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,nostalgic,-3.67817819519,-21.0526664341,-19.1557586523,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,nurturing,33.5844497813,-74.4915491118,-1.41160965973,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,obsessive,-11.109722965,16.3733273246,-12.202338328,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,open_ended,13.7842918898,-30.1808046214,4.62955352579,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,optimistic,15.9546246062,-54.0969782738,23.6753249128,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,pacifist,11.5984683428,-18.2537058755,6.8770276701,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,paradoxical,-9.10140258501,-11.4194076596,-25.3080478443,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,paranoid,-0.947590916261,27.2703863784,-5.420537914,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,passionate,-56.8587462498,-21.1787342803,-11.3221481424,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,passive_aggressive,-58.8652596908,16.6962968464,8.18789290847,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,patient,87.031745862,-28.7481558629,-6.55833946728,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,pedantic,38.1369944574,42.707558797,-21.2351838091,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,pensive,64.5939765101,-3.31795556753,-54.3145319641,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,perfectionist,58.1161790564,30.666851525,-25.6232913031,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,pessimistic,1.15752441673,36.5339965854,6.04304099444,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,petty,-33.2687418476,17.8919442001,7.38280209404,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,philosophical,5.39126504126,1.87241748895,-59.1078108345,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,playful,-70.8290193513,-28.6431738216,7.15503562251,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,pluralist,20.0375819145,-19.5837161291,15.7839546286,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,poetic,-49.1217476137,-31.8050493055,-62.0541676507,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,practical,-13.2497564255,-22.3501218504,66.0365019576,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,prescriptive,14.4011434629,32.9501449368,25.6347907396,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,principled,22.995169991,-1.67388753711,3.96859457244,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,proactive,18.8928557111,-1.50003612589,-6.56513985232,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,problem_solving,17.5404408703,8.75919852988,17.2699941898,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,progressive,-7.67741956356,-0.0526683345427,3.1826445726,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,provocative,-20.5390732511,18.2859554825,-17.3976114371,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,qualitative,-6.25604917796,-42.570868848,-24.3901457482,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,quantitative,28.2857405581,42.5262564292,34.5215335729,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,radical,-17.1659793054,21.906619196,-12.9109823148,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,rationalist,44.1704878454,46.1639043125,29.2063532451,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,reactive,-44.7816414307,-19.6634669799,34.854525659,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,rebellious,-31.4266990676,7.63393815348,-5.16881172438,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,reductionist,11.8688793206,5.21442902471,42.6688920302,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,regulatory,53.6036091726,13.8940480717,25.2803034074,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,relativist,7.25125754767,-0.245587915218,-5.93934734228,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,reserved,80.3615089056,36.4663529775,30.210219273,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,resilient,70.8735247353,-10.9104264983,4.93745377711,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,reverent,72.5730966788,-21.7225340266,-25.169691487,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,rhetorical,-34.5574700339,-14.8723277344,-51.7472332184,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,risk_taking,-24.8819194448,-1.75731803112,-9.25803385957,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,ritualistic,77.7903091154,19.2748501833,-32.8557056374,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,romantic,-42.8765936546,-51.722124904,-49.8074134173,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,sarcastic,-65.5319957022,36.0227130442,8.83346901665,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,sardonic,-72.8858400489,38.9547939585,12.0110414803,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,sassy,-85.0355875517,22.7180392351,19.1177092809,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,savage,-56.6731139556,51.2714392875,15.2867499196,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,secular,28.5400112066,22.1813511571,39.8812754475,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,serene,87.3722601704,-48.4927437258,-14.4542668173,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,serious,112.398755969,28.0001807564,-13.3726775358,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,skeptical,10.464385866,24.856042915,0.346109912705,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,socratic,-2.33147264044,-24.5726682907,13.9574486805,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,solemn,103.550104045,9.16803477741,-23.7605975348,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,specialized,28.7802911033,49.2910882579,-32.2955499347,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,speculative,-8.12374707401,-14.8722657306,-14.5660156988,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,spiritual,-8.23987525254,-43.3426604761,-45.3712846053,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,spontaneous,-51.2983300855,-14.7889446722,-11.1722746589,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,stoic,75.7388005552,41.3726302058,6.63437476155,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,strategic,56.8060246334,10.3012611584,-24.964137255,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,stream_of_consciousness,-26.9760148861,-16.5799651943,2.77937311589,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,structuralist,53.7358920885,37.8471560615,-0.958976464147,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,submissive,10.1761953389,-26.4596889818,30.9672043619,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,subversive,-34.1891112332,6.70766450915,-8.52280886128,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,supportive,41.1526420028,-58.6060152234,3.56230180658,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,sycophantic,-19.2779877353,-28.1411982927,10.3172697542,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,systems_thinker,12.2795249171,-14.9198082774,-8.69893545471,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,tactful,60.2082276263,-49.1467693721,7.84272672258,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,technical,51.1291028452,61.4109397764,-24.3680036381,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,temperamental,-74.4153292846,1.56676912401,4.14064661192,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,theatrical,-45.0502361445,0.234349418364,-62.0261915237,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,theoretical,36.4325969702,23.1228305356,-36.5590654563,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,traditional,47.5544350544,-15.126971489,30.8348665727,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,transparent,44.6041151915,7.16270267324,32.5584948135,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,understated,27.1413384708,-8.44506376662,58.2410051299,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,universalist,10.9487901963,7.60838146553,10.4409116141,trait-direction landmark; excluded from occupancy density
qwen,Qwen 3 32B,urgent,-16.5140459492,23.754933149,18.8053268091,trait-direction landmark; excluded from occupancy density
