model,model_label,opaque_role_id,role,native_pc1,native_pc2,native_pc3,kde_density,log_kde_density,within_model_density_percentile,density_rank_1_is_densest,scott_factor
qwen,Qwen 3 32B,R060,cynic,-21.4068352364,40.7120285101,36.2814528888,7.55150218569e-07,-14.0963491425,7.66423357664,254,0.448253718429
qwen,Qwen 3 32B,R061,daredevil,-29.8461470377,43.7473712525,26.4479629644,1.04425327873e-06,-13.7722084938,13.1386861314,239,0.448253718429
qwen,Qwen 3 32B,R062,debugger,37.8366557821,0.422488734935,10.8673754546,6.12293376993e-06,-12.0034692021,76.6423357664,65,0.448253718429
qwen,Qwen 3 32B,R063,demon,-51.935277584,-11.4757209398,29.9191997202,6.75960754274e-07,-14.2071308184,6.20437956204,258,0.448253718429
qwen,Qwen 3 32B,R064,designer,26.6037959477,-2.52674755097,-5.17631958539,8.6871995883e-06,-11.6536599274,95.6204379562,13,0.448253718429
qwen,Qwen 3 32B,R065,destroyer,-3.11825999721,-3.20458750293,23.3218527175,1.22953365778e-06,-13.6088756005,19.7080291971,221,0.448253718429
qwen,Qwen 3 32B,R066,detective,21.4095678184,-2.26166954869,11.6407137131,4.99092205562e-06,-12.2078898846,69.7080291971,84,0.448253718429
qwen,Qwen 3 32B,R067,devils_advocate,6.51932202731,7.66009650079,21.460076418,1.33185535071e-06,-13.5289375873,22.2627737226,214,0.448253718429
qwen,Qwen 3 32B,R068,dilettante,-3.35025713752,18.0023890833,1.50714361421,1.81272161466e-06,-13.2206811875,40.5109489051,164,0.448253718429
qwen,Qwen 3 32B,R069,dispatcher,37.5165183837,-3.00926795395,5.13219287718,9.37924454703e-06,-11.5770113369,98.1751824818,6,0.448253718429
qwen,Qwen 3 32B,R070,divorcee,-6.76423820295,31.7563347034,-25.8975048634,1.63875240413e-06,-13.3215753348,36.8613138686,174,0.448253718429
qwen,Qwen 3 32B,R071,doctor,34.779093763,-0.0453341536794,-11.4660245572,5.75865264944e-06,-12.0648070256,74.4525547445,71,0.448253718429
qwen,Qwen 3 32B,R072,dreamer,-45.5620773049,-22.8877573113,-7.6934699612,2.9972599358e-06,-12.7178120414,56.9343065693,119,0.448253718429
qwen,Qwen 3 32B,R073,echo,-49.8922121298,-33.3541033318,0.20762041051,2.51031701443e-06,-12.8951015122,51.8248175182,133,0.448253718429
qwen,Qwen 3 32B,R074,economist,42.5913387139,-10.4924690407,16.6700724923,4.49704994498e-06,-12.3120889439,66.4233576642,93,0.448253718429
qwen,Qwen 3 32B,R075,ecosystem,12.4781760495,-15.4060813115,-15.3488415282,2.24549085226e-06,-13.0065864182,48.5401459854,142,0.448253718429
qwen,Qwen 3 32B,R076,editor,34.6198141863,-2.11473983116,-5.09515886491,8.49762835803e-06,-11.6757234501,93.795620438,18,0.448253718429
qwen,Qwen 3 32B,R077,egregore,-23.83673651,-31.5663495269,5.0292044425,1.45305811036e-06,-13.4418401808,28.8321167883,196,0.448253718429
qwen,Qwen 3 32B,R078,elder,-35.7058842122,-4.92958517974,-20.673806674,8.46734168646e-07,-13.981879042,9.48905109489,249,0.448253718429
qwen,Qwen 3 32B,R079,eldritch,-52.7168018655,-39.4813463618,15.7424666564,8.22630649121e-07,-14.010758523,9.12408759124,250,0.448253718429
qwen,Qwen 3 32B,R080,emissary,22.5217509067,-11.7568235047,-11.1992821019,4.25925824733e-06,-12.3664155332,65.3284671533,96,0.448253718429
qwen,Qwen 3 32B,R081,empath,-15.6307324638,3.87265377104,-36.8507009184,6.50636253309e-07,-14.2453151016,4.74452554745,262,0.448253718429
qwen,Qwen 3 32B,R082,engineer,40.5353113067,-7.18309412976,11.617733918,7.32665990309e-06,-11.8239908208,82.8467153285,48,0.448253718429
qwen,Qwen 3 32B,R083,entrepreneur,20.6812498398,16.2822686995,6.63828069846,2.20466331118e-06,-13.0249357541,47.8102189781,144,0.448253718429
qwen,Qwen 3 32B,R084,evaluator,45.0862291526,-10.2752034925,7.30469979884,7.60311009254e-06,-11.7869531717,84.6715328467,43,0.448253718429
qwen,Qwen 3 32B,R085,evangelist,-19.1415775881,5.67443704882,-2.21266481434,1.90694645209e-06,-13.1700073114,42.700729927,158,0.448253718429
qwen,Qwen 3 32B,R086,examiner,45.6224821132,-13.6369099009,10.5562595386,6.16548184864e-06,-11.9965442657,77.0072992701,64,0.448253718429
qwen,Qwen 3 32B,R087,exile,-46.9294422205,-4.67183311285,-7.73074368685,1.50592872873e-06,-13.4061007546,31.0218978102,190,0.448253718429
qwen,Qwen 3 32B,R088,expatriate,14.6287057133,14.1685702856,-10.601171688,3.86687493632e-06,-12.4630638871,62.4087591241,104,0.448253718429
qwen,Qwen 3 32B,R089,facilitator,32.4634012895,5.01173626367,-16.0507455106,4.06533280385e-06,-12.4130149477,63.8686131387,100,0.448253718429
qwen,Qwen 3 32B,R090,familiar,-40.9724940645,-28.2318498447,-1.70152088179,2.9039198663e-06,-12.7494490556,56.204379562,121,0.448253718429
qwen,Qwen 3 32B,R091,fixer,-12.5892808334,17.0112191241,25.8017486957,2.04038578315e-06,-13.1023716586,44.1605839416,154,0.448253718429
qwen,Qwen 3 32B,R092,flaneur,-28.5162372083,-8.30586306752,9.19804327858,1.68174623538e-06,-13.2956778786,38.6861313869,169,0.448253718429
qwen,Qwen 3 32B,R093,fool,-37.4067366186,47.9213558893,7.51525412791,4.50400295265e-07,-14.6131291046,1.09489051095,272,0.448253718429
qwen,Qwen 3 32B,R094,forecaster,38.6858167234,-8.50560843221,10.4222992844,8.17146132359e-06,-11.7148628005,89.4160583942,30,0.448253718429
qwen,Qwen 3 32B,R095,futurist,32.1773792966,-10.5781350716,9.81585980791,8.32291842869e-06,-11.696497592,91.6058394161,24,0.448253718429
qwen,Qwen 3 32B,R096,gamer,-1.51556470893,24.9500257112,24.2176345624,1.58640385466e-06,-13.3540408299,35.0364963504,179,0.448253718429
qwen,Qwen 3 32B,R097,generalist,34.4612119685,-6.41567640341,2.90868014539,1.01583886171e-05,-11.4972107291,100,1,0.448253718429
qwen,Qwen 3 32B,R098,genie,-37.8755307639,1.54792877482,22.3546221342,7.66310561049e-07,-14.0816783172,8.39416058394,252,0.448253718429
qwen,Qwen 3 32B,R099,geographer,36.7779017111,-17.7942746273,3.41194167032,6.6421713136e-06,-11.9220716429,80.2919708029,55,0.448253718429
qwen,Qwen 3 32B,R100,ghost,-52.9124863305,-21.0370963896,0.569494329869,2.27390888645e-06,-12.994010231,49.2700729927,140,0.448253718429
qwen,Qwen 3 32B,R101,golem,-46.7145819181,-28.7394834247,-2.94501784309,3.02804396062e-06,-12.7075937045,57.6642335766,117,0.448253718429
qwen,Qwen 3 32B,R102,gossip,-24.6951310368,57.2201686825,28.5845012013,6.72691922852e-07,-14.211978379,5.83941605839,259,0.448253718429
qwen,Qwen 3 32B,R103,grader,42.7117615559,-6.18478099198,1.88608290506,8.5812528493e-06,-11.6659306354,94.5255474453,16,0.448253718429
qwen,Qwen 3 32B,R104,graduate,9.10015021249,34.3937989303,-14.3962078274,1.08238054564e-06,-13.7363477336,14.2335766423,236,0.448253718429
qwen,Qwen 3 32B,R105,grandparent,-30.3089276973,34.3980358462,-30.1425237459,6.06853464965e-07,-14.3149784837,3.6496350365,265,0.448253718429
qwen,Qwen 3 32B,R106,guardian,5.55576908925,-6.8612646144,-13.0040522802,3.60957798308e-06,-12.5319196946,60.9489051095,108,0.448253718429
qwen,Qwen 3 32B,R107,guide,13.4421298094,2.16208784603,-9.33653387736,5.88971059695e-06,-12.0423036962,75.5474452555,68,0.448253718429
qwen,Qwen 3 32B,R108,guru,-35.0144027323,-24.845768529,-17.6269641879,2.14884241183e-06,-13.0505812739,47.0802919708,146,0.448253718429
qwen,Qwen 3 32B,R109,hacker,-2.56423604721,14.2937771924,36.3636300883,8.8776097331e-07,-13.9345633044,9.85401459854,248,0.448253718429
qwen,Qwen 3 32B,R110,healer,-1.76088193218,-11.5606479615,-34.3454296961,5.19703494851e-07,-14.4700073902,2.1897810219,269,0.448253718429
qwen,Qwen 3 32B,R111,hedonist,-17.8404597641,12.5750929644,10.7476910539,1.37594459716e-06,-13.496370083,24.4525547445,208,0.448253718429
qwen,Qwen 3 32B,R112,hermit,-48.6115077183,-23.2365265541,-11.6543667586,2.6080562512e-06,-12.8569053454,54.0145985401,127,0.448253718429
qwen,Qwen 3 32B,R113,historian,28.8543063341,-18.9169756328,9.28432201309,5.77622580612e-06,-12.0617600633,74.8175182482,70,0.448253718429
qwen,Qwen 3 32B,R114,hive,2.429805286,-32.6808563183,4.7083528165,1.43457367592e-06,-13.4546428428,27.0072992701,201,0.448253718429
qwen,Qwen 3 32B,R115,hoarder,-26.1444846325,39.078366623,4.21029543037,9.15642492599e-07,-13.9036398404,10.5839416058,246,0.448253718429
qwen,Qwen 3 32B,R116,homunculus,-33.9513279666,-28.6979653752,15.2802727738,1.19019727233e-06,-13.6413914895,18.6131386861,224,0.448253718429
qwen,Qwen 3 32B,R117,hybrid,9.09269487763,-5.68914898497,-11.4187758449,4.49483876557e-06,-12.3125807604,66.0583941606,94,0.448253718429
qwen,Qwen 3 32B,R118,idealist,-10.69516568,-11.6567215184,-19.8188936459,1.22309631146e-06,-13.6141249542,18.9781021898,223,0.448253718429
qwen,Qwen 3 32B,R119,immigrant,-4.76590850213,13.8422485228,-28.7802663259,1.47301262174e-06,-13.4282008518,30.2919708029,192,0.448253718429
qwen,Qwen 3 32B,R120,improviser,-15.0195404547,34.4442079484,-0.66276091755,1.3383944259e-06,-13.524039852,22.6277372263,213,0.448253718429
qwen,Qwen 3 32B,R121,infant,-42.8903906934,44.7001549724,-19.499290547,4.16625817426e-07,-14.6910773383,0.729927007299,273,0.448253718429
qwen,Qwen 3 32B,R122,influencer,3.22931054875,40.0025555563,-2.21136921247,7.30183539716e-07,-14.1299699101,7.29927007299,255,0.448253718429
qwen,Qwen 3 32B,R123,instructor,34.5488946174,3.3260614202,-4.3557354262,8.00319434086e-06,-11.7356698034,87.5912408759,35,0.448253718429
qwen,Qwen 3 32B,R124,interpreter,24.507228725,-0.440644930624,-5.84948498734,8.35134459592e-06,-11.6930880026,91.9708029197,23,0.448253718429
qwen,Qwen 3 32B,R125,interviewer,26.2219346523,7.46018113285,-8.45765022904,6.60381975572e-06,-11.9278623255,79.197080292,58,0.448253718429
qwen,Qwen 3 32B,R126,jester,-41.146591281,19.9649613024,30.9587635686,1.183717054e-06,-13.6468510247,17.8832116788,226,0.448253718429
qwen,Qwen 3 32B,R127,journalist,30.5912911247,-2.69162501056,3.08773699476,9.73550560064e-06,-11.5397309841,98.9051094891,4,0.448253718429
qwen,Qwen 3 32B,R128,judge,34.4658219392,-15.5836276955,4.7926563828,7.94509697704e-06,-11.742955552,87.2262773723,36,0.448253718429
qwen,Qwen 3 32B,R129,lawyer,42.9934783874,-11.8614881174,14.4659970679,5.46972310034e-06,-12.1162825643,72.9927007299,75,0.448253718429
qwen,Qwen 3 32B,R130,leviathan,-60.938872717,-33.5033326792,12.444977138,1.11886910191e-06,-13.7031921132,16.0583941606,231,0.448253718429
qwen,Qwen 3 32B,R131,librarian,33.1216294452,-7.58592059026,0.480897436056,9.80059490031e-06,-11.53306747,99.2700729927,3,0.448253718429
qwen,Qwen 3 32B,R132,linguist,33.9279891998,-16.1594475864,7.52647521065,7.57467192492e-06,-11.7907005177,84.3065693431,44,0.448253718429
qwen,Qwen 3 32B,R133,loner,-17.8466028881,19.2185781725,-4.3397085953,1.67821585228e-06,-13.2977793216,37.9562043796,171,0.448253718429
qwen,Qwen 3 32B,R134,luddite,-29.2402545516,8.51415213369,9.68072343458,1.11861275418e-06,-13.7034212527,15.6934306569,232,0.448253718429
qwen,Qwen 3 32B,R135,marketer,34.0810180114,6.43173307057,3.58870006732,6.43831755591e-06,-11.9532433011,78.102189781,61,0.448253718429
qwen,Qwen 3 32B,R136,martyr,-31.9102920419,-21.8595311082,-10.2414494132,2.53381569309e-06,-12.8857842123,52.9197080292,130,0.448253718429
qwen,Qwen 3 32B,R137,mathematician,31.9566595795,-14.5103292816,15.9697079215,4.6519416581e-06,-12.2782258646,67.1532846715,91,0.448253718429
qwen,Qwen 3 32B,R138,maverick,-10.5386741693,20.109883057,25.5859254375,2.1049577343e-06,-13.0712151697,45.6204379562,150,0.448253718429
qwen,Qwen 3 32B,R139,mechanic,11.6010842804,22.1152072248,6.15720023495,1.36001558744e-06,-13.5080143969,23.7226277372,210,0.448253718429
qwen,Qwen 3 32B,R140,mediator,28.5362532778,0.21402154991,-16.472154856,4.17422752682e-06,-12.3865812403,64.598540146,98,0.448253718429
qwen,Qwen 3 32B,R141,mentor,26.1261693791,8.14166738168,-9.38935680987,6.24117596953e-06,-11.9843419367,77.3722627737,63,0.448253718429
qwen,Qwen 3 32B,R142,merchant,-2.02762891686,-7.9807963138,2.93099330819,3.32107595481e-06,-12.6152217448,59.4890510949,112,0.448253718429
qwen,Qwen 3 32B,R143,minimalist,-3.06321228203,9.20342670013,-21.949754205,1.68161611507e-06,-13.2957552537,38.3211678832,170,0.448253718429
qwen,Qwen 3 32B,R144,moderator,31.4511291708,4.18708649297,-14.4186408958,4.89667167543e-06,-12.2269548336,68.6131386861,87,0.448253718429
qwen,Qwen 3 32B,R145,musician,-13.6351829383,2.88823058669,-16.0465898135,1.77489566423e-06,-13.2417689175,39.7810218978,166,0.448253718429
qwen,Qwen 3 32B,R146,mycorrhizal,-31.4203052736,-26.6438302972,-9.40632559503,2.55884028456e-06,-12.875956416,53.2846715328,129,0.448253718429
qwen,Qwen 3 32B,R147,mystic,-42.1687203492,-36.1612162904,-18.9492819304,1.64942876015e-06,-13.315081536,37.2262773723,173,0.448253718429
qwen,Qwen 3 32B,R148,narcissist,-21.9947570674,34.6721005388,25.5567280768,1.5190583951e-06,-13.397419892,31.7518248175,188,0.448253718429
qwen,Qwen 3 32B,R149,narrator,-33.8315363633,-8.19143079952,-2.3789079946,1.88799596911e-06,-13.1799946252,42.3357664234,159,0.448253718429
qwen,Qwen 3 32B,R150,naturalist,8.61510878853,-15.779512992,-9.75677419796,3.16761172977e-06,-12.6625326516,58.3941605839,115,0.448253718429
qwen,Qwen 3 32B,R151,navigator,13.917627303,-2.6363153765,-2.79696295273,6.61672629526e-06,-11.9259098277,79.5620437956,57,0.448253718429
qwen,Qwen 3 32B,R152,negotiator,31.2233200958,-1.41231582929,-5.68319746015,8.62374252257e-06,-11.6609914002,95.2554744526,14,0.448253718429
qwen,Qwen 3 32B,R153,networker,21.9693807265,11.6723455354,-15.009154411,4.02937279606e-06,-12.4218998279,63.1386861314,102,0.448253718429
qwen,Qwen 3 32B,R154,newlywed,-3.47996772482,36.0089909667,-29.9697274523,1.22453415948e-06,-13.6129500643,19.3430656934,222,0.448253718429
qwen,Qwen 3 32B,R155,nomad,-15.4263027515,9.14586687842,-9.44552224384,2.04607811349e-06,-13.0995857125,44.8905109489,152,0.448253718429
qwen,Qwen 3 32B,R156,novelist,-15.5091115258,-8.06306755879,2.91120907379,2.27807112502e-06,-12.9921814709,49.6350364964,139,0.448253718429
qwen,Qwen 3 32B,R157,nutritionist,35.1305510757,2.03632688954,-12.0374056454,5.46538642786e-06,-12.1170757293,72.6277372263,76,0.448253718429
qwen,Qwen 3 32B,R158,observer,34.0895035672,-12.4056352807,1.73119351601,8.77007558492e-06,-11.644165133,96.3503649635,11,0.448253718429
qwen,Qwen 3 32B,R159,optimist,0.231516610039,22.2078815932,-31.2709528631,1.50940142483e-06,-13.4037973931,31.3868613139,189,0.448253718429
qwen,Qwen 3 32B,R160,oracle,-45.7049828995,-34.5487599494,-2.55997906989,2.58025981605e-06,-12.8676204602,53.6496350365,128,0.448253718429
qwen,Qwen 3 32B,R161,organizer,37.569799066,-2.05255769937,0.127009038656,9.39042648652e-06,-11.5758198466,98.5401459854,5,0.448253718429
qwen,Qwen 3 32B,R162,orphan,-23.4377249638,36.5425652827,-18.765496061,1.14045973031e-06,-13.6840791046,16.7883211679,229,0.448253718429
qwen,Qwen 3 32B,R163,pacifist,12.6309863816,-12.3796096815,-28.4964811317,7.63550930734e-07,-14.0852860076,8.02919708029,253,0.448253718429
qwen,Qwen 3 32B,R164,paramedic,26.0687932836,7.00401777516,-5.83332782543,7.0528374057e-06,-11.8620805532,81.7518248175,51,0.448253718429
qwen,Qwen 3 32B,R165,parasite,-18.3218955804,-13.1577454017,23.0022904175,1.26117719732e-06,-13.5834649896,20.4379562044,219,0.448253718429
qwen,Qwen 3 32B,R166,parent,7.07128058517,28.5714315038,-28.6848360891,1.39484100028e-06,-13.4827301275,24.8175182482,207,0.448253718429
qwen,Qwen 3 32B,R167,patient,0.41189244768,29.1882106188,-27.3290475849,1.66102837005e-06,-13.3080736474,37.5912408759,172,0.448253718429
qwen,Qwen 3 32B,R168,peacekeeper,24.3120963555,-2.64013816129,-18.9093502895,3.05337336642e-06,-12.6992635568,58.0291970803,116,0.448253718429
qwen,Qwen 3 32B,R169,perfectionist,19.9581350142,-9.86684635248,11.9032553346,5.09003434519e-06,-12.1882259798,70.4379562044,82,0.448253718429
qwen,Qwen 3 32B,R170,pharmacist,37.8759185843,-4.24131852741,-3.8068299409,8.30844052779e-06,-11.6982386288,91.2408759124,25,0.448253718429
qwen,Qwen 3 32B,R171,philosopher,5.32079473116,-30.9439002465,3.95525064735,1.5759046521e-06,-13.3606810683,33.5766423358,183,0.448253718429
qwen,Qwen 3 32B,R172,photographer,-8.98814906921,4.75618045727,-12.0841177428,2.47043983193e-06,-12.9111143536,51.4598540146,134,0.448253718429
qwen,Qwen 3 32B,R173,physicist,29.1602105723,-17.2778892669,11.4713277887,5.74322847385e-06,-12.0674890539,74.0875912409,72,0.448253718429
qwen,Qwen 3 32B,R174,pilgrim,-40.7406616683,-28.5020175667,-27.9875706246,1.1542208926e-06,-13.6720849935,17.5182481752,227,0.448253718429
qwen,Qwen 3 32B,R175,pilot,26.581052394,1.99158764269,4.15248347355,7.6947244759e-06,-11.7749755969,85.401459854,41,0.448253718429
qwen,Qwen 3 32B,R176,pirate,-52.6536103024,20.271848783,24.6586916194,6.50893494953e-07,-14.2449198103,5.10948905109,261,0.448253718429
qwen,Qwen 3 32B,R177,planner,42.8594698084,-3.01449673148,3.62325018255,8.40965526032e-06,-11.6861300765,92.700729927,21,0.448253718429
qwen,Qwen 3 32B,R178,playwright,-9.81757782462,4.58562509196,4.30120558458,2.08070796395e-06,-13.0828023549,45.2554744526,151,0.448253718429
qwen,Qwen 3 32B,R179,podcaster,0.844643011644,21.1089760924,-9.12387913332,2.20971313611e-06,-13.0226478535,48.1751824818,143,0.448253718429
