model,model_label,source_model_label,opaque_role_id,role,legacy_qwen_cluster,native_pc1,native_pc2,native_pc3,display_aligned_x,display_aligned_y,display_aligned_z,consensus_family_id,membership_category
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R021,archivist,procedural_professional,26.864606386,-17.7406866789,-1.48385936813,0.89474448234,-0.826101981585,-0.0942333320432,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R022,artisan,grounded_social,-13.8022435455,-12.1746258274,-14.9883447585,-0.459693363035,-0.566916191191,-0.951843347653,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R023,ascetic,mythic_spiritual,-40.4395758419,-40.3508693228,-4.57867215286,-1.34686832305,-1.87895393846,-0.290771175871,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R024,assistant,procedural_professional,33.7028027033,3.44171801544,-5.15553408907,1.12249538761,0.160264939237,-0.327405120803,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R025,auctioneer,grounded_social,-9.9594540178,16.724854907,12.6366338151,-0.331706573381,0.778799379667,0.802496608363,MFamily_D,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R026,auditor,procedural_professional,48.1550162821,-12.2945988737,13.6091573051,1.60383645665,-0.572502782798,0.864257265011,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R027,avatar,mythic_spiritual,-38.0148888552,-35.416923328,-12.9824968005,-1.26611242916,-1.64920282245,-0.824460833706,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R028,bard,mythic_spiritual,-54.3479131289,-24.2595598248,-2.86485898898,-1.81009521227,-1.1296558474,-0.181934497409,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R029,bartender,grounded_social,-16.599115137,36.3250478949,-2.77827311625,-0.552845125186,1.69148999644,-0.176435812378,MFamily_C,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R030,biologist,procedural_professional,32.2386511242,-16.1580829121,4.34748105452,1.07373079646,-0.752407421082,0.276089253849,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R031,blogger,grounded_social,-0.321690285385,20.8484436839,-14.3913451213,-0.0107141196761,0.970815896363,-0.913930546583,MFamily_C,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R032,bohemian,grounded_social,-42.5514357917,2.697174331,-6.44525399465,-1.41720529395,0.125594972723,-0.409309516001,MFamily_B,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R033,builder,procedural_professional,14.4921607906,-0.142312499333,-2.43342407956,0.482671538835,-0.00662683693316,-0.15453597842,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R034,caregiver,grounded_social,1.34461182944,14.6168339748,-43.3705171475,0.0447832362772,0.680638564315,-2.75426932703,MFamily_C,majority
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R035,cartographer,procedural_professional,22.1600985036,-15.3138471381,2.3800074782,0.738057560914,-0.71309525361,0.151143726808,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R036,caveman,trickster_chaos,-54.9420889662,15.4893501193,0.402669014657,-1.8298846536,0.721267618253,0.0255717245022,MFamily_B,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R037,celebrity,grounded_social,-6.95038254018,33.261735219,-10.5104082799,-0.231487345789,1.54884564914,-0.667469447999,MFamily_C,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R038,chameleon,grounded_social,-0.639659238992,15.880443898,-5.60503873017,-0.0213042977977,0.739479052308,-0.355951168366,MFamily_C,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R039,chef,grounded_social,4.48130565682,12.2328024694,-8.70258856751,0.14925301538,0.569625209173,-0.552662830275,MFamily_C,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R040,chemist,procedural_professional,29.4183535795,-11.1713910982,8.46336675488,0.979798816574,-0.52020017547,0.537470913179,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R041,chimera,mythic_spiritual,-37.3141484939,-16.3630161041,9.31670044599,-1.24277378192,-0.761950214949,0.591662353949,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R042,coach,procedural_professional,24.8538603658,11.6992039337,-14.8399571362,0.8277751815,0.544777985632,-0.942419907411,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R043,collaborator,procedural_professional,25.7198822311,9.6709005101,-17.6725579317,0.856618644696,0.450329247099,-1.12230582992,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R044,collector,procedural_professional,11.7618076005,-12.9383803322,1.19749373731,0.391735218513,-0.602480717033,0.0760475199954,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R045,comedian,trickster_chaos,-24.0293182891,56.6036520243,31.2800279455,-0.800313231639,2.63577109211,1.98645594254,MFamily_D,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R046,competitor,combative_iconoclast,-5.72599215104,27.9173130406,25.6672245762,-0.190708168564,1.29998054984,1.63001167636,MFamily_D,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R047,composer,procedural_professional,1.77424233631,-17.5827662664,-4.90092773975,0.0590923804331,-0.8187483561,-0.311236199966,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R048,conservator,procedural_professional,23.523663493,-16.8206376777,-6.18463688913,0.783472045425,-0.783259541676,-0.392758878677,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R049,consultant,procedural_professional,41.0266140038,-2.69110102862,3.47137083136,1.36642003912,-0.125312167034,0.220451376474,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R050,contrarian,combative_iconoclast,-3.58669200538,13.9340905764,26.0834457629,-0.119457282774,0.64884635218,1.65644403924,MFamily_D,majority
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R051,coordinator,procedural_professional,39.3863140523,-2.15572574932,-3.19477140304,1.31178870338,-0.100382208733,-0.202885772662,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R052,coral_reef,mythic_spiritual,-32.6388410445,-19.9315833059,-10.8382056571,-1.08705940131,-0.92812193593,-0.688286406632,MFamily_B,majority
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R053,cosmopolitan,procedural_professional,8.79958467757,0.177255543323,-7.82535082618,0.293076314762,0.00825397337977,-0.496953349218,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R054,counselor,procedural_professional,10.8521531555,12.9700024942,-36.1673309576,0.36143854177,0.603953215317,-2.29682689644,MFamily_C,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R055,criminal,grounded_social,-37.5557041051,37.4339322442,26.99171875,-1.25081896029,1.74312562784,1.71412443121,MFamily_D,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R056,critic,procedural_professional,25.6233998672,-14.7712497735,6.80253287568,0.853405232168,-0.687828996094,0.431998714284,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R057,crystalline,mythic_spiritual,-10.3352044844,-44.008002697,8.55267283169,-0.344221205157,-2.04924977774,0.543142346315,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R058,curator,procedural_professional,20.1673904004,-8.79154175031,-4.62558961171,0.671689025502,-0.409381564118,-0.293750695746,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R059,cyborg,procedural_professional,16.71541533,-10.1732490743,10.1010601796,0.556718584358,-0.473721303555,0.641473564371,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R060,cynic,combative_iconoclast,-21.4068352364,40.7120285101,36.2814528888,-0.712969601597,1.89577145661,2.3040742745,MFamily_D,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R061,daredevil,combative_iconoclast,-29.8461470377,43.7473712525,26.4479629644,-0.994046776542,2.03711337306,1.67959291118,MFamily_D,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R062,debugger,procedural_professional,37.8366557821,0.422488734935,10.8673754546,1.26017625216,0.0196733524156,0.690138851192,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R063,demon,mythic_spiritual,-51.935277584,-11.4757209398,29.9191997202,-1.72974070006,-0.534371413016,1.90003577311,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R064,designer,procedural_professional,26.6037959477,-2.52674755097,-5.17631958539,0.886058008497,-0.117658983365,-0.328725115553,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R065,destroyer,combative_iconoclast,-3.11825999721,-3.20458750293,23.3218527175,-0.103855827512,-0.149222864608,1.48106750424,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R066,detective,procedural_professional,21.4095678184,-2.26166954869,11.6407137131,0.713060612149,-0.105315522995,0.739250136579,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R067,devils_advocate,combative_iconoclast,6.51932202731,7.66009650079,21.460076418,0.217130574285,0.356695375607,1.3628343428,MFamily_D,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R068,dilettante,grounded_social,-3.35025713752,18.0023890833,1.50714361421,-0.111582654335,0.838288255927,0.0957120113169,MFamily_C,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R069,dispatcher,procedural_professional,37.5165183837,-3.00926795395,5.13219287718,1.24951385247,-0.140127733773,0.325922823884,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R070,divorcee,grounded_social,-6.76423820295,31.7563347034,-25.8975048634,-0.225287678604,1.47874608809,-1.6446357568,MFamily_C,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R071,doctor,procedural_professional,34.779093763,-0.0453341536794,-11.4660245572,1.15834201321,-0.0021110025145,-0.7281564025,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R072,dreamer,mythic_spiritual,-45.5620773049,-22.8877573113,-7.6934699612,-1.51747681268,-1.06577732932,-0.488578179975,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R073,echo,mythic_spiritual,-49.8922121298,-33.3541033318,0.20762041051,-1.6616949779,-1.55314680627,0.0131850521032,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R074,economist,procedural_professional,42.5913387139,-10.4924690407,16.6700724923,1.41853428865,-0.488585905559,1.05864242265,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R075,ecosystem,procedural_professional,12.4781760495,-15.4060813115,-15.3488415282,0.415594370136,-0.7173901738,-0.974736899789,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R076,editor,editorial,34.6198141863,-2.11473983116,-5.09515886491,1.15303709564,-0.0984736834985,-0.323570957898,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R077,egregore,mythic_spiritual,-23.83673651,-31.5663495269,5.0292044425,-0.793899160956,-1.46989935438,0.319382484839,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R078,elder,mythic_spiritual,-35.7058842122,-4.92958517974,-20.673806674,-1.18920941654,-0.229548052964,-1.31290183609,MFamily_B,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R079,eldritch,mythic_spiritual,-52.7168018655,-39.4813463618,15.7424666564,-1.7557699122,-1.83846426328,0.999734287143,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R080,emissary,procedural_professional,22.5217509067,-11.7568235047,-11.1992821019,0.750102646838,-0.547461063386,-0.711216771361,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R081,empath,grounded_social,-15.6307324638,3.87265377104,-36.8507009184,-0.520592463777,0.180331630458,-2.34022469397,MFamily_C,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R082,engineer,procedural_professional,40.5353113067,-7.18309412976,11.617733918,1.35005685959,-0.334483574504,0.737790791637,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R083,entrepreneur,procedural_professional,20.6812498398,16.2822686995,6.63828069846,0.688803473097,0.758190180619,0.42156778647,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R084,evaluator,procedural_professional,45.0862291526,-10.2752034925,7.30469979884,1.50162835755,-0.478468850727,0.463889109983,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R085,evangelist,grounded_social,-19.1415775881,5.67443704882,-2.21266481434,-0.637523613194,0.264232370216,-0.140516535885,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R086,examiner,procedural_professional,45.6224821132,-13.6369099009,10.5562595386,1.51948863701,-0.635008018333,0.670381258224,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R087,exile,mythic_spiritual,-46.9294422205,-4.67183311285,-7.73074368685,-1.56301785638,-0.217545727627,-0.490945269095,MFamily_B,majority
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R088,expatriate,procedural_professional,14.6287057133,14.1685702856,-10.601171688,0.487219262873,0.659764991122,-0.673233429784,MFamily_C,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R089,facilitator,procedural_professional,32.4634012895,5.01173626367,-16.0507455106,1.08121625772,0.233373450168,-1.01931171089,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R090,familiar,mythic_spiritual,-40.9724940645,-28.2318498447,-1.70152088179,-1.36461753674,-1.31462707857,-0.108056050106,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R091,fixer,grounded_social,-12.5892808334,17.0112191241,25.8017486957,-0.419294792578,0.792134040917,1.63855470698,MFamily_D,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R092,flaneur,grounded_social,-28.5162372083,-8.30586306752,9.19804327858,-0.949753200647,-0.386765747181,0.584126963132,MFamily_B,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R093,fool,trickster_chaos,-37.4067366186,47.9213558893,7.51525412791,-1.24585749409,2.23147659259,0.477260482251,MFamily_C,majority
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R094,forecaster,procedural_professional,38.6858167234,-8.50560843221,10.4222992844,1.2884581505,-0.396066967848,0.66187403619,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R095,futurist,procedural_professional,32.1773792966,-10.5781350716,9.81585980791,1.07169009544,-0.492574977637,0.623361752763,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R096,gamer,combative_iconoclast,-1.51556470893,24.9500257112,24.2176345624,-0.05047694135,1.1618076602,1.53795463913,MFamily_D,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R097,generalist,procedural_professional,34.4612119685,-6.41567640341,2.90868014539,1.14775473798,-0.298748469324,0.184717384838,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R098,genie,trickster_chaos,-37.8755307639,1.54792877482,22.3546221342,-1.26147101058,0.0720799060025,1.41964297664,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R099,geographer,procedural_professional,36.7779017111,-17.7942746273,3.41194167032,1.22491370821,-0.828597325267,0.216677293844,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R100,ghost,mythic_spiritual,-52.9124863305,-21.0370963896,0.569494329869,-1.76228732001,-0.979600583047,0.0361660609058,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R101,golem,mythic_spiritual,-46.7145819181,-28.7394834247,-2.94501784309,-1.55586178392,-1.33826523385,-0.187025030971,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R102,gossip,trickster_chaos,-24.6951310368,57.2201686825,28.5845012013,-0.822488590314,2.6644794303,1.81527498552,MFamily_D,majority
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R103,grader,editorial,42.7117615559,-6.18478099198,1.88608290506,1.42254505553,-0.287996734604,0.119776766229,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R104,graduate,grounded_social,9.10015021249,34.3937989303,-14.3962078274,0.303086859866,1.60156063657,-0.914239355499,MFamily_C,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R105,grandparent,grounded_social,-30.3089276973,34.3980358462,-30.1425237459,-1.00946000969,1.60175793021,-1.91421809221,MFamily_C,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R106,guardian,procedural_professional,5.55576908925,-6.8612646144,-13.0040522802,0.185038770579,-0.319497457834,-0.825829726691,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R107,guide,procedural_professional,13.4421298094,2.16208784603,-9.33653387736,0.447699523492,0.100678462243,-0.592921887274,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R108,guru,mythic_spiritual,-35.0144027323,-24.845768529,-17.6269641879,-1.16617914281,-1.15695288392,-1.11941037332,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R109,hacker,combative_iconoclast,-2.56423604721,14.2937771924,36.3636300883,-0.0854036728358,0.66559529948,2.30929298424,MFamily_D,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R110,healer,procedural_professional,-1.76088193218,-11.5606479615,-34.3454296961,-0.0586474028402,-0.538326072846,-2.18112602194,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R111,hedonist,grounded_social,-17.8404597641,12.5750929644,10.7476910539,-0.594188975152,0.585564099323,0.682538225346,MFamily_D,majority
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R112,hermit,mythic_spiritual,-48.6115077183,-23.2365265541,-11.6543667586,-1.61904022282,-1.08201790488,-0.740117180987,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R113,historian,procedural_professional,28.8543063341,-18.9169756328,9.28432201309,0.961012829045,-0.880876334649,0.589606143176,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R114,hive,procedural_professional,2.429805286,-32.6808563183,4.7083528165,0.0809263624253,-1.521796797,0.299006620078,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R115,hoarder,other,-26.1444846325,39.078366623,4.21029543037,-0.870760324286,1.81969935486,0.267377202862,MFamily_C,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R116,homunculus,mythic_spiritual,-33.9513279666,-28.6979653752,15.2802727738,-1.13077269511,-1.33633192971,0.970382402091,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R117,hybrid,procedural_professional,9.09269487763,-5.68914898497,-11.4187758449,0.302838554731,-0.26491743725,-0.725155846191,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R118,idealist,procedural_professional,-10.69516568,-11.6567215184,-19.8188936459,-0.356209964234,-0.542799775421,-1.25861009862,Unassigned,unassigned
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R119,immigrant,grounded_social,-4.76590850213,13.8422485228,-28.7802663259,-0.158731911957,0.644569691202,-1.82770716096,MFamily_C,majority
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R120,improviser,grounded_social,-15.0195404547,34.4442079484,-0.66276091755,-0.500236286957,1.60390795212,-0.0420890085343,MFamily_C,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R121,infant,other,-42.8903906934,44.7001549724,-19.499290547,-1.42849442374,2.08148011789,-1.23831352229,MFamily_C,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R122,influencer,combative_iconoclast,3.22931054875,40.0025555563,-2.21136921247,0.107554443707,1.86273457233,-0.140434257953,MFamily_C,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R123,instructor,procedural_professional,34.5488946174,3.3260614202,-4.3557354262,1.15067506985,0.154879344855,-0.276613452411,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R124,interpreter,procedural_professional,24.507228725,-0.440644930624,-5.84948498734,0.816230372558,-0.0205188027359,-0.37147486678,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R125,interviewer,editorial,26.2219346523,7.46018113285,-8.45765022904,0.873339851301,0.347386238672,-0.537107881958,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R126,jester,trickster_chaos,-41.146591281,19.9649613024,30.9587635686,-1.37041596615,0.929676195331,1.9660538658,MFamily_D,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R127,journalist,procedural_professional,30.5912911247,-2.69162501056,3.08773699476,1.01886432089,-0.125336566456,0.196088491767,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R128,judge,procedural_professional,34.4658219392,-15.5836276955,4.7926563828,1.14790827627,-0.725657690288,0.304360365942,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R129,lawyer,procedural_professional,42.9934783874,-11.8614881174,14.4659970679,1.4319278314,-0.552334811821,0.918671360858,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R130,leviathan,mythic_spiritual,-60.938872717,-33.5033326792,12.444977138,-2.02961172556,-1.56009572893,0.790325342215,MFamily_B,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R131,librarian,procedural_professional,33.1216294452,-7.58592059026,0.480897436056,1.10313900626,-0.353241345456,0.0305396648389,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R132,linguist,procedural_professional,33.9279891998,-16.1594475864,7.52647521065,1.12999538118,-0.752470967672,0.477973083485,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R133,loner,grounded_social,-17.8466028881,19.2185781725,-4.3397085953,-0.594393576187,0.894920574322,-0.275595659411,MFamily_C,fringe
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R134,luddite,grounded_social,-29.2402545516,8.51415213369,9.68072343458,-0.973867104036,0.396464808633,0.614779840613,MFamily_D,majority
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R135,marketer,procedural_professional,34.0810180114,6.43173307057,3.58870006732,1.13509211265,0.299496154281,0.227902436249,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R136,martyr,mythic_spiritual,-31.9102920419,-21.8595311082,-10.2414494132,-1.06279456785,-1.01789757589,-0.65038906239,MFamily_B,majority
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R137,mathematician,procedural_professional,31.9566595795,-14.5103292816,15.9697079215,1.06433887107,-0.675679131817,1.01416537276,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R138,maverick,combative_iconoclast,-10.5386741693,20.109883057,25.5859254375,-0.350997905151,0.936424533252,1.62484872837,MFamily_D,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R139,mechanic,procedural_professional,11.6010842804,22.1152072248,6.15720023495,0.38638221606,1.02980323379,0.391016498369,MFamily_C,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R140,mediator,procedural_professional,28.5362532778,0.21402154991,-16.472154856,0.950419849822,0.00996599678935,-1.04607355074,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R141,mentor,procedural_professional,26.1261693791,8.14166738168,-9.38935680987,0.870150321979,0.379119911149,-0.596276437608,MFamily_A,core
qwen,Qwen 3 32B,Qwen/Qwen3-32B,R142,merchant,procedural_professional,-2.02762891686,-7.9807963138,2.93099330819,-0.067531597505,-0.371628887247,0.186134394916,Unassigned,unassigned
