model,persona,direct_trait_hifwb_score,within_model_percentile
Qwen,toddler,-0.0770560320735004,29.454545454545457
Qwen,traditionalist,0.20161289742401828,66.9090909090909
Qwen,trainer,0.3184643363721658,82.54545454545455
Qwen,translator,0.19804129928805683,66.54545454545455
Qwen,tree,0.18399600521020484,64.72727272727272
Qwen,trickster,-0.5175615498698906,13.454545454545455
Qwen,tulpa,0.1271835962020636,58.18181818181818
Qwen,tutor,0.26627007800013597,76.0
Qwen,validator,-0.01274361689596761,35.63636363636364
Qwen,vampire,-0.6178382239375804,10.545454545454545
Qwen,vegan,0.5028687091181717,94.9090909090909
Qwen,veteran,-0.11662805568463945,27.27272727272727
Qwen,veterinarian,0.31778069805984566,82.18181818181817
Qwen,vigilante,-0.8975418105619005,3.6363636363636362
Qwen,virtuoso,0.16957670481009335,62.18181818181818
Qwen,virus,-0.49104355859127446,14.181818181818182
Qwen,visionary,0.2357259142622547,71.27272727272728
Qwen,void,-0.43875545848300895,16.363636363636363
Qwen,wanderer,0.03133091082054021,42.90909090909091
Qwen,warrior,-0.1996027357170275,23.636363636363637
Qwen,whale,0.23022403863767915,70.54545454545455
Qwen,widow,0.2582279548638219,74.90909090909092
Qwen,wind,0.21814075912763448,69.0909090909091
Qwen,witch,0.11584873913534618,54.90909090909091
Qwen,witness,0.02501872146878934,42.18181818181818
Qwen,workaholic,-0.739351927714548,7.2727272727272725
Qwen,wraith,-0.32300427470893783,19.636363636363637
Qwen,writer,0.17105928713229934,63.272727272727266
Qwen,zealot,-0.6933325989112606,9.090909090909092
Qwen,zeitgeist,-0.011943239369139486,36.0
Llama,aberration,-0.466399076844992,15.636363636363637
Llama,absurdist,-0.7478912706440988,11.636363636363637
Llama,accountant,0.14364486038578086,40.72727272727273
Llama,activist,0.18735465484034913,48.36363636363637
Llama,actor,-0.09349550288938378,30.909090909090907
Llama,addict,-0.7374834135712866,12.0
Llama,adolescent,-1.55898337611844,3.272727272727273
Llama,advocate,0.5444502204329073,92.36363636363636
Llama,alien,0.16923081231817635,44.36363636363637
Llama,altruist,0.4474487553963121,82.18181818181817
Llama,amateur,-0.4110153373156074,18.181818181818183
Llama,ambassador,0.5622862495051202,93.45454545454545
Llama,amnesiac,-0.982530347521809,8.363636363636363
Llama,analyst,0.30575121325509264,65.0909090909091
Llama,anarchist,-0.3410450667295085,21.454545454545453
Llama,ancient,0.21981526083573247,53.45454545454545
Llama,angel,0.7358745226061322,99.27272727272727
